bin	bin_all_R1_A_D1_MG_per	bin_all_R1_B_D1_MG_per	bin_all_R2_A_D1_MG_per	bin_all_R2_B_D1_MG_per	bin_all_R2_C_D1_MG_per	bin_all_R1_A_D2_MG_per	bin_all_R1_B_D2_MG_per	bin_all_R1_C_D2_MG_per	bin_all_R2_B_D2_MG_per	bin_all_R1_A_H2O_MG_per	bin_all_R1_B_H2O_MG_per	bin_all_R2_B_H2O_MG_per	bin_all_R2_C_H2O_MG_per	bin_all_R2_restored_C_black_MG_per	bin_all_R2_restored_D_shore_MG_per	bin_all_R2_restored_H2O_MG_per	bin_all_R2A_A_D1_MG_per	bin_all_R2A_B_D1_MG_per	bin_all_R2A_C_D1_MG_per	bin_all_R2A_A_D2_MG_per	bin_all_R2A_B_D2_MG_per	bin_all_R2A_C_D2_MG_per	bin_all_R2A_A_H2O_MG_per	bin_all_R2A_B_H2O_MG_per	bin_all_R2A_C_H2O_MG_per	bin_all_SF2_B_D1_MG_per	bin_all_SF2_C_D1_MG_per	bin_all_SF2_A_D2_MG_per	bin_all_SF2_B_D2_MG_per	bin_all_SF2_C_D2_MG_per	bin_all_SF2_A_H2O_MG_per	bin_all_SF2_B_H2O_MG_per	bin_all_SF2_C_H2O_MG_per
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.17.contigs	4.1847E-06	7.0818E-06	8.38281E-05	3.802E-05	2.89732E-05	4.92485E-06	5.34152E-06	9.51194E-06	2.21053E-05	0.414728317	0.46287539	9.81282E-05	3.27751E-05	2.15298E-06	3.2968E-05	1.67178E-05	0	0	0	0	0	0	1.60713E-06	7.63687E-07	2.21814E-06	0	0	0	0	1.58163E-06	3.85804E-05	1.82457E-05	2.685E-05
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.8.contigs	0.000182267	0.00027728	0.001131264	0.0025363	0.000779927	0.000196546	7.16654E-05	0.000530291	0.000654692	0.009284221	0.015628394	0.389201172	0.373322058	0.000154297	0.000114888	2.43915E-05	0.000707019	0.001688531	0.000258541	0.005848003	0.001433889	0.000115345	0.0026282	0.003327384	0.002612973	0.000497509	0.000786463	0.000336769	0.000681578	0.000259387	0.00963653	0.015975415	0.021894924
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_metabat.29.contigs	0	3.81328E-06	1.24497E-05	7.3587E-06	5.48142E-06	0	8.90254E-07	7.92662E-07	5.17357E-06	0.216464882	0.206619	4.13794E-06	8.62501E-07	0	9.99029E-07	0	4.15894E-06	0	0	0	0	0	0	0	2.21814E-06	0	0	0	0	0	3.0007E-05	0	2.19682E-05
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.17.contigs	9.29934E-06	2.39692E-05	9.62778E-05	0.000627943	0.000184802	4.02942E-06	4.89639E-06	4.35964E-05	0.000103001	0	1.20184E-06	0.138218855	0.205236073	6.45894E-06	1.99806E-06	0	0	0	3.19187E-06	8.57478E-06	0	0	7.82139E-05	8.40056E-06	4.43629E-06	3.60514E-06	0	0	2.57894E-05	7.90815E-06	0	0	0
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.16.contigs	1.76687E-05	0.000105682	0.000117027	0.000994651	0.000370387	7.61113E-06	1.29087E-05	0.000414562	0.001080336	1.57104E-05	5.37822E-05	0.105596557	0.110734821	1.36355E-05	2.99709E-06	0	0	1.85553E-05	6.38374E-06	0	0	0	4.76783E-05	6.87318E-06	4.43629E-06	3.60514E-06	0	0	5.89473E-05	1.42347E-05	0	0	0
Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_concoct_out.60.contigs	4.51018E-05	0.000267474	0.000217455	0.001376078	0.000252145	1.83562E-05	1.51343E-05	0.000787113	0.001424143	6.28416E-07	6.30965E-06	0.070824897	0.049263057	3.73183E-05	1.99806E-06	0	0	1.85553E-05	3.19187E-06	8.57478E-06	0	0	1.55356E-05	2.29106E-06	1.10907E-06	4.68668E-05	1.02806E-05	0	0.000302105	9.96427E-05	0	0	0
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_metabat.16.contigs	3.62674E-05	7.0818E-06	0.000380131	0.000673321	0.000131554	6.89479E-05	8.45741E-06	9.51194E-06	4.79731E-05	6.66121E-05	0.000247579	0.052160445	0.031665443	4.30596E-06	1.99806E-05	7.94779E-06	0	0	6.38374E-06	0	0	0	2.67856E-05	9.16424E-06	4.43629E-06	0	0	0	3.6842E-06	0	0	0	0
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.9.contigs	1.58089E-05	1.57979E-05	3.07093E-05	0.000112833	3.05393E-05	1.61177E-05	6.23177E-06	2.37799E-05	5.07951E-05	6.28416E-07	3.90597E-06	0.052015618	0.05208818	1.43532E-06	1.99806E-06	0	0	0	0	0	0	0	9.10709E-06	1.52737E-06	2.21814E-06	0	0	0	1.10526E-05	3.16326E-06	0	0	0
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.67.contigs	1.3949E-05	2.28797E-05	3.65192E-05	5.88696E-05	1.95765E-05	2.23857E-06	4.00614E-06	4.99377E-05	3.43337E-05	3.7705E-06	6.30965E-06	0.038848708	0.033530602	7.1766E-06	1.89815E-05	0	0	0	0	0	0	0	5.35711E-06	1.52737E-06	1.10907E-06	0	0	0	3.6842E-05	3.0051E-05	0	0	0
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.19.contigs	8.83437E-06	2.94167E-05	6.14186E-05	0.000244064	0.000105713	2.23857E-06	4.00614E-06	0.000105424	0.000357447	1.88525E-06	9.91516E-06	0.034497965	0.038380447	1.72238E-05	1.99806E-06	0	0	0	3.19187E-06	0	0	1.51769E-06	1.33928E-05	1.52737E-06	0	3.60514E-06	0	0	1.8421E-05	1.2653E-05	0	0	0
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.31.contigs	0.001874747	0.033174429	0.000651535	0.002212517	0.000316356	4.8353E-05	9.88181E-05	0.008762084	0.002924008	1.88525E-06	5.10781E-06	0.000661478	0.000605045	0.00022391	8.99126E-06	0	4.15894E-06	0	0	2.57244E-05	0	0	0	1.52737E-06	0	7.9313E-05	0	1.10416E-05	0.000309473	0.000112296	0	0	0
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.14.contigs	1.3949E-06	1.08951E-06	2.07495E-05	7.3587E-06	7.8306E-07	4.47713E-07	8.90254E-07	7.92662E-07	1.41097E-06	0.031551522	0.030836145	4.01971E-05	6.55501E-05	0	0	5.48124E-07	0	0	0	0	0	0	0	0	0	7.21027E-06	0	0	7.36841E-06	0	0	0	0
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.29.contigs	5.06814E-05	4.46698E-05	0.000213305	0.000289442	0.000110411	1.79085E-05	4.18419E-05	3.88404E-05	0.00010159	2.51366E-06	1.20184E-06	0.014885926	0.0205271	6.02834E-05	1.99806E-06	0	0	0	0	0	0	0	3.74998E-06	1.52737E-06	1.10907E-06	3.96565E-05	0	0	0.000103158	1.2653E-05	0	0	0
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_metabat.14.contigs	3.30127E-05	0.001358072	0.004481067	0.005590162	0.001378968	2.73105E-05	6.6769E-06	0.002600724	0.002878387	0.002029784	0.010154325	0.02002465	0.013390764	9.54487E-05	1.99806E-06	2.74062E-07	0	1.85553E-05	0	0	0	1.51769E-06	5.35711E-06	1.52737E-06	1.10907E-06	0.000115364	0	2.7604E-06	0.000677894	3.16326E-05	0	0	0
Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_concoct_out.35.contigs	1.85987E-05	4.35803E-05	5.56087E-05	0.000143495	7.43907E-05	2.05948E-05	1.24635E-05	0.000126033	0.00101355	6.28416E-07	4.20643E-06	0.014437256	0.015459474	2.15298E-06	9.99029E-07	0	0	0	0	0	0	0	3.74998E-06	0	1.10907E-06	3.60514E-06	0	2.7604E-06	1.47368E-05	7.90815E-06	0	0	0
Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_metabat.20.contigs	1.02293E-05	1.52531E-05	1.24497E-05	3.92464E-05	1.95765E-05	3.13399E-06	2.67076E-06	1.98165E-05	9.87682E-06	3.14208E-06	2.10322E-06	0.009672128	0.013117783	6.45894E-06	1.99806E-06	0	0	0	0	0	0	0	5.35711E-07	0	0	1.44205E-05	0	0	4.42105E-05	6.32652E-06	0	0	0
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.29.contigs	2.7898E-06	5.44754E-07	6.14186E-05	0.000118966	1.72273E-05	3.58171E-06	4.45127E-07	7.92662E-07	2.86898E-05	6.28416E-07	3.30505E-06	0.012751343	0.008681507	0	9.99029E-07	0	0	0	0	0	9.82116E-06	0	3.21427E-06	7.63687E-07	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.11.contigs	5.90508E-05	0.000439616	0.000143587	0.001047389	0.000128422	2.32811E-05	1.64697E-05	0.001279356	0.000504188	1.25683E-06	6.91057E-06	0.011731637	0.009565571	8.18132E-05	4.99514E-06	0	0	0	0	0	0	0	3.74998E-06	0	0	0.0001406	0	2.7604E-06	0.000460526	0.000159745	0	2.60653E-06	0
Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_metabat.14.contigs	0.000602597	0.000592148	0.001055736	0.002016285	0.00025606	0.0003622	0.000278204	0.001085947	0.0036516	1.69672E-05	9.16401E-05	0.011452031	0.008029456	2.58358E-05	2.99709E-06	2.74062E-07	0	0	3.19187E-06	0	9.82116E-06	0	5.35711E-07	1.52737E-06	0	3.60514E-06	0	5.52081E-06	1.8421E-05	9.48978E-06	0	0	0
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.5.contigs	0.008221548	0.001109119	0.00129975	0.000420673	9.78825E-05	0.001134506	0.001084329	0.00082199	7.76036E-05	4.39891E-06	3.90597E-06	9.33991E-05	9.09939E-05	0.000116979	4.99514E-06	0	0	0	0	0	9.82116E-06	0	0	0	0	3.96565E-05	0	0	0.000132631	1.2653E-05	0	0	0
Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_metabat.29.contigs	9.29934E-07	0	5.80987E-06	1.96232E-05	1.56612E-06	1.79085E-06	0	0	5.6439E-06	0	3.00459E-06	0.007594884	0.005782209	0	0	0	0	0	0	0	0	0	1.07142E-06	7.63687E-07	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_concoct_out.45.contigs	7.43947E-06	3.37747E-05	0.000129477	0.000176609	4.22852E-05	1.34314E-06	8.90254E-07	7.84735E-05	0.000154266	0	4.50689E-06	0.006640795	0.005509659	7.1766E-06	4.99514E-06	0	0	0	0	0	0	0	2.14285E-06	7.63687E-07	0	1.08154E-05	5.14028E-06	0	6.99999E-05	1.89796E-05	0	0	0
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.21.contigs	0.006475596	0.00097511	0.0004291	0.00280244	0.001415772	0.006125166	0.000889808	0.001879401	0.000498544	1.63388E-05	1.47225E-05	0	0	0.001901798	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7604E-06	0	0	0	0	0
Salt_Pond_MetaG_R2_A_H2O_MG_DASTool_bins_maxbin.035.contigs	4.64967E-07	0	1.49397E-05	1.22645E-05	3.13224E-06	0	0	0	9.40649E-07	0	3.00459E-07	0.003203944	0.002176091	0	0	0	0	0	0	0	0	0	1.07142E-06	0	0	0	0	0	0	0	0	0	0
Salt_Pond_MetaG_R2_restored_DShore_MG_DASTool_bins_concoct_out.40.contigs	4.1847E-06	8.28026E-05	1.49397E-05	0.000291895	1.40951E-05	3.13399E-06	4.00614E-06	0.000173593	5.17357E-05	0	0	0	0	1.36355E-05	0.013062303	0	0	0	0	0	9.82116E-06	1.51769E-06	0	0	0	0.00157184	0.000102806	4.96872E-05	0.00755262	0.006113001	0	0	0
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.25.contigs	1.85987E-06	1.90664E-05	7.46983E-06	0.000118966	4.69836E-06	0	4.45127E-07	4.43891E-05	3.10414E-05	0	0	6.50247E-06	5.60626E-06	2.15298E-06	0.000166838	0	4.15894E-06	1.85553E-05	6.38374E-06	0	1.96423E-05	0	0	0	1.10907E-06	0.00051914	8.22445E-05	0.000314686	0.003205258	0.019865277	8.57342E-06	0	0
Salt_Pond_MetaG_R2_restored_DShore_MG_DASTool_bins_concoct_out.37.contigs	0	0	0	0	0	0	4.45127E-07	7.92662E-07	0	0	0	0	0	0	0.015221205	0	0	0	0	0	9.82116E-06	0	0	0	0	1.08154E-05	5.14028E-06	5.52081E-06	3.31578E-05	2.53061E-05	0	0	0
Salt_Pond_MetaG_R2A_A_D2_MG_DASTool_bins_metabat.16.contigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016107567	0.013675245	0.000303228	0.148352355	0.001070506	2.12477E-05	1.07142E-06	7.63687E-07	7.7635E-06	1.08154E-05	1.54208E-05	1.65624E-05	3.6842E-06	0	4.28671E-05	2.60653E-06	7.32272E-06
