sample_id,Host_Contaminant,Total_mapped_paired_reads,Mapped_Paired_rate(%)
24_hr_Carb_1,Human,0,0
24_hr_Carb_1,Mouse,0,0
24_hr_Carb_10,Human,80,0
24_hr_Carb_10,Mouse,2,0
24_hr_Carb_11,Human,2,0
24_hr_Carb_11,Mouse,2,0
24_hr_Carb_13,Human,436,0
24_hr_Carb_13,Mouse,8,0
24_hr_Carb_14,Human,0,0
24_hr_Carb_14,Mouse,4,0
24_hr_Carb_15,Human,10,0
24_hr_Carb_15,Mouse,10,0
24_hr_Carb_16,Human,12,0
24_hr_Carb_16,Mouse,158,0
24_hr_Carb_17,Human,0,0
24_hr_Carb_17,Mouse,0,0
24_hr_Carb_18,Human,0,0
24_hr_Carb_18,Mouse,6,0
24_hr_Carb_19,Human,60,0
24_hr_Carb_19,Mouse,2,0
24_hr_Carb_2,Human,0,0
24_hr_Carb_2,Mouse,0,0
24_hr_Carb_20,Human,0,0
24_hr_Carb_20,Mouse,0,0
24_hr_Carb_21,Human,12,0
24_hr_Carb_21,Mouse,16,0
24_hr_Carb_22,Human,16,0
24_hr_Carb_22,Mouse,8,0
24_hr_Carb_23,Human,2,0
24_hr_Carb_23,Mouse,10,0
24_hr_Carb_24,Human,20,0
24_hr_Carb_24,Mouse,14,0
24_hr_Carb_25,Human,554,0
24_hr_Carb_25,Mouse,28,0
24_hr_Carb_26,Human,120,0
24_hr_Carb_26,Mouse,12,0
24_hr_Carb_27,Human,0,0
24_hr_Carb_27,Mouse,0,0
24_hr_Carb_28,Human,10,0
24_hr_Carb_28,Mouse,18,0
24_hr_Carb_3,Human,16,0
24_hr_Carb_3,Mouse,10,0
24_hr_Carb_4,Human,0,0
24_hr_Carb_4,Mouse,10,0
24_hr_Carb_5,Human,16,0
24_hr_Carb_5,Mouse,26,0
24_hr_Carb_6,Human,2,0
24_hr_Carb_6,Mouse,4,0
24_hr_Carb_7,Human,6,0
24_hr_Carb_7,Mouse,38,0
24_hr_Carb_8,Human,6,0
24_hr_Carb_8,Mouse,6,0
24_hr_Carb_9,Human,2,0
24_hr_Carb_9,Mouse,2,0
72_hr_Carb_1,Human,228,0
72_hr_Carb_1,Mouse,8,0
72_hr_Carb_10,Human,6,0
72_hr_Carb_10,Mouse,4,0
72_hr_Carb_11,Human,2,0
72_hr_Carb_11,Mouse,0,0
72_hr_Carb_13,Human,140,0
72_hr_Carb_13,Mouse,16,0
72_hr_Carb_14,Human,12,0
72_hr_Carb_14,Mouse,16,0
72_hr_Carb_15,Human,10,0
72_hr_Carb_15,Mouse,4,0
72_hr_Carb_16,Human,14,0
72_hr_Carb_16,Mouse,94,0
72_hr_Carb_17,Human,14,0
72_hr_Carb_17,Mouse,16,0
72_hr_Carb_18,Human,0,0
72_hr_Carb_18,Mouse,2,0
72_hr_Carb_19,Human,4,0
72_hr_Carb_19,Mouse,0,0
72_hr_Carb_2,Human,12,0
72_hr_Carb_2,Mouse,0,0
72_hr_Carb_20,Human,24,0
72_hr_Carb_20,Mouse,4,0
72_hr_Carb_21,Human,332,0
72_hr_Carb_21,Mouse,16,0
72_hr_Carb_22,Human,10,0
72_hr_Carb_22,Mouse,2,0
72_hr_Carb_23,Human,0,0
72_hr_Carb_23,Mouse,4,0
72_hr_Carb_24,Human,2,0
72_hr_Carb_24,Mouse,2,0
72_hr_Carb_25,Human,134,0
72_hr_Carb_25,Mouse,0,0
72_hr_Carb_26,Human,28,0
72_hr_Carb_26,Mouse,4,0
72_hr_Carb_27,Human,14,0
72_hr_Carb_27,Mouse,6,0
72_hr_Carb_28,Human,36,0
72_hr_Carb_28,Mouse,20,0
72_hr_Carb_3,Human,0,0
72_hr_Carb_3,Mouse,4,0
72_hr_Carb_4,Human,8,0
72_hr_Carb_4,Mouse,12,0
72_hr_Carb_5,Human,4,0
72_hr_Carb_5,Mouse,20,0
72_hr_Carb_6,Human,4,0
72_hr_Carb_6,Mouse,12,0
72_hr_Carb_7,Human,10,0
72_hr_Carb_7,Mouse,4,0
72_hr_Carb_8,Human,40,0
72_hr_Carb_8,Mouse,14,0
72_hr_Carb_9,Human,12,0
72_hr_Carb_9,Mouse,6,0
Bacteroides_Dropout_1,Human,4,0
Bacteroides_Dropout_1,Mouse,6,0
Bacteroides_Dropout_2,Human,6,0
Bacteroides_Dropout_2,Mouse,10,0
hc2_1,Human,0,0
hc2_1,Mouse,8,0
hc2_2,Human,8,0
hc2_2,Mouse,12,0
