sample_id,Strain_Name,Read_Fraction,Percent_Coverage,Coverage_Depth
24_hr_Carb_1,Acidaminococcus-fermentans-DSM-20731-MAF-2,5.737169618419055e-5,0.147713,0.0035
24_hr_Carb_1,Acidaminococcus-sp-D21-MAF-2,0.00153220098522139,3.53736,0.0568
24_hr_Carb_1,Adlercreutzia-equolifaciens-DSM-19450,2.8687510113280245e-5,0.0685758,0.0019
24_hr_Carb_1,Akkermansia-muciniphila-ATCC-BAA-835-MAF-2,0.00123348775835114,1.40531,0.0168
24_hr_Carb_1,Alistipes-finegoldii-DSM-17242,0.01855012636916367,15.114,0.204
24_hr_Carb_1,Alistipes-ihumii-AP11-MAF-2,0.01229507734396266,12.886,0.1605
24_hr_Carb_1,Alistipes-indistinctus-YIT-12060-DSM-22520-MAF-2,0.01777809038647071,17.5548,0.2239
24_hr_Carb_1,Alistipes-onderdonkii-DSM-19147-MAF-2,0.00283934259525425,4.29258,0.0644
24_hr_Carb_1,Alistipes-putredinis-DSM-17216-MAF-2,0,0.631179,0.00899094
24_hr_Carb_1,Alistipes-senegalensis-JC50-DSM-25460-MAF-2,8.082753369835965e-5,0.375448,0.0049
24_hr_Carb_1,Alistipes-shahii-WAL-8301-DSM-19121-MAF-2,7.809016284555003e-6,1.53483,0.0256
24_hr_Carb_1,Anaerofustis-stercorihominis-DSM-17244,7.171450236222838e-6,0.0268744,9.77208e-4
24_hr_Carb_1,Anaerostipes-caccae-DSM-14662-MAF-2,3.6192390404863e-4,1.11331,0.0872
24_hr_Carb_1,Anaerotruncus-colihominis-DSM-17241-MAF-2,0.01866777496573289,15.519,0.206
24_hr_Carb_1,Bacteroides-caccae-ATCC-43185-MAF-2,0.00241021617224315,2.64076,0.3992
24_hr_Carb_1,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,6.7877583935231405,99.9996,37.217
24_hr_Carb_1,Bacteroides-coprocola-DSM-17136-MAF-2,0.00196118569501388,4.11834,0.137409
24_hr_Carb_1,Bacteroides-coprophilus-DSM-18228-MAF-2,0.00166424833309202,2.65052,0.188002
24_hr_Carb_1,Bacteroides-dorei-5-1-36-MAF-2,0.00161088139203657,2.41778,0.176535
24_hr_Carb_1,Bacteroides-dorei-DSM-17855-MAF-2,0.00182957993916938,2.95354,0.1094
24_hr_Carb_1,Bacteroides-eggerthii-DSM-20697-MAF-2,6.146012865728e-4,2.13555,0.1533
24_hr_Carb_1,Bacteroides-finegoldii-DSM-17565-MAF-2,0.0035926655174853,7.22958,1.42691
24_hr_Carb_1,Bacteroides-fragilis-3-1-12-MAF-2,0.01705147053922833,10.791,0.427671
24_hr_Carb_1,Bacteroides-intestinalis-DSM-17393-MAF-2,0.2213182358034231,67.8015,2.04087
24_hr_Carb_1,Bacteroides-ovatus-ATCC-8483-MAF-2,0.00780517821614162,39.0221,17.1987
24_hr_Carb_1,Bacteroides-pectinophilus-ATCC-43243-MAF-2,8.5749135884711e-4,0.996593,0.0827
24_hr_Carb_1,Bacteroides-plebeius-DSM-17135-MAF-2,0.00126160834458536,2.88849,0.301563
24_hr_Carb_1,Bacteroides-rodentium-DSM-26882-MAF-2,0.00885134603994924,7.13772,0.280678
24_hr_Carb_1,Bacteroides-sp-1-1-6-MAF-2,0,2.36106,0.625593
24_hr_Carb_1,Bacteroides-sp-2-1-16-MAF-2,4.7436964915549e-4,1.90279,0.337921
24_hr_Carb_1,Bacteroides-sp-2-1-22-MAF-2,8.116474763133e-4,11.8698,3.34928
24_hr_Carb_1,Bacteroides-sp-3-1-19-MAF-2,0.00137307426365806,6.13436,0.0903161
24_hr_Carb_1,Bacteroides-sp-9-1-42FAA-MAF-2,1.5935025158206e-4,2.76423,0.166582
24_hr_Carb_1,Bacteroides-sp-D2-MAF-2,14.76291320302421,99.9994,78.9948
24_hr_Carb_1,Bacteroides-stercoris-ATCC-43183-MAF-2,0.00105601101603978,2.5103,0.1869
24_hr_Carb_1,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,0.00207363324775688,2.61105,0.433931
24_hr_Carb_1,Bacteroides-uniformis-ATCC-8492-MAF-2,0.00139169717725849,2.21577,0.1207
24_hr_Carb_1,Bacteroides-vulgatus-ATCC-8482,6.1641881483665e-4,1.13314,0.0967
24_hr_Carb_1,Bacteroides-xylanisolvens-DSMZ-18836-MAF-2,9.7900343947105e-4,11.1058,3.3759
24_hr_Carb_1,Bifidobacterium-breve-DSM-20213-MAF-2,0.0016064901571114,2.16923,0.0255
24_hr_Carb_1,Bifidobacterium-catenulatum-DSM-16992-MAF-2,4.8942772699051e-4,0.850574,0.0108
24_hr_Carb_1,Bifidobacterium-pseudocatenulatum-DSM-20438-MAF-2,0.00103945811082725,1.53999,0.0183
24_hr_Carb_1,Bilophila-wadsworthia-ATCC-49260-MAF-3,5.6295840566381e-4,0.38388099999999997,0.00443823
24_hr_Carb_1,Blautia-hansenii-DSM-20583-MAF-2,0,0.666217,0.5173
24_hr_Carb_1,Blautia-hydrogenotrophica-DSM-10507-MAF-2,0,0.28844,0.467906
24_hr_Carb_1,Blautia-sp-KLE-1732-HM-1032-MAF-2,1.5479148430494128e-5,0.618275,0.4519
24_hr_Carb_1,Blautia-wexlerae-DSM-19850-MAF-2,0,1.1653,0.3829
