"","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","MolForm","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class"
"200.002276017068",7,7,4,1,0,1,0,0,"CHONS","Lignin",201.009552483948,0.128970744343903,1,"C7H7NO4S",0,0.333333333333333,5,1,-1,35.8714285714286,199.77895168893,0.221048311070007,0.857142857142857,0.571428571428571,1,0.142857142857143,0,NA,"Lignin","Lignin","Protein"
"200.011983393108",0,0,0,0,0,0,0,0,"","None",201.019259859988,0,0,NA,NA,NA,NA,NA,NA,NA,199.788648225627,0.211351774372787,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200.056410859482",8,11,5,1,0,0,0,0,"CHON","Lignin",201.063687326362,0.17478261989638,1,"C8H11NO5",0,0.111111111111111,4,-1,-2,53.175,199.833026083895,0.166973916104638,0.25,0.625,1.375,0.125,0,NA,"Lignin;Amino Sugar","Lignin","Other"
"200.09279411798",9,15,4,1,0,0,0,0,"CHON","Protein",201.10007058486,0.185928527529526,1,"C9H15NO4",0,0,3,-1,-2,72.9666666666667,199.869368716522,0.130631283478124,-0.444444444444445,0.444444444444444,1.66666666666667,0.111111111111111,0,NA,"Protein","Protein","Other"
"200.805427517681",0,0,0,0,0,0,0,0,"","None",201.812703984561,0,0,NA,NA,NA,NA,NA,NA,NA,200.581206383402,0.418793616597583,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200.937945508078",0,0,0,0,0,0,0,0,"","None",201.945221974958,0,0,NA,NA,NA,NA,NA,NA,NA,200.713576403027,0.286423596972526,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201.022674335025",8,10,4,0,0,1,0,0,"CHOS","Lignin",202.029950801905,0.142045744906713,1,"C8H10O4S",0,0.2,4,0,-1,60.3,200.798210621009,0.20178937899064,0,0.5,1.25,0,0,NA,"Lignin","Lignin","Other"
"201.039223307676",0,0,0,0,0,0,0,0,"","None",202.046499774556,0,0,NA,NA,NA,NA,NA,NA,NA,200.81474111493,0.18525888507034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201.040428660244",8,10,6,0,0,0,0,0,"CHO","Tannin",202.047705127124,0.16296387063668,1,"C8H10O6",0,0.2,4,-2,-2,53.175,200.81594512159,0.184054878409796,0.25,0.75,1.25,0,0,NA,"Tannin","Tannin","Other"
"201.076810374903",9,14,5,0,0,0,0,0,"CHO","AminoSugar",202.084086841783,0.181697221915787,1,"C9H14O5",0,0.0769230769230769,3,-2,-2,72.9666666666667,200.852286212102,0.147713787898397,-0.444444444444445,0.555555555555556,1.55555555555556,0,0,NA,"Amino Sugar","Amino Sugar","Other"
"201.113195360505",10,18,4,0,0,0,0,0,"CHO","Protein",202.120471827385,0.184240687907076,1,"C10H18O4",0,0,2,-2,-2,88.8,200.888630569904,0.111369430096374,-1,0.4,1.8,0,0,NA,"Protein","Protein","Other"
"201.802013676001",0,0,0,0,0,0,0,0,"","None",202.809290142881,0,0,NA,NA,NA,NA,NA,NA,NA,201.576679744715,0.423320255285063,NA,NA,NA,NA,NA,NA,NA,NA,NA
