taxon_a,taxon_b,partial_r
Mcinerneyibacterium,UBA6794,0.3061509956579862
JAAYYF01,SLND01,0.2997814397170691
Bipolaricaulia,Wenzhouxiangella,0.2874393015320553
Acidaminobacteraceae,Gracilimonas,0.28264807373520856
Acidaminobacteraceae,Gramella,0.2802926030811723
DT-110,Phaeodactylibacter,0.27231809256308415
SLND01,UBA5335,0.25577898314746483
Acidaminobacteraceae,Lutibacter,0.23327732342158455
Alphaproteobacteria,SMO-BIN1,0.23244650177081963
Halanaerobiales,Mcinerneyibacterium,0.2075984244404437
Bipolaricaulia,Paceibacterales,0.20641482605022587
DT-110,Psychroflexus,0.19821485135694372
Sunxiuqinia,WC007,0.19676510775035286
Phaeodactylibacter,Psychroflexus,0.193176890581923
KS3-K002,SZUA-36,-0.18550966541017294
SLND01,SMO-BIN1,0.1845392326238166
Lutibacter,Ornithinicoccus_A,0.1835698053370295
Bipolaricaulia,Psychroflexus,-0.18250531286429186
Mcinerneyibacterium,UBA6264,0.17977130524794677
NaphS2,Sunxiuqinia,0.1733553872055968
Nitriliruptorales,Ornithinicoccus_A,0.1694365609189822
4572-130,Bipolaricaulia,-0.16844853800542275
Desulfurivibrionaceae,NaphS2,0.16477484759831246
Mcinerneyibacterium,Paceibacterales,0.15901253194212733
KS3-K002,UBA11579,-0.15769264437172406
JAACFB01,KS3-K002,-0.15509103462145862
Gallionellaceae,NaphS2,0.15455997196490115
Acidaminobacteraceae,PWMO01,-0.1537207462330789
4572-130,Opitutales,0.1532039611462378
Acidaminobacteraceae,Salegentibacter,0.15294610910808565
KS3-K002,UBA12294,-0.1488630158846595
Acidaminobacteraceae,Marinobacter,0.14746610099257687
KS3-K002,M0040,-0.14637170819512788
Acidaminobacteraceae,BM004,0.14549367254111298
BM004,KS3-K002,-0.14064415476081324
BM002,KS3-K002,-0.140216176324793
Desulfurivibrionaceae,Gallionellaceae,0.1373297574322732
Bipolaricaulia,UBA6794,0.13698222913481897
ATBO01,Sunxiuqinia,0.1363771978359779
Acidaminobacteraceae,Ornithinicoccus_A,0.13564793012988344
BM003,KS3-K002,-0.13562947519198587
Bipolaricaulia,S36-B12,0.13469823657747118
GWC2-71-9,Gallionellaceae,0.1344136082101018
Balneolales,SLND01,0.13416850973307284
Desulfurivibrionaceae,Sunxiuqinia,0.13415475286647033
DT-110,UBA6794,-0.13300982988693022
BM509,KS3-K002,-0.12958462109387162
Acidaminobacteraceae,Halofilum,-0.12958173077391674
JAACFB01,Sunxiuqinia,-0.12860438523396345
Gallionellaceae,SG8-39,0.12691520838245307
Gramella,Lutibacter,0.12674248902744803
ATBO01,Desulfurivibrionaceae,0.1258428083374644
Gallionellaceae,WC007,0.12262498424823788
Marinobacter,UBA6794,-0.12243086569468604
Desulfurivibrionaceae,WC007,0.12118765539633829
Lutibacter,PWMO01,-0.12088090989652417
Alphaproteobacteria,UBA5335,0.11969567237150147
Nitriliruptorales,Sunxiuqinia,-0.11838391920870882
BM509,Sunxiuqinia,-0.11803853865362224
KS3-K002,PWMO01,0.11755799527381436
Bipolaricaulia,Halioglobus,0.11672332104895329
JAAYYF01,SAR324,0.11648866339434844
Bipolaricaulia,Desulfomicrobiaceae,-0.1158990685448104
Acidaminobacteraceae,SG8-39,-0.11406549279728116
SMO-BIN1,UBA5335,0.11279335848048454
Nevskiales,SLND01,0.11087335372293801
JAAYYF01,SG8-39,0.11013634866201058
Bipolaricaulia,Salinarimonas,0.10991584519521011
GWC2-71-9,JAAYYF01,0.10895827804290294
KS3-K002,Nitriliruptorales,-0.1089270356289694
Bipolaricaulia,Opitutales,-0.10785901257286647
Alphaproteobacteria,KS3-K002,0.10672977516388185
Bipolaricaulia,Maribacter,0.10579353554274004
Acidaminobacteraceae,J153,-0.10207462441446674
Acidaminobacteraceae,BM002,0.10003671273820483
Sunxiuqinia,UBA11579,-0.09904317428286932
Bipolaricaulia,Crateriforma,0.0988916036030684
SZUA-36,Sunxiuqinia,-0.09848565383209973
KS3-K002,SLND01,0.09626254479565767
Gallionellaceae,Sunxiuqinia,0.0958476751748412
ATBO01,KS3-K002,0.09539100503292523
Sunxiuqinia,UBA4486,0.09236573079646487
Acidaminobacteraceae,UBA12294,0.08580958531976005
Halofilum,KS3-K002,0.08578911902952863
SAR324,SG8-39,0.08399408356963727
ATBO01,Gallionellaceae,0.08039684073200293
Gracilimonas,JAAYYF01,-0.07893460830760698
Desulfurivibrionaceae,SAR324,0.07803183836553657
Acidaminobacteraceae,UBA10428,-0.07798221723508195
BM002,SLND01,-0.07730617260292764
Bipolaricaulia,SURF-3,0.07677970820484337
Lutibacter,SAR324,-0.07660308112127674
Gallionellaceae,SAR324,0.0755308856132973
Gracilimonas,Marinobacter,0.07504480523249354
Ornithinicoccus_A,S36-B12,0.07499564360076623
SHZL01,Sunxiuqinia,-0.07464485315018922
Acidaminobacteraceae,UBA4486,-0.07452071981460605
Halofilum,Sunxiuqinia,0.0738240882893083
JAAXQD01,Sunxiuqinia,0.07363651400890756
Alphaproteobacteria,UBA11386,0.07306253677986282
M0040,Sunxiuqinia,-0.07265200297316818
Psychroflexus,UBA6794,-0.07224900589929192
Gallionellaceae,JAAYYF01,0.072194809655626
Desulfurivibrionaceae,JAAXQD01,0.06995944048784813
Desulfurivibrionaceae,SZUA-36,-0.06939268828081534
KS3-K002,UBA5335,0.06924218474155816
Acidaminobacteraceae,Nitriliruptorales,0.06905498148178381
SAR324,Sunxiuqinia,0.06845466413894466
Mcinerneyibacterium,Opitutales,-0.0677180250015749
KS3-K002,SAR324,0.06709089659272006
Bipolaricaulia,UBA6264,0.06706479743433762
JAAYYF01,Lutibacter,-0.06679005216761781
Gracilimonas,Mcinerneyibacterium,-0.06584822438656075
SAR324,UBA4486,0.06420991907749721
JAAYYF01,SZUA-36,-0.0627473310098082
Gallionellaceae,UBA4486,0.06255697557741338
KS3-K002,Ornithinicoccus_A,-0.06115749451807975
BM509,JAAYYF01,-0.060381746494533046
Desulfurivibrionaceae,JAACFB01,-0.060100200156302144
Acidaminobacteraceae,SAR324,-0.0595510741871582
JAAYYF01,UBA4486,0.05920279376506698
Acidaminobacteraceae,GWC2-71-9,-0.059000289042860046
KS3-K002,UBA4486,0.058115060055241294
NaphS2,SAR324,0.057773176248945866
SG8-39,Sunxiuqinia,0.05742215812964835
BM509,Desulfurivibrionaceae,-0.057102943485386526
4572-130,Phaeodactylibacter,0.05596136943096123
Gallionellaceae,Geothermobacteraceae,0.05581815779534526
JAAYYF01,KS3-K002,0.0550300751371904
BM509,Gallionellaceae,-0.05437179506083761
Acidaminobacteraceae,UBA8670,0.05394124122245396
Opitutales,UBA6794,-0.052938288123927785
Bipolaricaulia,RZYO01,-0.05267572771997954
Bipolaricaulia,Phaeodactylibacter,-0.05185937833486118
Alkalispirochaeta,Bipolaricaulia,-0.05117312376739191
