taxon_a,taxon_b,r_within,r_marginal,r_between,cooccurrence,perm_p,q_BH,fdr_pass,effect_pass,both_pass
4572-130,ATBO01,0.05694858293483065,-0.5116011905253262,-0.7999999999999999,9,0.30223592906707786,0.7207842273378124,False,False,False
4572-130,Acidaminobacteraceae,-0.014631783166989301,0.26311133445672935,0.0,6,0.7748650732459522,0.9315691209805833,False,False,False
4572-130,Albimonas,0.5841564922583069,0.21062462737302773,0.39999999999999997,9,0.49575944487278334,0.8061967290687919,False,False,False
4572-130,Alkalispirochaeta,0.8620559533460818,0.616378055495864,0.39999999999999997,6,0.13107170393215112,0.5892342542875654,False,True,False
4572-130,BM103,0.48771230068427235,0.4782758295989704,0.39999999999999997,9,0.04317656129529684,0.4891748911295403,False,False,False
4572-130,BM507,-0.12794900761812908,0.34220941004336203,0.39999999999999997,6,0.5080956052428681,0.8111284252315889,False,False,False
4572-130,BM714,-0.42676908488358745,0.24629329583399512,0.39999999999999997,6,0.7139552814186585,0.9088063887036208,False,False,False
4572-130,Balneolaceae,0.02608348782860013,0.5828596011609444,0.19999999999999998,9,0.889745566692367,0.9692527281320499,False,False,False
4572-130,Bipolaricaulia,-0.762249726076076,0.2216960339948437,0.7999999999999999,6,0.02235929067077872,0.44285471594907977,False,True,False
4572-130,Chromatocurvus,0.4666569121756902,0.44015311827419557,0.39999999999999997,9,0.11488049344641481,0.5871905989950283,False,False,False
4572-130,Crateriforma,-0.6896291597116815,0.2761612017116181,0.39999999999999997,9,0.07093292212798766,0.5323222963366413,False,False,False
4572-130,Cryomorpha,0.5626694889712573,0.5050165198485677,0.0,6,0.24749421742482652,0.6860395454202239,False,False,False
4572-130,DDH964,-0.026018833331382274,-0.315376945273448,-0.39999999999999997,9,0.7424826522744795,0.9183826497032829,False,False,False
4572-130,DSBN01,-0.2707270411525939,0.5446872844796241,0.7999999999999999,8,0.36700077101002315,0.7480595610025809,False,False,False
4572-130,DT-110,0.7695172697386834,0.6553342860975776,0.39999999999999997,6,0.12490362374710871,0.5871905989950283,False,True,False
4572-130,DT-91,0.6773560057902529,-0.26780612715607804,-0.7999999999999999,9,0.09175019275250579,0.5638742124083377,False,False,False
4572-130,Desulfobacter,0.7728481387514027,0.7359039740452868,0.39999999999999997,9,0.018504240555127217,0.4287951494077638,False,True,False
4572-130,Desulfohalobiaceae,-0.9341654016526487,0.37239655975129043,0.39999999999999997,6,0.08558211256746338,0.5567776599845798,False,True,False
4572-130,Desulfomicrobiaceae,0.8739251243586441,0.6761251156945449,0.39999999999999997,8,0.006168080185042405,0.37652907398243934,False,True,False
4572-130,Desulfotignum,0.6338297937307871,0.8821057570405036,1.0,9,0.5142636854279106,0.8155214496301809,False,False,False
4572-130,Fodinibius,0.11993937206713069,0.5392313620597473,0.39999999999999997,9,0.5443330763299923,0.8319589993234935,False,False,False
4572-130,GCA-2722315,0.6572520065018252,0.4508607985070248,0.0,9,0.047031611410948346,0.4925974152900864,False,False,False
4572-130,GCA-2748055,0.4768900290879349,0.6756503123755394,0.7999999999999999,9,0.2644564379336931,0.6994030592620787,False,False,False
4572-130,Gracilimonas,0.29814897546611174,0.3756273818504147,0.0,7,0.3253662297609869,0.7303775410112164,False,False,False
4572-130,Gramella,-0.25128765723737234,-0.7325932050544697,-0.7999999999999999,8,0.08866615265998458,0.5597520969761896,False,False,False
4572-130,Guyparkeria,-0.08539219612004026,0.25877562367711276,0.39999999999999997,9,0.843484965304549,0.9567766525603236,False,False,False
4572-130,HIMB11,-0.23215420785767693,-0.24020887671783805,-0.39999999999999997,7,0.18427139552814187,0.6309501948179994,False,False,False
4572-130,HLUCCA08,0.879225871129937,0.41142068095526996,0.0,9,0.14726291441788744,0.6028847765808474,False,True,False
4572-130,Halanaerobiales,-0.6754349507513225,0.3485291345544327,0.0,8,0.15188897455666925,0.6051424955891832,False,False,False
4572-130,Halanaerobium,0.5486280571585366,0.5567073943236717,0.7999999999999999,6,0.4772552043176561,0.7981900575175684,False,False,False
4572-130,Halioglobus,-0.6593583814134631,-0.025278388338624412,0.6000000000000001,9,0.16653816499614496,0.6147482805363113,False,False,False
4572-130,Halofilum,0.2547050910177556,-0.4049084385319044,-0.7999999999999999,9,0.16114109483423283,0.6101549196343129,False,False,False
4572-130,Halomonas,0.3608649254823991,0.417801752229346,0.19999999999999998,9,0.24518118735543562,0.6850149726103743,False,False,False
4572-130,IMCC34051,0.5718173159128527,0.1963876824031383,0.0,9,0.24286815728604472,0.6829362415262447,False,False,False
4572-130,J153,0.3718210265284954,-0.56929570895161,-0.39999999999999997,9,0.026214340786430222,0.4552724153566862,False,False,False
4572-130,JAAYHV01,-0.48864123148002964,0.1695052616707064,0.39999999999999997,6,0.6021588280647648,0.8597764380467404,False,False,False
4572-130,JAAYYF01,-0.12828505228741408,-0.4150198668493115,-0.39999999999999997,9,0.6507324595219738,0.8836307302273815,False,False,False
4572-130,JABSQH01,-0.060193342368036244,0.32516745665790503,0.7999999999999999,9,0.8388589051657671,0.9559043432491553,False,False,False
4572-130,KS3-K002,0.0010219565248887196,-0.5588866319363842,-0.7999999999999999,9,0.9969159599074788,0.9988697393487478,False,False,False
4572-130,Krumholzibacteria,0.47782854717588025,0.5861450476418271,0.39999999999999997,9,0.17501927525057825,0.6213791977212371,False,False,False
4572-130,M0040,-0.21708396685747414,-0.33278926167581685,0.0,9,0.17270624518118735,0.6202115155469049,False,False,False
4572-130,MWEM01,-0.045358526807913094,0.4735177692112769,0.39999999999999997,6,0.825751734772552,0.9513590409069684,False,False,False
4572-130,Maliponia,-0.319889641372338,0.23322504101566593,0.39999999999999997,9,0.4626060138781804,0.7893444291872165,False,False,False
4572-130,Maribacter,-0.3553067522584217,0.421665500269942,0.7999999999999999,9,0.3037779491133385,0.7228704334950855,False,False,False
