Rec_day_adj,diet,12_Ketolithocholic acid,drib,5oxpro,ala__L,all__D,arab__L,asn__L,asp__L,cellb,cholate,cit,cys__L,dca,dchac,ddca,galt,fru,fuc__L,fum,gal,glc__D,glu__L,gly,hxa,his__L,indole,ile__L,leu__L,lnlcACP,HC02191,lys__L,mal__L,melib,met__L,ttdca,acgam,nac,octa,orn__L,hdca,phe__L,C10164,pro__L,pyr,raffin,rmn,rib__D,ser__D,succ,sucr,thr__L,tyr__L,HC02194,pta,val__L,akg,cis_Oleic acid,meso_Erythritol,inost,4hpro_LT,ac,but,ppa
-3.0,RC-ABX,0.10771428571428572,0.22357142857142856,0.7858571428571428,13.193428571428571,0.076,8.597428571428571,0.08866666666666667,1.756714285714286,0.34575,2.8834285714285715,0.07385714285714286,2.5174285714285713,0.08342857142857142,10.586285714285713,0.07428571428571429,,1.5554285714285714,0.3241428571428572,0.654,6.652,42.618,0.5801428571428572,0.4351428571428571,0.151,,0.3758333333333333,5.276571428571429,9.501857142857144,4.163285714285714,0.25542857142857145,0.5906666666666667,0.338,5.904,1.310142857142857,0.7724285714285715,1.5178571428571428,2.5175714285714283,0.334,0.19442857142857142,0.859,1.483285714285714,0.21785714285714283,4.336714285714286,0.6944285714285714,145.728,0.2854285714285714,11.485,1.965142857142857,1.43,0.3648571428571428,0.8562857142857142,4.496571428571428,0.064,1.9715714285714285,1.9265714285714286,0.42766666666666664,3.220142857142857,0.07585714285714286,1.696142857142857,0.46228571428571424,28.42,8.306666666666667,6.949999999999999
-3.0,RC-PBS,0.085,0.20766666666666667,1.5146666666666668,17.866,0.025,5.095666666666666,0.1725,3.0370000000000004,0.2635,1.474,0.05433333333333334,1.399,0.050333333333333334,12.824,0.03933333333333333,,1.211,0.33433333333333337,0.581,9.921666666666667,30.784333333333336,1.4326666666666668,0.4453333333333333,0.108,,0.19733333333333333,5.955666666666667,10.257,2.8049999999999997,0.22466666666666665,1.1816666666666666,0.214,,2.1910000000000003,0.597,2.1813333333333333,2.753,0.18400000000000002,0.37233333333333335,0.7173333333333334,1.8950000000000002,0.152,6.620666666666666,1.1703333333333334,,0.09300000000000001,14.962666666666665,2.782,1.0293333333333334,0.18699999999999997,1.119,4.331666666666667,0.037333333333333336,2.3506666666666667,2.0273333333333334,1.3096666666666665,2.9146666666666667,0.048999999999999995,0.7773333333333333,0.25899999999999995,,,
-3.0,WD-ABX,0.2116,0.11879999999999999,0.5174000000000001,6.1297999999999995,0.07780000000000001,2.9326,0.159,1.4065999999999999,0.583,2.1515999999999997,0.0824,2.2588,0.15819999999999998,26.562599999999996,0.126,,1.9026000000000003,0.1734,0.4044,5.2665999999999995,30.607400000000002,0.41739999999999994,0.329,0.1734,,0.2218,3.2600000000000002,6.1492,2.8844000000000003,0.8868,0.4013333333333333,0.1324,,1.3446,1.705,0.9259999999999999,1.4632,0.3038,0.101,1.0353999999999999,0.942,0.20099999999999998,3.21,0.7243999999999999,,0.16699999999999998,7.3191999999999995,1.7454,1.7288000000000001,13.6906,0.5808,2.2074,0.26675,1.5102,1.1440000000000001,0.4816,3.4412,0.10825000000000001,0.8026,0.15499999999999997,22.415,3.9799999999999995,6.8100000000000005
-3.0,WD-PBS,0.06233333333333333,0.079,1.1733333333333333,13.751666666666665,0.0235,0.6546666666666666,0.17433333333333334,4.986666666666667,0.0965,1.6356666666666666,0.08,1.852,0.08166666666666667,21.617333333333335,0.06233333333333333,,0.5326666666666667,0.18899999999999997,0.3313333333333333,2.698333333333333,16.828,1.0426666666666666,0.48466666666666663,0.08733333333333333,,0.12733333333333333,8.056666666666667,16.045666666666666,0.3626666666666667,0.43966666666666665,1.4989999999999999,0.09866666666666668,,3.239333333333333,0.9196666666666666,1.102,1.5546666666666666,0.16666666666666666,0.45100000000000007,0.7743333333333333,2.9603333333333333,0.14133333333333334,5.0456666666666665,1.3083333333333333,,0.051,9.683333333333332,4.314666666666667,0.4116666666666667,1.1053333333333333,1.2176666666666667,5.4623333333333335,0.18266666666666667,1.4796666666666667,2.7136666666666667,1.2293333333333334,1.9533333333333334,0.018,1.2353333333333334,0.06533333333333334,,,
0.0,RC-ABX,0.024,0.055,0.829,1.666,0.136,4.922,0.217,1.196,,0.516,0.067,3.969,0.046,0.496,0.014,,1.692,0.303,0.353,0.392,10.943,0.334,0.178,0.076,,,3.25,6.612,2.321,,0.193,0.012,5.367,0.429,0.35,0.597,0.067,0.2,0.113,0.596,0.964,0.166,1.303,0.067,137.681,0.27,2.471,1.585,0.027,0.699,1.841,1.752,,0.045,1.037,,1.667,0.109,2.203,0.075,,,
3.0,RC-ABX,,0.043,0.819,0.755,0.141,1.656,0.206,1.285,,0.068,0.148,3.783,0.04,0.077,0.024,,2.207,0.113,0.378,0.328,3.803,0.364,0.127,0.072,,,2.173,3.95,1.989,,0.25,0.016,4.282,0.309,0.304,0.168,0.086,0.189,0.122,0.58,0.669,0.118,0.579,0.06,136.168,0.196,1.698,1.463,0.024,0.808,1.816,0.976,,0.041,0.721,,1.649,0.065,3.718,0.045,,,
5.0,RC-ABX,,0.043,0.958,1.404,0.083,0.527,0.297,1.969,,0.037,0.054,3.969,0.041,0.021,0.015,0.43,1.421,0.128,0.274,1.068,0.335,0.577,0.131,0.07,,,2.52,5.498,1.648,,0.761,0.011,,0.42,0.268,,0.215,0.179,0.476,0.547,0.824,0.116,1.122,0.298,,0.152,0.607,0.14,0.027,0.67,2.645,0.061,,0.039,1.073,0.005,1.239,0.176,0.197,0.125,,,
7.0,RC-ABX,,0.098,1.2069999999999999,3.57125,0.1105,4.337249999999999,0.4375,3.036,0.1865,1.15775,0.07225,3.862,0.06125,,0.032,1.0296666666666667,0.5865,0.16675,0.61425,3.2105,6.03675,0.65725,0.273,0.099,,0.244,3.5060000000000002,6.90575,2.7045,,0.393,0.050499999999999996,,0.6185,0.38825,0.281,0.71,0.25175000000000003,0.19175,0.66525,0.8979999999999999,0.19325,5.115,0.5892499999999999,,0.39675,1.9685000000000001,0.479,1.0475,0.47050000000000003,1.59975,0.73525,0.034,0.0785,1.48325,0.016749999999999998,1.8977499999999998,0.8402499999999999,2.7965,0.784,,,
7.0,WD-ABX,,0.031,0.579,1.0010000000000001,0.684,1.238,0.06366666666666666,0.544,5.309333333333334,0.105,0.12933333333333333,4.010666666666666,0.25966666666666666,0.113,0.14066666666666666,,6.357333333333333,0.22433333333333336,0.22,0.668,12.058666666666667,0.2416666666666667,0.18833333333333335,0.215,,,2.3833333333333333,4.361,0.588,,,,0.22399999999999998,0.4683333333333333,1.2380000000000002,0.498,0.07533333333333332,0.3073333333333333,,0.6859999999999999,0.42533333333333334,0.20199999999999999,1.1926666666666668,0.032,,0.15466666666666665,2.4613333333333336,1.9173333333333336,0.028,1.9169999999999998,0.729,1.4423333333333332,,0.056666666666666664,0.7053333333333334,,2.9156666666666666,0.06566666666666666,4.012666666666667,0.030666666666666665,,,
11.0,RC-ABX,0.31625000000000003,0.19575,0.444,9.17525,0.051500000000000004,11.815999999999999,0.101,2.0765000000000002,0.65175,0.83575,0.03925,3.0622499999999997,0.1335,61.217749999999995,0.098,,0.7454999999999999,0.34875,0.698,5.35025,46.877750000000006,0.29425,0.447,0.2025,,0.79575,5.373,10.26875,6.7835,0.96375,0.18266666666666667,0.29225,,0.8815000000000001,0.9325,1.14075,2.70375,0.48925,0.07975,1.17,0.9604999999999999,0.3345,3.8129999999999997,0.327,,0.23299999999999998,11.6305,1.18575,0.5640000000000001,0.359,0.55875,5.2295,0.0495,1.70675,1.6552499999999999,0.019666666666666666,4.366,0.11625,1.104,0.2505,,,
11.0,WD-ABX,0.022,0.045000000000000005,0.45366666666666666,1.211,0.42533333333333334,0.8033333333333333,0.043666666666666666,0.4506666666666666,4.683333333333334,0.106,0.10233333333333333,4.724,0.20766666666666667,0.4246666666666667,0.11566666666666665,,4.321666666666666,0.14533333333333334,0.21,0.2793333333333334,9.717,0.16566666666666666,0.21633333333333335,0.20866666666666667,,,2.4073333333333333,3.7533333333333334,0.5316666666666666,,,,0.11266666666666665,0.35600000000000004,1.095,0.36366666666666664,0.10099999999999999,0.3276666666666667,,0.7273333333333333,0.37333333333333335,0.25933333333333336,1.313,0.04133333333333333,,0.11233333333333334,2.066333333333333,1.617,0.029,2.029333333333333,0.6243333333333333,1.0476666666666665,,0.06566666666666666,0.7056666666666667,,2.579,0.065,3.6153333333333335,0.024000000000000004,,,
14.0,RC-ABX,0.047999999999999994,0.217125,0.805,8.4555,0.329,5.321125,0.2184,3.062375,0.7993333333333333,0.322375,0.072625,2.730625,0.063375,17.327624999999998,0.051000000000000004,,1.674625,0.192625,0.427875,3.940375,22.51925,0.606,0.300125,0.110875,,0.2076,5.949375,9.367625,3.48,0.5211666666666667,1.0242,0.18485714285714286,3.74,1.3775,0.531625,0.6685,1.441,0.240125,0.1824285714285714,0.710875,1.331125,0.17775,4.922,0.188375,144.172,0.14675,7.85925,2.0555,0.51925,1.355125,1.294875,3.2545,0.053,1.20275,1.702375,0.0906,2.4855,0.06385714285714286,1.3085,0.16675,36.29666666666666,9.693333333333333,8.206666666666667
14.0,WD-ABX,0.007,0.06875,0.948875,2.0375,0.281625,1.14475,0.20900000000000002,1.9928750000000002,2.9004285714285714,0.092125,0.12275,4.760375,0.083875,0.126,0.05600000000000001,0.264,2.639375,1.0365,0.22,2.0902857142857143,6.570125,0.507125,0.434,0.09875,,,3.7163749999999998,6.667125,0.5865,,0.22875,0.012750000000000001,2.402,0.6415,0.45575,0.5122857142857142,0.188125,0.195,0.1336,0.544375,0.852,0.165875,9.355375,0.664125,176.521,0.155625,1.411375,1.275875,0.22375,1.6152857142857144,2.026625,1.030375,,0.0415,1.18725,0.00575,1.1245,0.11,2.714125,0.09824999999999999,4.806666666666667,0.41,0.19000000000000003
28.0,RC-ABX,0.17675000000000002,0.28750000000000003,1.235,12.717166666666666,0.09525,4.586833333333334,0.41100000000000003,3.9066666666666667,0.45399999999999996,0.3393333333333333,0.10083333333333333,2.888666666666667,0.412,41.4804,0.33,0.518,1.6848333333333334,0.2801666666666667,0.498,4.098,26.201833333333337,0.8733333333333334,0.4573333333333333,0.18116666666666667,,0.2235,8.340000000000002,13.580333333333334,3.1835,1.9087500000000002,1.1330000000000002,0.1186,5.42,1.8468333333333333,2.0765,1.1283999999999998,1.6604999999999999,0.35683333333333334,0.3102,1.0885,1.9695,0.24833333333333332,5.293166666666667,0.7374999999999999,160.725,0.143,9.272166666666667,2.1575,0.7023333333333334,0.7976666666666666,2.099833333333333,5.376666666666666,0.12766666666666668,1.244,2.5836666666666663,0.48999999999999994,4.968833333333333,0.13333333333333333,1.9893333333333334,0.18083333333333332,34.65333333333333,9.546666666666667,7.116666666666666
