"","RC_-13","RC_-3","RC_0","RC_0.5","RC_1","RC_1.5","RC_11","RC_13","RC_15","RC_2","RC_3","RC_4","RC_5","RC_6","RC_7","RC_8","WD_-13","WD_-3","WD_0","WD_0.5","WD_1","WD_1.5","WD_11","WD_13","WD_15","WD_2","WD_3","WD_4","WD_5","WD_6","WD_7","WD_8"
"ASV00011;seqs=3029063;samples=663",0,0,0.000180413193501824,5.76900888427368e-05,0,0.000351686998571272,1.70772026175936e-05,0,0,6.52116515725551e-05,3.81213784690454e-05,2.76973236471836e-05,0,0,0,0,0,0.0193919788206422,0.961268729763297,0.959487273700733,0.980421235500676,0.975175434424621,0.174514993373086,0.109946818783917,0.108442646002315,0.984987920132918,0.982004571875971,0.988769471982583,0.978824015011901,0.988990108276796,0.808005698418327,0.445712560685465
"ASV00004;seqs=6473178;samples=1764",0.0010515271719376,0.0064141016862971,0.000638295273050678,0.000554165738617954,0,0,0.00969377568779021,0.00417829002946027,0.0136583407733794,0.00181899039527699,0.493812717247064,0.539788186526683,0.377750705164012,0.190610498059354,0.0275086181274215,0.00780572028893979,0.000912568743657806,0.0262793405596903,0.000841524086049313,0.000599982924564817,0.000405365846710903,0.00035305772786671,0.11994757714981,0.142060450691409,0.0572191200124504,0.000197863579363037,0.000206848295238791,0.000366809080020336,0.000372005362869356,0.000305292899526827,8.42116078766786e-05,0.000207637276553976
"ASV00014;seqs=1873525;samples=747",0.114233198466332,0.128060779687047,0.0421759509450961,0.0533028129836684,0.0249429567467258,0.0385365799239587,0,0,0,0.0283807358147654,0.000497827842330255,0.00110065083626752,3.32184922600913e-05,0,0,0,0.227517260625178,0.112589438261722,0.0144490484203251,0.0101804403400816,0.00924144088692954,0.00472747629547131,0,0,0,0.00337110108986495,0.00291473983217607,0.0029165165350646,0.00535224670575255,0.00228846669772751,0.000729477936161642,0
"ASV00021;seqs=1282115;samples=860",0.0073808055476616,0.00628867611694653,0.00359419894720046,0.00460425949980411,0.00152534213437979,0.00216798416880185,0.161681132036567,0.0801703284747564,0.065259311720465,0.00138955801199119,0,0.0407697918525056,0.159654317750213,0.198239151580004,0.213228754647239,0.246611678023379,0.00758939391916716,0.0790633727363957,0.0100382049398354,0.00813869957446912,0.00325826783413483,0.00437601453893207,0.000229912111477549,0,0.245869627444872,0.00459089572557011,0.00319672018989725,0.00399063376087309,0.005331052102415,0.00349177569615353,0.00215030509113676,0.000308457665408283
"ASV00006;seqs=5698377;samples=2075",0,0,0.00593394252145135,0.00663934910653331,0.0293583282658767,0.130030969888027,1.45329988507752e-05,0,0,0.270641402903829,0.306959853025204,0.0665194457139722,0.00916461145489744,0.00331688022655148,0.00106396038793633,0,0,0,0,0,0,0,0.401599781568561,0.455005533071144,0.262779625180977,0,0,0,0,0,0,0.114984689265646
"ASV00032;seqs=960137;samples=2129",0.000242860549704874,0.000995355816324309,0.27959819820648,0.268157111278443,0.417298095109056,0.287243276357024,9.24714153121536e-05,0.000904387979021849,0.000487559414261033,0.250157182206107,0.0190467888511829,0.008427697687062,0.00449472329962306,0.00069628648642918,0.000383785636381291,0.00130429737239376,0.000806313926564986,0,0.000137165527137672,0,0,6.19310088561343e-05,0,0,0,0,0,0,0,0,0,0
"ASV00037;seqs=790233;samples=478",0,0,0,0,0,0,0,0,0,0,0.0323794467339302,0.241830458933191,0.363757531123668,0.311133921791441,0.0974246672930908,0.0243942373941305,0,0,0,3.77594487120488e-05,0,0,0,0.004841192272195,0.124728337170834,1.47654326456333e-05,0,2.47099945188739e-05,2.0469990993204e-05,0,0,0
"ASV00118;seqs=251650;samples=89",0,0.000248210577540504,0.239172809388338,0.261967954537297,0.18002863774236,0.128748736835238,0.000182662674797514,0.000270653046397558,0.00047510648328572,0.11185509359471,0.00111397416589189,0.00114632794245311,0.000877325614776232,0.000432340676661264,0,0,0,0,0,5.07799655704573e-05,0,5.61313338727962e-05,0,0,0,0,0,0,0,0.000115153694002667,0,0
"ASV00018;seqs=1383912;samples=1558",0.0308570359033495,0.0520788288596723,0.00802881886338116,0.012101400883859,0.0047958403293652,0.0140825236075882,0.0758378474495311,0.106921357733009,0.146154165561574,0.0100824551965599,0.000513402824867361,0.00107076161966032,0.0012405745868452,0.00298950109311177,0.0355228311501936,0.122308194350709,0.0422836190626132,0.00169744659208209,0,0,0,2.82840624964645e-05,0,0,6.93986606058503e-05,5.54188557114673e-06,9.69217647514926e-06,0,4.9328027407683e-05,0,0,0
"ASV00028;seqs=1062794;samples=318",0.0547914830904861,0.0667548505154212,0.0653125068196328,0.106603213722645,0.058011730102339,0.0584112035158212,0,0,0,0.0502259347125656,0.000884376334316414,0.00107149640428819,0.00100016147485845,0.000256710864836633,0,0,0.0158570631474263,0.00741712375757551,0.00198846399076596,0.00131775481718146,0.000352714775297728,0.000525441883449314,0,0,0,0.000519508494374437,0.000415066390645814,0.00035396023334416,0.000444255839505778,0.000335445683039806,0.000185743599288966,8.77886050390659e-06
"ASV00181;seqs=161779;samples=51",0,0,0,0,0,0,0,0,0,0,0,3.36324644287229e-05,0,1.53808293343177e-05,0,0,0,0,0,0,0,0,0.134593713797344,0.0952274429337587,0.0796560854843734,2.43950039032006e-05,1.90501590688282e-05,1.79709051046356e-05,7.98364948585297e-06,0,0.138533612147895,0.312639822984749
"ASV00131;seqs=228350;samples=476",2.52484421137312e-05,0.000117501699366006,0.120351296112591,0.112547520342942,0.100456634073594,0.145007000892086,0.000129679066668455,0.000201506366339671,0.000414907043834728,0.0727372256512551,0.00210692298415397,0.0023327722146975,0.000988364209543261,0.000759724894560204,0,0,0,0,0.000551826594616401,0.000633041546399131,0.00302589088601811,0.00502949052185998,2.7038719446247e-05,5.59973121290178e-05,4.04825520200793e-05,0.00184456117451056,0.000796766679970487,0.000224905641860377,0.000102660005318197,0.000741589216302067,0.000522245062857463,0.000302579556733103
"ASV00183;seqs=159432;samples=128",0,0,0.00209519277845852,0.00267608577772093,0.010524993522069,0.0501218196521788,0,0,0,0.0982825501198794,0.109448516019054,0.0241000116173425,0.00283041049393636,0.0010394514273058,0.000422856051615719,0,0,0,0,0,0,0,0.144764548383367,0.170706217906801,0.0963353509850906,0,0,0,0,0,0,0.04033356103884
