"Class","Guild","rho","p_value","padj"
"Lignin","chemolithoautotroph",0.0381317895512826,0.850225065818274,0.905433876787701
"Lignin","heterotroph-aromatic",-0.0696450876525112,0.64557678344487,0.905433876787701
"Lignin","heterotroph-polymer",0.354716678674082,0.0106484486801237,0.724510141019237
"Lignin","heterotroph-sugar",-0.176092750870572,0.264629506411033,0.744335198062892
"Lignin","methyl_c1",-0.156161457799408,0.30003162265492,0.744335198062892
"Lignin","SCFA  and alcohol conversions",-0.283657514592909,0.109662241851149,0.744335198062892
"Lignin","heterotroph-ch4",0.0339884106912733,0.839464864097871,0.905433876787701
"Tannin","chemolithoautotroph",0.0749132723558612,0.710366432957923,0.905433876787701
"Tannin","heterotroph-aromatic",0.0507684320735038,0.737573532447906,0.905433876787701
"Tannin","heterotroph-polymer",-0.140238643617258,0.326327832297345,0.744335198062892
"Tannin","heterotroph-sugar",0.226902875635729,0.148444938978846,0.744335198062892
"Tannin","methyl_c1",0.204776565782576,0.172203703792793,0.744335198062892
"Tannin","SCFA  and alcohol conversions",-0.0232789521735801,0.897683409906999,0.913715163871729
"Tannin","heterotroph-ch4",0.100466619079155,0.548405540650428,0.905433876787701
"Amino Sugar","chemolithoautotroph",-0.0590921804941253,0.769691452853138,0.905433876787701
"Amino Sugar","heterotroph-aromatic",-0.139646314188032,0.354649564384402,0.775795922090879
"Amino Sugar","heterotroph-polymer",-0.241768304128321,0.0874090481284862,0.724510141019237
"Amino Sugar","heterotroph-sugar",-0.0845671703603394,0.594397937239707,0.905433876787701
"Amino Sugar","methyl_c1",0.00990664876037302,0.947901225033363,0.947901225033363
"Amino Sugar","SCFA  and alcohol conversions",0.175136363832134,0.329634159142138,0.744335198062892
"Amino Sugar","heterotroph-ch4",-0.278540810997999,0.0903830974426558,0.724510141019237
"Carbohydrate","chemolithoautotroph",-0.100489969440427,0.61797751669502,0.905433876787701
"Carbohydrate","heterotroph-aromatic",-0.0510458132262134,0.736191208062608,0.905433876787701
"Carbohydrate","heterotroph-polymer",-0.124730182311265,0.383163903205316,0.812771915890065
"Carbohydrate","heterotroph-sugar",0.165402694313128,0.295185221573448,0.744335198062892
"Carbohydrate","methyl_c1",-0.0354538753256832,0.81505037545756,0.905433876787701
"Carbohydrate","SCFA  and alcohol conversions",0.260078726770952,0.14381767638431,0.744335198062892
"Carbohydrate","heterotroph-ch4",-0.18335123046115,0.270518126428846,0.744335198062892
"Protein","chemolithoautotroph",-0.0625123026756022,0.756746294477708,0.905433876787701
"Protein","heterotroph-aromatic",-0.107505762988901,0.476998552972777,0.902429694813362
"Protein","heterotroph-polymer",-0.102292287719108,0.475054222988008,0.902429694813362
"Protein","heterotroph-sugar",-0.26353211302416,0.0917386128779125,0.724510141019237
"Protein","methyl_c1",-0.0496294439108559,0.743258213327273,0.905433876787701
"Protein","SCFA  and alcohol conversions",0.0914891532605924,0.612600869944819,0.905433876787701
"Protein","heterotroph-ch4",-0.215364353515778,0.194099528389566,0.744335198062892
"Other","chemolithoautotroph",0.0252118151857402,0.900662090102133,0.913715163871729
"Other","heterotroph-aromatic",0.075508818151347,0.617959206626819,0.905433876787701
"Other","heterotroph-polymer",0.283051548319952,0.0441518771594822,0.724510141019237
"Other","heterotroph-sugar",-0.0293336395712308,0.853694798114118,0.905433876787701
"Other","methyl_c1",-0.0498605798407365,0.742103511148395,0.905433876787701
"Other","SCFA  and alcohol conversions",-0.226022586379203,0.205950301261642,0.744335198062892
"Other","heterotroph-ch4",-0.0893934875758663,0.593534685144545,0.905433876787701
"Lipid","chemolithoautotroph",-0.12090776152058,0.54801479770393,0.905433876787701
"Lipid","heterotroph-aromatic",-0.0330205264930985,0.827544398006335,0.905433876787701
"Lipid","heterotroph-polymer",-0.0565186575031193,0.69363066524491,0.905433876787701
"Lipid","heterotroph-sugar",-0.181578729705097,0.249794166241477,0.744335198062892
"Lipid","methyl_c1",-0.0523246877432455,0.72982867709552,0.905433876787701
"Lipid","SCFA  and alcohol conversions",0.0573299553402633,0.751321275900517,0.905433876787701
"Lipid","heterotroph-ch4",-0.199477792918722,0.229867835942799,0.744335198062892
"Cond Hydrocarbon","chemolithoautotroph",0.048247535094714,0.811122953660003,0.905433876787701
"Cond Hydrocarbon","heterotroph-aromatic",0.178321219153601,0.235748343198043,0.744335198062892
"Cond Hydrocarbon","heterotroph-polymer",-0.283419192763872,0.0438655920898094,0.724510141019237
"Cond Hydrocarbon","heterotroph-sugar",0.262432697902353,0.0931513038453304,0.724510141019237
"Cond Hydrocarbon","methyl_c1",0.10420347443247,0.490714920529546,0.903948537817586
"Cond Hydrocarbon","SCFA  and alcohol conversions",0.175903623089662,0.327486287186226,0.744335198062892
"Cond Hydrocarbon","heterotroph-ch4",0.242872474897334,0.141763668479404,0.744335198062892
"Unsat Hydrocarbon","chemolithoautotroph",-0.221040436951294,0.267867632549407,0.744335198062892
"Unsat Hydrocarbon","heterotroph-aromatic",0.172074819438758,0.252829316890828,0.744335198062892
"Unsat Hydrocarbon","heterotroph-polymer",0.176092750866035,0.216434935377834,0.744335198062892
"Unsat Hydrocarbon","heterotroph-sugar",0.281135807543988,0.0713012776131903,0.724510141019237
"Unsat Hydrocarbon","methyl_c1",-0.069749585491647,0.645080311070607,0.905433876787701
"Unsat Hydrocarbon","SCFA  and alcohol conversions",0.191340253164401,0.286117104512624,0.744335198062892
"Unsat Hydrocarbon","heterotroph-ch4",-0.0448046812910976,0.789390339822871,0.905433876787701
"Lipid;Unsat Hydrocarbon","chemolithoautotroph",-0.0858300184259496,0.670348745893643,0.905433876787701
"Lipid;Unsat Hydrocarbon","heterotroph-aromatic",-0.0312948897928941,0.836430473496158,0.905433876787701
"Lipid;Unsat Hydrocarbon","heterotroph-polymer",0.239541346190264,0.0904545736550713,0.724510141019237
"Lipid;Unsat Hydrocarbon","heterotroph-sugar",-0.133557285210428,0.399107608168953,0.821692134465491
"Lipid;Unsat Hydrocarbon","methyl_c1",0.0230677362526588,0.879054843885819,0.913715163871729
"Lipid;Unsat Hydrocarbon","SCFA  and alcohol conversions",-0.191368497665376,0.286044637305948,0.744335198062892
"Lipid;Unsat Hydrocarbon","heterotroph-ch4",-0.130720960749687,0.434058771352687,0.868117542705374
