"Metric","Guild","rho","p_value","padj"
"AI_Mod","chemolithoautotroph",0.0497877903339095,0.805205356141867,0.95068499028483
"AI_Mod","heterotroph-aromatic",0.214305617938135,0.152668967197201,0.593712650211336
"AI_Mod","heterotroph-polymer",-0.0847875872522542,0.554145170351721,0.8620035983249
"AI_Mod","heterotroph-sugar",0.240040783306386,0.125725014219765,0.583365290944491
"AI_Mod","methyl_c1",0.0485645539555233,0.74858532863025,0.95068499028483
"AI_Mod","SCFA  and alcohol conversions",0.0402127528153061,0.824168151698288,0.95068499028483
"AI_Mod","heterotroph-ch4",0.3015449386171,0.0657915205743564,0.575675805025619
"DBE","chemolithoautotroph",-0.0519299822731219,0.796992589200695,0.95068499028483
"DBE","heterotroph-aromatic",0.224661559948826,0.133340637930169,0.583365290944491
"DBE","heterotroph-polymer",0.20621752605152,0.146547536739929,0.593712650211336
"DBE","heterotroph-sugar",0.452668914714267,0.0026123055295264,0.0785732739797214
"DBE","methyl_c1",0.0433122050012567,0.775025629342229,0.95068499028483
"DBE","SCFA  and alcohol conversions",-0.00695215317245268,0.969370703202327,0.969370703202327
"DBE","heterotroph-ch4",0.194917348885368,0.240915066105169,0.674562185094472
"NOSC","chemolithoautotroph",0.139317155746754,0.488278117572308,0.833645566586868
"NOSC","heterotroph-aromatic",0.0688487740533213,0.64936508940202,0.890562987815196
"NOSC","heterotroph-polymer",-0.225358292052634,0.111832352284753,0.583365290944491
"NOSC","heterotroph-sugar",0.203699962036266,0.195699058411227,0.622678822217542
"NOSC","methyl_c1",0.081399870612824,0.590728244681806,0.864938451691044
"NOSC","SCFA  and alcohol conversions",0.0996848032351734,0.580987265245157,0.864938451691044
"NOSC","heterotroph-ch4",0.158629054638614,0.341487037202954,0.747002893881461
"lambda","chemolithoautotroph",0.203820436795484,0.307859953302057,0.731174550626656
"lambda","heterotroph-aromatic",-0.148758547404233,0.323805872420376,0.731174550626656
"lambda","heterotroph-polymer",-0.474090770027729,0.000440811797657092,0.0308568258359965
"lambda","heterotroph-sugar",-0.268885774677781,0.085094729893711,0.583365290944491
"lambda","methyl_c1",0.014202456403122,0.925363787303987,0.955455006053645
"lambda","SCFA  and alcohol conversions",0.243683172834958,0.171756577236227,0.622678822217542
"lambda","heterotroph-ch4",-0.07336891997287,0.661561076662717,0.890562987815196
"HtoC","chemolithoautotroph",-0.0771876526414049,0.701962942648214,0.927120867648585
"HtoC","heterotroph-aromatic",-0.162639035806678,0.280175764524426,0.726381611729994
"HtoC","heterotroph-polymer",0.099835552018355,0.485779282227199,0.833645566586868
"HtoC","heterotroph-sugar",-0.244678101919161,0.118362237355893,0.583365290944491
"HtoC","methyl_c1",-0.0664178346263321,0.660983738866069,0.890562987815196
"HtoC","SCFA  and alcohol conversions",-0.0392118187198997,0.82847922166942,0.95068499028483
"HtoC","heterotroph-ch4",-0.250122497694941,0.129888332898498,0.583365290944491
"OtoC","chemolithoautotroph",0.160635649417389,0.423473825545116,0.780083362846267
"OtoC","heterotroph-aromatic",0.00634171041261921,0.966635610269825,0.969370703202327
"OtoC","heterotroph-polymer",-0.178474472112042,0.210186086906488,0.639696786237136
"OtoC","heterotroph-sugar",0.189148028664021,0.230259032608113,0.671588845106996
"OtoC","methyl_c1",0.167841125560459,0.264868537244427,0.713107600273456
"OtoC","SCFA  and alcohol conversions",-0.0329360471108449,0.855616491256347,0.95068499028483
"OtoC","heterotroph-ch4",0.11064959996795,0.508394261627811,0.847323769379685
"NtoC","chemolithoautotroph",0.0891989488121129,0.658168440895413,0.890562987815196
"NtoC","heterotroph-aromatic",-0.125434035443811,0.406193902533781,0.768474950739585
"NtoC","heterotroph-polymer",-0.132321975543462,0.354643507435001,0.752274106680306
"NtoC","heterotroph-sugar",-0.138462961818349,0.381854166240923,0.765027394979877
"NtoC","methyl_c1",-0.201927008124968,0.178381366784751,0.622678822217542
"NtoC","SCFA  and alcohol conversions",0.26809970565042,0.131426126362703,0.583365290944491
"NtoC","heterotroph-ch4",-0.171420948607851,0.30345513743797,0.731174550626656
"PtoC","chemolithoautotroph",-0.171366332655714,0.392739978998629,0.765027394979877
"PtoC","heterotroph-aromatic",0.018711748284601,0.9017686952403,0.955455006053645
"PtoC","heterotroph-polymer",0.402992889832619,0.00336742602770235,0.0785732739797214
"PtoC","heterotroph-sugar",-0.0312856861539645,0.844075140454756,0.95068499028483
"PtoC","methyl_c1",0.0216530662162274,0.886421859233642,0.955455006053645
"PtoC","SCFA  and alcohol conversions",-0.32646706375192,0.063700452540657,0.575675805025619
"PtoC","heterotroph-ch4",0.0151312979828909,0.928156291594969,0.955455006053645
"NtoP","chemolithoautotroph",-0.143596977826236,0.474880180400112,0.833645566586868
"NtoP","heterotroph-aromatic",-0.0342367307495183,0.821294329730384,0.95068499028483
"NtoP","heterotroph-polymer",0.0878054611305496,0.540077261135341,0.8620035983249
"NtoP","heterotroph-sugar",0.335200494081339,0.0300067226229257,0.3500784306008
"NtoP","methyl_c1",-0.149530279039766,0.321273631324607,0.731174550626656
"NtoP","SCFA  and alcohol conversions",0.293996302997628,0.0967755436511646,0.583365290944491
"NtoP","heterotroph-ch4",0.0183843561798769,0.912764558559825,0.955455006053645
"Richness","chemolithoautotroph",-0.122194019760111,0.543733698719726,0.8620035983249
