"","Transformation","rho","p_value","padj"
"1","#N/A-1",-0.135639445564937,0.368760523724806,0.836337191457395
"2","#N/A-2",0.101694678861149,0.501270577786515,0.872239405545175
"3","#N/A-3",0.3170058487586,0.0318273114656276,0.641054286914062
"4","#N/A-4",0.145539765007526,0.334502384034858,0.836017867808634
"5","#N/A-5",0.271681418538313,0.0677831796004253,0.655134250300295
"6","2ndIP",-0.0618767751901269,0.682898524236961,0.897363279860078
"7","acetone (-H)",NA,NA,NA
"8","acetone_(_H)_C3H5O",-0.103515196091483,0.493599292350031,0.872239405545175
"9","acetotacetate (-H2O)",0.118311469793442,0.433568142854233,0.853347594959473
"10","acetotacetate_(_H2O)_C4H4O2",0.0838238884756889,0.5796804526061,0.877455387483686
"11","acetylation (-H)",0.153842243492795,0.307355600849239,0.821006944659787
"12","acetylation (-H2O)",0.0316872449782926,0.83440824858801,0.958031355833676
"13","acetylation_(_H2O)_C2H2O",0.16150897426261,0.283576161779175,0.798725980025586
"14","adenine (-H)",NA,NA,NA
"15","adenine_(_H)_C5H4N5",-0.152168961869814,0.312710102301871,0.82411268247383
"16","adenosine (-H2O)",NA,NA,NA
"17","Adenosine 5'-diphosphate (-H2O)",NA,NA,NA
"18","adenylate (-H2O)",NA,NA,NA
"19","Alanine",-0.225224973264642,0.132344165562815,0.711456521480172
"20","Alanine_C3H5NO",-0.181613152097295,0.22707118964559,0.765680755425165
"21","Arginine",0.120996884588735,0.423128406256899,0.851736670758267
"22","Asparagine",NA,NA,NA
"23","Asparagine_C4H6N2O2",-0.213702024280931,0.153855812788631,0.74676352842134
"24","Aspartic Acid",-0.0910738372953648,0.547209632337311,0.872239405545175
"25","Aspartic_Acid_C4H5NO3",-0.251543073450491,0.0917318478768991,0.679428645870443
"26","biotinyl (-H)",-0.0827158842589886,0.584718720973218,0.877455387483686
"27","biotinyl (-H2O)",0.319461118352685,0.0304548371247231,0.641054286914062
"28","C_10H_10N7O12P3S1",NA,NA,NA
"29","C_10H_12N7O11P3S1",NA,NA,NA
"30","C_10H_2O5P2",0.0300984920706758,0.842603180720345,0.958031355833676
"31","C_1H_1N1",-0.210537186219508,0.160189822634331,0.753245714067236
