,RC-ABX_-1.5,RC-ABX_5.5,RC-ABX_4.0,RC-ABX_6.0,RC-ABX_12.5,RC-ABX_21.0,RC-ABX_15.5
26DAPLLATi_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
2MBCOATA_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
2OBUTt2r_ASV00002,-6.141325120123522e-05,0.0,0.0,0.0,0.0,0.0,0.0
3HAD10M12_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD11M12_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD12M14_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD13M14_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD14M16_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD15M16_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD4M6_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD5M6_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD6M8_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD7M8_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD8M10_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3HAD9M10_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR10M12_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR11M12_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR12M14_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR13M14_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR14M16_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR15M16_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR4M6_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR5M6_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR6M8_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR7M8_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR8M10_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAR9M10_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS10M12_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS11M12_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS12M14_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS13M14_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS3M4_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS4M3O6_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS4M6_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS5M6_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS6M8_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS7M8_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS8M10_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
3OAS9M10_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
4HTHDR_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
4HTHDS_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
ACALD_ASV00002,0.003674361676410747,-808.5583925703695,0.0,0.0,0.0,0.0,0.0
ACALDt_ASV00002,0.0,-617.1262895421168,0.0,0.0,0.0,0.0,0.0
ACBIPGT_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
ACCOACL_ASV00002,0.0025725111120457568,0.0,0.0,0.0,0.0,0.0,0.0
ACGAMT_ASV00002,1.3970108819546198e-05,3.276054326401111e-05,0.0,0.0,0.0,0.0,0.0
ACKr_ASV00002,-0.010238662020276366,999.9185084606364,0.0,0.0,0.0,0.0,0.0
ACOAAGPAT180_ASV00002,0.00010718796300190653,0.0,0.0,0.0,0.0,0.0,0.0
ACOAAGPATAI17_ASV00002,0.00010718796300190653,0.0,0.0,0.0,0.0,0.0,0.0
ACOAAGPATI17_ASV00002,0.00010718796300190653,0.0,0.0,0.0,0.0,0.0,0.0
ACPS1_ASV00002,2.0471083733745074e-05,4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
ACTNDH_ASV00002,0.003786134407237048,-191.35702835478742,0.0,0.0,0.0,0.0,0.0
ACTNdiff_ASV00002,0.003786134407237048,-191.35702835478742,0.0,0.0,0.0,0.0,0.0
ACtr_ASV00002,-0.004356196831190435,999.9353992090124,0.0,0.0,0.0,0.0,0.0
ADD_ASV00002,0.003541065166207297,0.0,0.0,0.0,0.0,0.0,0.0
ADK1_ASV00002,0.0018629165765144573,0.004851774781814713,0.0,0.0,0.0,0.0,0.0
ADK2_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
ADNCNT3tc_ASV00002,0.0037950636757327623,0.0013356602886275529,0.0,0.0,0.0,0.0,0.0
ADOCBIK_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
ADOCBLS_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
AIHDUDPMG_ASV00002,1.862681175939493e-05,0.0,0.0,0.0,0.0,0.0,0.0
AIHDUPDG_ASV00002,1.862681175939493e-05,0.0,0.0,0.0,0.0,0.0,0.0
AIHPDCOATA_ASV00002,0.00021437592600381306,0.0,0.0,0.0,0.0,0.0,0.0
ALAALA_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
ALAPAT4te_ASV00002,0.0012378963367049578,0.005192576340405252,0.0,0.0,0.0,0.0,0.0
ALAPGPL_ASV00002,4.6567029398487325e-06,1.0920181088003705e-05,0.0,0.0,0.0,0.0,0.0
ALAR_ASV00002,0.0005541476498419992,0.001609741112741153,0.0,0.0,0.0,0.0,0.0
ALATA_L_ASV00002,-1.0763194962847087e-05,0.0,0.0,0.0,0.0,0.0,0.0
ALCD2x_ASV00002,0.0,-0.07486158481538041,0.0,0.0,0.0,0.0,0.0
AMMQT8r_ASV00002,-2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
ARGt2_ASV00002,0.0009343048819567595,0.0022444515450419913,0.0,0.0,0.0,0.0,0.0
ASAD_ASV00002,-4.6567029398487325e-06,-0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
ASNS1_ASV00002,2.623311226481999e-05,0.0,0.0,0.0,0.0,0.0,0.0
ASPK_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
ASPTA_ASV00002,0.0,-0.0009808499397310675,0.0,0.0,0.0,0.0,0.0
ATPS4_ASV00002,0.050705158955802805,249.99662791111587,0.0,0.0,0.0,0.0,0.0
BPNT_ASV00002,2.0471083733745074e-05,4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
BTNCLi_ASV00002,0.0025725111120457568,0.0,0.0,0.0,0.0,0.0,0.0
CAt4i_ASV00002,2.0471083733745074e-05,4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
CBIAT_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
CBMKr_ASV00002,-0.06495045691313683,-750.2270508849125,0.0,0.0,0.0,0.0,0.0
CDPGLYCGPT_ASV00002,1.3970108819546198e-05,3.276054326401111e-05,0.0,0.0,0.0,0.0,0.0
CLPNS180_ASV00002,2.21402878106279e-05,0.0,0.0,0.0,0.0,0.0,0.0
CLPNSAI17_ASV00002,2.21402878106279e-05,0.0,0.0,0.0,0.0,0.0,0.0
CLPNSI17_ASV00002,2.21402878106279e-05,0.0,0.0,0.0,0.0,0.0,0.0
CO2t_ASV00002,-0.00034243203395021866,-0.0048262532424479115,0.0,0.0,0.0,0.0,0.0
COBALTt5_ASV00002,-2.0471083733745074e-05,-4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
CPPPGO_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
CTPS1_ASV00002,0.0,0.0007853339533277527,0.0,0.0,0.0,0.0,0.0
CYSTGL_ASV00002,6.141325120123522e-05,0.0,0.0,0.0,0.0,0.0,0.0
CYSTS_ASV00002,6.141325120123522e-05,0.0,0.0,0.0,0.0,0.0,0.0
CYTDK1_ASV00002,6.735601993278651e-05,0.0,0.0,0.0,0.0,0.0,0.0
CYTK1_ASV00002,0.0023028248172163365,0.0014742244468805002,0.0,0.0,0.0,0.0,0.0
CYTK2_ASV00002,2.68171016429692e-05,7.102954996720904e-05,0.0,0.0,0.0,0.0,0.0
Cuabc_ASV00002,2.0471083733745074e-05,4.7220410957173936e-05,0.0,0.0,0.0,0.0,0.0
DADNK_ASV00002,4.247781459166595e-05,7.102954996720904e-05,0.0,0.0,0.0,0.0,0.0
DAPE_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
DASYN180_ASV00002,8.85611512425116e-05,0.0,0.0,0.0,0.0,0.0,0.0
DASYNAI17_ASV00002,8.85611512425116e-05,0.0,0.0,0.0,0.0,0.0,0.0
DASYNI17_ASV00002,8.85611512425116e-05,0.0,0.0,0.0,0.0,0.0,0.0
DCMPDA_ASV00002,-2.68171016429692e-05,-7.102954996720904e-05,0.0,0.0,0.0,0.0,0.0
DHFOR2_ASV00002,-6.141325120123523e-05,0.0,0.0,0.0,0.0,0.0,0.0
DHFR_ASV00002,0.00010389106579290118,7.102954996720904e-05,0.0,0.0,0.0,0.0,0.0
DHNAOT7_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
DMATT_ASV00002,4.6567029398487325e-06,0.0005591664818904932,0.0,0.0,0.0,0.0,0.0
DMQMT_ASV00002,2.0471083733745074e-05,0.0,0.0,0.0,0.0,0.0,0.0
