I#OTU_ID	Salt_Pond_MetaGSF2_A_D1_MG	Salt_Pond_MetaGSF2_A_D2_MG	Salt_Pond_MetaGSF2_A_H2O_MG	Salt_Pond_MetaGSF2_B_D1_MG	Salt_Pond_MetaGSF2_B_D2_MG	Salt_Pond_MetaGSF2_B_H2O_MG	Salt_Pond_MetaGSF2_C_D1_MG	Salt_Pond_MetaGSF2_C_D2_MG	Salt_Pond_MetaGSF2_C_H2O_MG	Salt_Pond_MetaG_R1_A_D1_MG	Salt_Pond_MetaG_R1_A_D2_MG	Salt_Pond_MetaG_R1_A_H2O_MG	Salt_Pond_MetaG_R1_B_D1_MG	Salt_Pond_MetaG_R1_B_D2_MG	Salt_Pond_MetaG_R1_B_H2O_MG	Salt_Pond_MetaG_R1_C_D1_MG	Salt_Pond_MetaG_R1_C_D2_MG	Salt_Pond_MetaG_R1_C_H2O_MG	Salt_Pond_MetaG_R2A_A_D1_MG	Salt_Pond_MetaG_R2A_A_D2_MG	Salt_Pond_MetaG_R2A_A_H2O_MG	Salt_Pond_MetaG_R2A_B_D1_MG	Salt_Pond_MetaG_R2A_B_D2_MG	Salt_Pond_MetaG_R2A_B_H2O_MG	Salt_Pond_MetaG_R2A_C_D1_MG	Salt_Pond_MetaG_R2A_C_D2_MG	Salt_Pond_MetaG_R2A_C_H2O_MG	Salt_Pond_MetaG_R2_A_D1_MG	Salt_Pond_MetaG_R2_A_D2_MG	Salt_Pond_MetaG_R2_A_H2O_MG	Salt_Pond_MetaG_R2_B_D1_MG	Salt_Pond_MetaG_R2_B_D2_MG	Salt_Pond_MetaG_R2_B_H2O_MG	Salt_Pond_MetaG_R2_C_D1_MG	Salt_Pond_MetaG_R2_C_D2_MG	Salt_Pond_MetaG_R2_C_H2O_MG	Salt_Pond_MetaG_R2_restored_C_black_MG	Salt_Pond_MetaG_R2_restored_DShore_MG	Salt_Pond_MetaG_R2_restored_H2O_MG
Salt_Pond_MetaGSF2_A_D1_MG_DASTool_bins_concoct_out.23	387396.0	414554.0	169213.0	255540.0	215476.0	30173.0	227722.0	98878.0	24883.0	46.0	80.0	24.0	165.0	77.0	71.0	93.0	127.0	49.0	75260.0	4273.0	12676.0	7752.0	9689.0	9975.0	2267.0	2989.0	47161.0	88.0	85.0	4.0	163.0	140.0	0	265.0	81.0	0	249.0	245.0	61.0
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.11	20618.0	61521.0	9734.0	49222.0	41554.0	5110.0	77441.0	42082.0	4517.0	54.0	43.0	16.0	35.0	92.0	25.0	19.0	185.0	32.0	8319.0	166.0	14110.0	255.0	468.0	5662.0	252.0	119.0	12993.0	220.0	108.0	5.0	39.0	122.0	0	15.0	58.0	2.0	158.0	38.0	47.0
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.13	26131.0	376069.0	7261.0	99884.0	113552.0	2751.0	360300.0	263084.0	1882.0	63.0	55.0	8.0	134.0	44.0	21.0	47.0	68.0	40.0	1051.0	139.0	743.0	435.0	5204.0	418.0	1954.0	28226.0	2098.0	267.0	148.0	4.0	199.0	152.0	0	181.0	62.0	0	237.0	1466.0	85.0
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.28	256994.0	550028.0	71943.0	953945.0	843267.0	14630.0	639595.0	458541.0	9964.0	59.0	88.0	16.0	127.0	77.0	49.0	87.0	124.0	28.0	11698.0	675.0	9425.0	3877.0	26562.0	5002.0	2325.0	10671.0	28087.0	303.0	212.0	4.0	185.0	219.0	4.0	224.0	83.0	6.0	244.0	1627.0	121.0
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.33	4056.0	205159.0	2307.0	3290.0	3772.0	468.0	4461.0	72380.0	488.0	1230.0	928.0	217.0	1489.0	1480.0	345.0	1520.0	1008.0	407.0	2522.0	2288.0	612.0	4984.0	18639.0	532.0	4776.0	26700.0	1378.0	952.0	313.0	19.0	1446.0	3526.0	25.0	2013.0	602.0	55.0	2233.0	59994.0	39.0
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.40	6917.0	449815.0	873.0	31161.0	75655.0	351.0	26115.0	258731.0	255.0	229.0	208.0	36.0	293.0	269.0	36.0	166.0	296.0	130.0	33.0	218.0	16.0	30.0	354.0	28.0	5964.0	11093.0	25.0	491.0	142.0	10.0	1584.0	2507.0	6.0	172.0	545.0	139.0	484.0	471594.0	4.0
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.55	126894.0	189136.0	91627.0	136116.0	107444.0	20563.0	95030.0	43436.0	17592.0	842.0	870.0	102.0	1076.0	1021.0	204.0	1045.0	760.0	288.0	16195.0	4579.0	10838.0	6403.0	4580.0	10620.0	2563.0	2565.0	50035.0	774.0	347.0	0	987.0	1223.0	4.0	1806.0	591.0	2.0	2200.0	376.0	34.0
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.8	420109.0	520557.0	154357.0	344761.0	290719.0	25405.0	322397.0	139554.0	20087.0	129.0	154.0	20.0	349.0	149.0	87.0	154.0	258.0	85.0	63225.0	5768.0	15418.0	10459.0	7335.0	9776.0	3241.0	1085.0	29123.0	433.0	240.0	4.0	396.0	279.0	0	610.0	184.0	2.0	271.0	2203.0	80.0
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.23	344049.0	290825.0	124330.0	408800.0	316271.0	26144.0	240732.0	115458.0	20107.0	175.0	227.0	13.0	424.0	263.0	74.0	371.0	258.0	105.0	169200.0	17221.0	14223.0	35523.0	17262.0	28926.0	6175.0	3213.0	172438.0	546.0	261.0	7.0	318.0	603.0	5.0	379.0	200.0	0	402.0	178.0	116.0
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.33	101.0	156.0	149095.0	106.0	131.0	254203.0	160.0	89.0	267889.0	5.0	4.0	57.0	14.0	8.0	74.0	2.0	0	54.0	26.0	20.0	40135.0	16.0	18.0	36894.0	22.0	24.0	17457.0	10.0	6.0	6.0	8.0	7.0	4.0	8.0	3.0	0	8.0	4.0	0
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.14	481006.0	396950.0	183521.0	720101.0	574156.0	58821.0	344279.0	197749.0	47516.0	904.0	588.0	89.0	1242.0	981.0	195.0	967.0	803.0	218.0	76683.0	9381.0	26967.0	19992.0	20080.0	31731.0	5472.0	4635.0	200726.0	1681.0	885.0	14.0	988.0	2251.0	4.0	791.0	566.0	8.0	1297.0	787.0	104.0
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.23	375.0	326.0	277658.0	340.0	327.0	532851.0	379.0	144.0	535408.0	2.0	19.0	158.0	83.0	12.0	993.0	6.0	7.0	333.0	126.0	109.0	278414.0	100.0	91.0	288049.0	137.0	44.0	143786.0	29.0	23.0	40.0	16.0	25.0	8.0	10.0	18.0	4.0	2.0	11.0	170.0
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.28	483.0	613.0	81568.0	689.0	599.0	129279.0	658.0	370.0	129270.0	50.0	79.0	53.0	69.0	45.0	121.0	16.0	41.0	93.0	475.0	153.0	79225.0	131.0	133.0	83372.0	118.0	61.0	45470.0	66.0	15.0	2.0	47.0	146.0	6.0	46.0	95.0	1.0	46.0	9.0	12.0
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.34	827.0	804.0	102455.0	803.0	707.0	222159.0	883.0	374.0	243954.0	488.0	272.0	239.0	187.0	166.0	394.0	166.0	186.0	185.0	658.0	379.0	32553.0	280.0	223.0	36741.0	270.0	288.0	21344.0	140.0	54.0	4.0	189.0	193.0	7.0	198.0	100.0	6.0	258.0	236.0	50.0
Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_concoct_out.44	39915.0	26693.0	24284.0	236642.0	176519.0	10549.0	48944.0	24539.0	9322.0	158.0	248.0	38.0	214.0	188.0	44.0	56.0	206.0	89.0	11709.0	4085.0	8791.0	4268.0	3094.0	10176.0	2883.0	3278.0	65807.0	821.0	480.0	2.0	278.0	1176.0	0	261.0	1637.0	2.0	642.0	73.0	16.0
Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_metabat.9	24573.0	153101.0	8010.0	184530.0	168273.0	3016.0	285401.0	207249.0	1820.0	23.0	46.0	14.0	75.0	31.0	25.0	35.0	49.0	18.0	767.0	94.0	1140.0	324.0	3159.0	485.0	648.0	8026.0	2969.0	168.0	104.0	0	120.0	88.0	0	140.0	16.0	0	186.0	1478.0	37.0
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.42	6268.0	115299.0	2218.0	170313.0	273165.0	685.0	81746.0	85421.0	511.0	759.0	708.0	136.0	1220.0	1518.0	186.0	1168.0	1008.0	520.0	1254.0	1588.0	470.0	1915.0	8093.0	333.0	2151.0	4844.0	1025.0	3676.0	1564.0	12.0	2014.0	3678.0	8.0	2195.0	2663.0	11.0	2364.0	4851.0	27.0
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.55	226676.0	335933.0	153858.0	232604.0	180253.0	29242.0	172663.0	73592.0	24576.0	225.0	246.0	36.0	457.0	364.0	79.0	245.0	302.0	100.0	46722.0	4453.0	15234.0	13763.0	4844.0	14869.0	3756.0	1422.0	63113.0	273.0	136.0	28.0	235.0	406.0	8.0	480.0	203.0	11.0	292.0	326.0	50.0
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_metabat.4	1294.0	6272.0	425.0	79103.0	291451.0	229.0	13470.0	60051.0	122.0	3938.0	4442.0	652.0	3019.0	3806.0	926.0	2867.0	4742.0	1464.0	150.0	123.0	486.0	248.0	166.0	236.0	189.0	250.0	303.0	1342.0	483.0	178.0	13281.0	3434.0	207.0	2092.0	1770.0	340.0	7411.0	815476.0	6.0
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.14	80.0	24.0	27379.0	19.0	22.0	49287.0	21.0	15.0	34828.0	0	0	20.0	9.0	6.0	69.0	1.0	0	40.0	26.0	26.0	47304.0	8.0	26.0	42649.0	29.0	19.0	26399.0	8.0	3.0	13.0	2.0	5.0	0	5.0	2.0	0	0	2.0	63.0
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.91	216.0	143.0	50867.0	100.0	114.0	105142.0	141.0	51.0	101448.0	14.0	25.0	26.0	11.0	17.0	182.0	14.0	14.0	49.0	405.0	880.0	16940.0	492.0	494.0	27869.0	279.0	182.0	12918.0	10.0	14.0	12.0	10.0	20.0	2.0	12.0	6.0	0	18.0	50.0	10.0
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.11	221.0	231.0	68347.0	269.0	230.0	135226.0	176.0	103.0	138947.0	24.0	8.0	41.0	12.0	12.0	334.0	6.0	4.0	72.0	101.0	56.0	56797.0	89.0	53.0	62015.0	63.0	32.0	31857.0	18.0	12.0	1.0	14.0	35.0	4.0	26.0	18.0	0	22.0	14.0	27.0
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.19	251.0	232.0	67397.0	330.0	314.0	103474.0	255.0	142.0	86182.0	48.0	58.0	199.0	94.0	82.0	711.0	35.0	69.0	296.0	345.0	148.0	91685.0	178.0	79.0	73650.0	94.0	32.0	31172.0	123.0	96.0	14.0	56.0	220.0	4.0	64.0	85.0	0	62.0	21.0	16.0
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.25	50.0	36.0	216764.0	40.0	111.0	431812.0	177.0	75.0	493788.0	10.0	24.0	114.0	61.0	4.0	472.0	18.0	6.0	162.0	37.0	63.0	276552.0	72.0	95.0	255422.0	102.0	42.0	130867.0	62.0	107.0	170.0	46.0	34.0	88.0	30.0	7.0	81.0	38.0	14.0	8.0
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.28	199.0	229.0	39420.0	227.0	238.0	85145.0	245.0	106.0	80320.0	43.0	67.0	164.0	80.0	41.0	420.0	51.0	54.0	258.0	266.0	161.0	79736.0	94.0	46.0	74187.0	98.0	47.0	45105.0	151.0	173.0	221.0	60.0	94.0	184.0	70.0	48.0	142.0	99.0	17.0	6.0
