MAG,domain,phylum,class,order,family,genus,species,SF2_A_D1,SF2_A_D2,SF2_B_D1,SF2_B_D2,SF2_C_D1,SF2_C_D2,R1_A_D1,R1_A_D2,R1_B_D1,R1_B_D2,R1_C_D1,R1_C_D2,R2A_A_D1,R2A_A_D2,R2A_B_D1,R2A_B_D2,R2A_C_D1,R2A_C_D2,R2_A_D1,R2_A_D2,R2_B_D1,R2_B_D2,R2_C_D1,R2_C_D2
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.44,Bacteria,Desulfobacterota_F,Desulfuromonadia,Desulfuromonadales,SZUA-401,,,1.61502028172927e-05,2.60318650431942e-05,0.0002649548073742,0.0006693838830081,2.91522301033533e-05,8.66673622872726e-05,0.0016060818261615,0.0003513143628793,0.0006565851325128,0.0006540739453055,0.0007038065921803,0.0004111213724849,1.30481371585286e-05,9.37364401320397e-06,1.92784087000453e-05,1.82518890814361e-05,2.43532765313434e-05,2.40345835468601e-05,0.0001730179394962,0.0001025956761926,0.000470907662403,0.0001602998075684,0.0002026041788263,0.0001356205094113
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.54,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,Thiohalorhabdus,,6.57229097279404e-06,1.96556734094922e-05,0.0001479960304111,0.0004661882371816,1.1714664270781e-05,7.09731166353555e-05,0.0022645720992456,0.0001570283231318,0.0001435145168042,0.0008250577143283,0.000686192451432,0.0003283170945554,1.03403761047393e-05,1.14897091729011e-05,1.93939866898538e-05,1.40382352623964e-05,2.52461555975705e-05,2.1629260600743e-05,0.0004307309636529,0.0004551554504143,0.0001541018837313,7.44056777571259e-05,5.36486168875627e-05,5.04053889167049e-05
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.9,Bacteria,Firmicutes_A,Clostridia,Tissierellales,Dethiosulfatibacteraceae,UBA8670,,1.20224834868184e-07,2.72050843037954e-07,9.03296084052495e-07,2.15070477308668e-06,5.7613102971054e-07,2.13910091381941e-06,0.0021839051012678,0.0026894577491408,0.0013290721046116,0.0015361549013238,0.0005272856658221,0.0013537367995393,1.44474499178694e-05,4.54691687207655e-07,2.51960017782367e-06,7.42301709053623e-07,8.25913136260042e-07,2.23750971731824e-07,0.0010638318254948,0.0001023536613513,0.0007217087404322,0.0013178254616921,0.0004773552115761,0.001231636183608
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.15,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,,2.12397208267125e-06,8.97767782025247e-06,5.62753460364705e-05,0.0001420568075761,3.57201238420535e-05,0.0001775904095504,0.003325914636007,0.0016951304842428,0.0011270242262453,0.0012984348572813,0.0012413169429995,0.0014474381116564,2.21709294337116e-06,1.55644462159543e-06,8.25226847232157e-06,2.07407830470865e-06,2.67863719868122e-06,2.23750971731824e-06,0.0002647329950157,0.0001012552863022,0.0007059523735592,0.0003099445887339,0.0006079057735608,0.0002684360444812
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.18,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,YR4-1,,3.78708229834779e-06,1.16301735398725e-05,0.0001219991691121,0.0003170543241555,7.09409341250244e-05,0.0003012079255174,0.0072999754119956,0.007400481300851,0.0035348512609246,0.0060285961328305,0.0071624364897486,0.005732411198179,5.92436311097539e-06,1.79778097865181e-05,4.37347113435081e-05,2.96265711525225e-05,1.29244244836369e-05,8.67035015460819e-06,0.001166037575721,0.0002792665103548,0.0026748058756855,0.0014537379525116,0.0029182647191702,0.0011671778732404
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.26,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas fontilapidosi,0.0002550970621178,0.0001405992763175,8.23806028655876e-05,9.72228849987644e-05,0.000473694932628,0.000114137921391,0.0046535151588271,0.0025520753521758,0.0011870499398018,0.0010655455430895,0.0018002366233214,0.0020366249319045,0.0001798026031288,8.97316556562492e-05,8.42794701683037e-05,3.69840910334364e-05,6.17872313829134e-05,4.35568558304618e-05,0.0004999098711123,0.0002559027699045,0.0011869516637464,0.0005924887064413,0.0012342351944921,0.0004209705491719
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.45,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalospirales,Thiohalospiraceae,Thiohalospira,,2.96754967399633e-05,3.57746858594909e-05,3.84984791023174e-05,7.9851807985372e-05,2.62907793224576e-05,4.39078608626089e-05,0.0053178326268922,0.0003146303768509,0.0001443767646233,0.0002588824228547,0.0001281880813392,0.0001625547499073,3.28929362909983e-05,3.16185604027477e-05,4.25327002495005e-05,3.66129401789096e-05,5.3528100020313e-05,5.84735872792501e-05,9.10397563093284e-05,0.0001493976231983,0.0001711800230584,7.03026591663487e-05,0.0001066072793695,4.05599289780497e-05
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.47,Bacteria,Firmicutes_F,Halanaerobiia,Halanaerobiales,,,,5.61049229384857e-07,1.59829870284798e-06,1.89692177651024e-06,4.81610812434794e-06,1.7091887214746e-06,6.01199941041875e-06,0.0102237791138643,0.0027170489746513,0.0095926230586822,0.0048307814243618,0.0041332954231184,0.0020027035190302,7.99607291051893e-07,9.0938337441531e-07,5.77889949042127e-06,1.92125148225643e-06,2.54470533874716e-06,9.32295715549268e-07,0.0036735648847426,0.0003911332166226,0.0020287948338922,0.0018553208970839,0.0005730164575383,0.0077609713065149
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.51,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,BM714,BM714,,2.40449669736367e-07,4.25079442246803e-07,3.25186590258898e-07,9.9263297219385e-07,8.25787809251773e-07,2.2742020241659e-06,0.0042369224383452,0.008098276781057,0.0020268627338615,0.0049254362235011,0.0016323553325393,0.0018395336139671,8.90471755944153e-07,3.14786552682223e-07,7.16583536812237e-07,1.52826822452216e-07,1.78575813245415e-07,3.16980543286751e-07,3.78481650345836e-05,6.12483713797419e-06,6.21442858559941e-05,0.0025643481534364,1.63724315701356e-05,0.0004075347220761
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.6,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Fodinibius,,3.64681999100157e-06,1.00488780147144e-05,6.71148990451004e-05,0.0001871113152585,2.58106701310322e-05,0.0001010105968357,0.0045351955163562,0.0043114288906314,0.002260465566067,0.0029677356756654,0.0029912784776453,0.0030972402997282,1.06311423923945e-05,4.02227261760618e-06,1.54412194384056e-05,6.28773212374833e-06,5.04476672418296e-06,2.72230348940386e-06,0.0010021440278783,0.0003222706860044,0.0020307879828308,0.0009294234643427,0.0015549148137537,0.000811338828278
