bin,gtdb_d,gtdb_p,gtdb_c,gtdb_o,gtdb_f,unrestored total,restored total,natural total,unrestored,restored,natural,bin_all_R1_A_D1_MG_per,bin_all_R1_B_D1_MG_per,bin_all_R2_A_D1_MG_per,bin_all_R2_B_D1_MG_per,bin_all_R2_C_D1_MG_per,bin_all_R1_A_D2_MG_per,bin_all_R1_B_D2_MG_per,bin_all_R1_C_D2_MG_per,bin_all_R2_B_D2_MG_per,bin_all_R1_A_H2O_MG_per,bin_all_R1_B_H2O_MG_per,bin_all_R2_B_H2O_MG_per,bin_all_R2_C_H2O_MG_per,bin_all_R2_restored_C_black_MG_per,bin_all_R2_restored_D_shore_MG_per,bin_all_R2_restored_H2O_MG_per,bin_all_R2A_A_D1_MG_per,bin_all_R2A_B_D1_MG_per,bin_all_R2A_C_D1_MG_per,bin_all_R2A_A_D2_MG_per,bin_all_R2A_B_D2_MG_per,bin_all_R2A_C_D2_MG_per,bin_all_R2A_A_H2O_MG_per,bin_all_R2A_B_H2O_MG_per,bin_all_R2A_C_H2O_MG_per,bin_all_SF2_B_D1_MG_per,bin_all_SF2_C_D1_MG_per,bin_all_SF2_A_D2_MG_per,bin_all_SF2_B_D2_MG_per,bin_all_SF2_C_D2_MG_per,bin_all_SF2_A_H2O_MG_per,bin_all_SF2_B_H2O_MG_per,bin_all_SF2_C_H2O_MG_per
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.17.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,87.79%,0.01%,0.00%,46.29%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,41.47%,46.29%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.8.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,79.38%,5.01%,1.86%,38.92%,2.19%,0.58%,0.02%,0.03%,0.11%,0.25%,0.08%,0.02%,0.01%,0.05%,0.07%,0.93%,1.56%,38.92%,37.33%,0.02%,0.01%,0.00%,0.07%,0.17%,0.03%,0.58%,0.14%,0.01%,0.26%,0.33%,0.26%,0.05%,0.08%,0.03%,0.07%,0.03%,0.96%,1.60%,2.19%
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_concoct_out.2.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,43.34%,0.00%,0.00%,24.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.27%,19.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_metabat.29.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,42.31%,0.01%,0.00%,21.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21.65%,20.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.17.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,34.46%,0.00%,0.01%,20.52%,0.00%,0.01%,0.00%,0.00%,0.01%,0.06%,0.02%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,13.82%,20.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_H2O_MG_DASTool_bins_metabat.16.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,21.95%,0.01%,0.01%,11.07%,0.01%,0.00%,0.00%,0.01%,0.01%,0.10%,0.04%,0.00%,0.00%,0.04%,0.11%,0.00%,0.01%,10.56%,11.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_A_D1_MG_DASTool_bins_metabat.12.contigs,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Wenzhouxiangellaceae,71.33%,0.04%,0.08%,10.85%,0.01%,0.04%,7.56%,8.07%,4.40%,9.65%,10.85%,6.96%,8.29%,10.02%,5.35%,0.09%,0.10%,0.00%,0.00%,5.06%,0.02%,0.00%,0.01%,0.04%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.00%,0.01%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.13.contigs,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,63.93%,0.01%,0.09%,9.76%,0.00%,0.05%,3.74%,9.17%,8.79%,7.74%,8.04%,3.09%,6.83%,6.70%,9.76%,0.02%,0.04%,0.00%,0.00%,4.12%,0.02%,0.00%,0.02%,0.05%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.19.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,33.37%,0.00%,0.01%,7.98%,0.00%,0.01%,7.87%,1.93%,0.69%,0.70%,0.70%,7.98%,5.05%,7.69%,0.76%,0.00%,0.00%,0.00%,0.00%,6.05%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.28.contigs,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,47.76%,0.00%,0.01%,7.70%,0.00%,0.01%,5.67%,6.54%,2.11%,5.54%,6.25%,7.02%,4.82%,7.70%,2.08%,0.01%,0.02%,0.00%,0.00%,3.45%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D2_MG_DASTool_bins_metabat.52.contigs,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__,10.53%,0.00%,0.01%,7.54%,0.00%,0.01%,0.05%,0.05%,7.54%,1.37%,0.11%,0.03%,0.06%,0.03%,1.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R1_C_D2_MG_DASTool_bins_concoct_out.85.contigs,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Dethiosulfatibacteraceae,20.79%,0.00%,0.00%,7.47%,0.00%,0.00%,4.25%,1.92%,1.60%,0.41%,0.13%,7.47%,2.21%,0.92%,1.89%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_B_D1_MG_DASTool_bins_metabat.10.contigs,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Balneolales,f__Balneolaceae,42.50%,0.01%,0.01%,7.19%,0.00%,0.01%,6.41%,4.63%,1.79%,6.51%,5.55%,7.19%,5.31%,3.58%,1.48%,0.02%,0.02%,0.00%,0.00%,3.98%,0.01%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Salt_Pond_MetaG_R2_C_H2O_MG_DASTool_bins_concoct_out.60.contigs,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,12.45%,0.05%,0.00%,7.08%,0.03%,0.00%,0.00%,0.03%,0.02%,0.14%,0.03%,0.00%,0.00%,0.08%,0.14%,0.00%,0.00%,7.08%,4.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.00%,0.00%,0.00%
