Sample,DNA conc (µg/mL) in 20 µL extracted from 0.25 g soil,DNA (ug),DNA conc (µg/g soil),methane,CH4 (mmol/hr) / normalized_DNA
R1_A_D1,60.26666667,1.205333333,4.821333333,60.32185144127153,12.511445957987142
R1_A_D2,59.4,1.188,4.752,60.32185144127153,12.693992306664883
R1_B_D1,54.13333333,1.082666667,4.330666667,110.2118154018338,25.449156879622247
R1_B_D2,43.13333333,0.862666667,3.450666667,110.2118154018338,31.939281894664038
R1_C_D1,20.86666667,0.417333333,1.669333333,40.12648304182776,24.037429941996947
R1_C_D2,26.4,0.528,2.112,40.12648304182776,18.999281743289657
R2_A_D1,49.93333333,0.998666667,3.994666667,108.57965984352349,27.181156500616595
R2_A_D2,19.6,0.392,1.568,108.57965984352349,69.24723204306345
R2_B_D1,2.0,0.04,0.16,131.4797431681672,821.748394801045
R2_B_D2,35.06666667,0.701333333,2.805333333,131.4797431681672,46.867779176731155
R2_C_D1,42.53333333,0.850666667,3.402666667,129.9645792112796,38.19491943530994
R2_C_D2,1.993333333,0.039866667,0.159466667,129.9645792112796,814.9952692701579
R2A_A_D1,54.46666667,1.089333333,4.357333333,-1.9880391010997909,-0.45625132372671545
R2A_A_D2,4.873333333,0.097466667,0.389866667,-1.9880391010997909,-5.0992794957251135
R2A_B_D1,28.13333333,0.562666667,2.250666667,-0.1439896632895322,-0.0639764499118217
R2A_B_D2,3.42,0.0684,0.2736,-0.1439896632895322,-0.5262780090991673
R2A_C_D1,19.06666667,0.381333333,1.525333333,-0.5808673916793627,-0.38081341246042427
R2A_C_D2,12.13333333,0.242666667,0.970666667,-0.5808673916793627,-0.5984210763872483
SF2_A_D1,14.66666667,0.293333333,1.173333333,0.3624285274844474,0.30888794964836086
SF2_A_D2,14.6,0.292,1.168,0.3624285274844474,0.3102983968188762
SF2_B_D1,15.46666667,0.309333333,1.237333333,3.391120195085858,2.7406682618529747
SF2_B_D2,7.6,0.152,0.608,3.391120195085858,5.577500320864898
SF2_C_D1,7.2,0.144,0.576,0.859029241215959,1.4913702104443733
SF2_C_D2,5.526666667,0.110533333,0.442133333,0.859029241215959,1.942918972851927
