,Compound,Query,BioCyc Common-Name,BioCyc,Kegg,ChEBI,PubChem,HMDB,ChemsSpider,Metabolights,MetanetX,BiGG,SEED,InChi,InChiKey
0,2'-Deoxyuridine,2'-Deoxyuridine,2'-deoxyuridine,2'-deoxyuridine,C00526,16450.0,13712.0,HMDB00012,13118.0,MTBLC16450,MNXM492,duri,cpd00412,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",InChIKey=MXHRCPNRJAMMIM-SHYZEUOFSA-N
1,2-Oxoglutarate,2-Oxoglutarate,2-oxoglutarate,2-oxoglutarate,C00026,16810.0,164533.0,HMDB00208,144236.0,MTBLC16810,MNXM20,akg,cpd00024,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",InChIKey=KPGXRSRHYNQIFN-UHFFFAOYSA-L
2,2-Oxoisocaproate,2-Oxoisocaproate,4-methyl-2-oxopentanoate,4-methyl-2-oxopentanoate,C00233,17865.0,3527278.0,HMDB00695,2766269.0,MTBLC17865,MNXM404,4mop,cpd00200,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1",InChIKey=BKAJNAXTPSGJCU-UHFFFAOYSA-M
3,3-Hydroxybutyrate,C01089,(R)-3-hydroxybutanoate,(R)-3-hydroxybutanoate,C01089,8298.0,6971058.0,HMDB00357,5341936.0,MTBLC10983,MNXM663,,cpd29193,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1",InChIKey=WHBMMWSBFZVSSR-GSVOUGTGSA-M
4,3-Hydroxyisovalerate,3-Hydroxyisovalerate,,,,,,,,,,,cpd02569,,
5,3-Methyl-2-oxovalerate,HMDB00491,(3S)-3-methyl-2-oxopentanoate,(3S)-3-methyl-2-oxopentanoate,C00671,35146.0,6857401.0,HMDB00491,19951083.0,MTBLC35146,MNXM439,3mop,cpd03737,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1/t4-/m0/s1",InChIKey=JVQYSWDUAOAHFM-BYPYZUCNSA-M
6,4-Aminobutyrate,4-Aminobutyrate,4-aminobutanoate,4-aminobutanoate,C00334,59888.0,6992099.0,HMDB00112,,MTBLC59888,MNXM192,4abut,cpd00281,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N
7,Acetate,Acetate,acetate,acetate,C00033,30089.0,175.0,HMDB00042,170.0,MTBLC30089,MNXM26,ac,cpd00029,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-M
8,Acetone,Acetone,acetone,acetone,C00207,15347.0,180.0,HMDB01659,175.0,MTBLC15347,MNXM398,,cpd00178,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N
9,Alanine,Alanine,L-alanine,L-alanine,C00041,57972.0,7311724.0,HMDB00161,,MTBLC57972,,ala__L,cpd00035,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",InChIKey=QNAYBMKLOCPYGJ-REOHCLBHSA-N
10,Arginine,Arginine,L-arginine,L-arginine,C00062,32682.0,1549073.0,HMDB00517,1266045.0,MTBLC32682,MNXM70,arg__L,cpd00051,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1",InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-O
11,Aspartate,Aspartate,L-aspartate,L-aspartate,C00049,29991.0,5460294.0,HMDB00191,4573879.0,MTBLC29991,MNXM42,asp__L,cpd00041,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M
12,Benzoate,Benzoate,benzoate,benzoate,C00180,16150.0,242.0,HMDB01870,237.0,MTBLC16150,MNXM217,,cpd00153,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1",InChIKey=WPYMKLBDIGXBTP-UHFFFAOYSA-M
13,Betaine,Betaine,glycine betaine,glycine betaine,C00719,17750.0,247.0,HMDB00043,242.0,MTBLC17750,MNXM289,glyb,cpd00540,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",InChIKey=KWIUHFFTVRNATP-UHFFFAOYSA-N
14,Dimethylamine,Dimethylamine,dimethylamine,dimethylamine,C00543,58040.0,3614769.0,HMDB00087,,,MNXM796,,cpd00425,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3/p+1",InChIKey=ROSDSFDQCJNGOL-UHFFFAOYSA-O
15,Ethanol,Ethanol,ethanol,ethanol,C00469,16236.0,702.0,HMDB00108,682.0,MTBLC16236,MNXM303,etoh,cpd00363,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
16,Formate,Formate,formate,formate,C00058,15740.0,283.0,HMDB00142,277.0,MTBLC15740,,for,cpd00047,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",InChIKey=BDAGIHXWWSANSR-UHFFFAOYSA-M
17,Fructose,Fructose,"Fructose, FRU",,,,,,,,,,cpd01184,,
18,Fumarate,Fumarate,fumarate,fumarate,C00122,29806.0,5460307.0,HMDB00134,4573886.0,MTBLC29806,MNXM93,fum,cpd00106,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",InChIKey=VZCYOOQTPOCHFL-OWOJBTEDSA-L
19,Glucose,Glucose,glucose,glucose,,17234.0,,,,,MNXM7381,,cpd00027,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2?,3-,4+,5-,6?/m1/s1",
20,Glutamate,Glutamate,"GLT, D-GLT, CPD-14555",,,,,,,,,,cpd00023,,
21,Glycerol,Glycerol,glycerol,glycerol,C00116,17754.0,753.0,HMDB00131,733.0,MTBLC17754,MNXM89612,glyc,cpd00100,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N
22,Isobutyrate,Isobutyrate,isobutanoate,isobutanoate,c02632,48944.0,165337.0,HMDB01873,144940.0,MTBLC48944,MNXM2531,,cpd01711,"InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)/p-1",InChIKey=KQNPFQTWMSNSAP-UHFFFAOYSA-M
23,Isoleucine,Isoleucine,L-isoleucine,L-isoleucine,C00407,58045.0,7043901.0,HMDB00172,,MTBLC58045,MNXM231,ile__L,cpd00322,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",InChIKey=AGPKZVBTJJNPAG-WHFBIAKZSA-N
24,Isopropanol,Isopropanol,propan-2-ol,propan-2-ol,C01845,17824.0,3776.0,HMDB00863,3644.0,,MNXM3085,,cpd01269,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N
25,Isovalerate,Isovalerate,3-methylbutanoate,3-methylbutanoate,C08262,48942.0,3587356.0,HMDB00718,2823741.0,MTBLC48942,MNXM7454,,cpd05178,"InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)/p-1",InChIKey=GWYFCOCPABKNJV-UHFFFAOYSA-M
26,Lactate,Lactate,lactate,lactate,C01432,24996.0,,,,,MNXM3041,,cpd00159,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1",
27,Leucine,Leucine,L-leucine,L-leucine,C00123,57427.0,7045798.0,HMDB00687,,MTBLC57427,MNXM140,leu__L,cpd00107,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",InChIKey=ROHFNLRQFUQHCH-YFKPBYRVSA-N
28,Maltose,Maltose,maltose,maltose,C00208,17306.0,439186.0,,6019.0,,,malt,cpd00179,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1",InChIKey=GUBGYTABKSRVRQ-PICCSMPSSA-N
29,Methanol,Methanol,methanol,methanol,C00132,17790.0,887.0,HMDB01875,864.0,MTBLC17790,,,cpd00116,"InChI=1S/CH4O/c1-2/h2H,1H3",InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N
30,Methionine,Methionine,L-methionine,L-methionine,C00073,57844.0,6992087.0,HMDB00696,,MTBLC57844,MNXM61,met__L,cpd00060,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",InChIKey=FFEARJCKVFRZRR-BYPYZUCNSA-N
31,Methylamine,Methylamine,methylamine,methylamine,C00218,59338.0,644041.0,HMDB00164,559103.0,MTBLC59338,MNXM255,,cpd00187,"InChI=1S/CH5N/c1-2/h2H2,1H3/p+1",InChIKey=BAVYZALUXZFZLV-UHFFFAOYSA-O
32,Methylguanidine,Methylguanidine,methylguanidinium,methylguanidinium,C02294,57840.0,7311729.0,HMDB01522,5641718.0,,MNXM4043,,cpd01544,"InChI=1S/C2H7N3/c1-5-2(3)4/h1H3,(H4,3,4,5)/p+1",InChIKey=CHJJGSNFBQVOTG-UHFFFAOYSA-O
33,"N,N-Dimethylglycine","N,N-Dimethylglycine","N,N-dimethylglycine","N,N-dimethylglycine",C01026,58251.0,6971056.0,HMDB00092,,MTBLC58251,MNXM464,,cpd00756,"InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)",InChIKey=FFDGPVCHZBVARC-UHFFFAOYSA-N
34,Phenylacetate,Phenylacetate,"PHENYLACETATE, CPD-22363",,,,,,,,,,cpd19069,,
35,Phenylalanine,Phenylalanine,L-phenylalanine,L-phenylalanine,C00079,58095.0,6925665.0,HMDB00159,,MTBLC58095,MNXM97,phe__L,cpd00066,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",InChIKey=COLNVLDHVKWLRT-QMMMGPOBSA-N
36,Proline,Proline,L-proline,L-proline,C00148,60039.0,6971047.0,HMDB00162,,MTBLC60039,MNXM114,pro__L,cpd00129,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N
37,Propionate,Propionate,propanoate,propanoate,C00163,17272.0,104745.0,HMDB00237,94556.0,MTBLC17272,MNXM356,ppa,cpd00141,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/p-1",InChIKey=XBDQKXXYIPTUBI-UHFFFAOYSA-M
38,Propylene glycol,Propylene glycol,"propane-1,2-diol","propane-1,2-diol",C00583,,,HMDB01881,,,MNXM1118,,cpd00453,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",
39,Pyroglutamate,Pyroglutamate,5-oxo-L-proline,5-oxo-L-proline,C01879,58402.0,5289118.0,HMDB00267,4451146.0,,MNXM722719,,cpd01293,"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/p-1/t3-/m0/s1",InChIKey=ODHCTXKNWHHXJC-VKHMYHEASA-M
40,Succinate,Succinate,succinate,succinate,C00042,30031.0,160419.0,HMDB00254,140973.0,MTBLC30031,MNXM25,succ,cpd00036,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",InChIKey=KDYFGRWQOYBRFD-UHFFFAOYSA-L
41,Sucrose,Sucrose,sucrose,sucrose,C00089,17992.0,5988.0,HMDB00258,5768.0,MTBLC17992,MNXM167,sucr,cpd00076,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",InChIKey=CZMRCDWAGMRECN-UGDNZRGBSA-N
42,Thymidine,Thymidine,thymidine,thymidine,C00214,17748.0,5789.0,HMDB00273,1102.0,MTBLC17748,MNXM420,thymd,cpd00184,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",InChIKey=IQFYYKKMVGJFEH-XLPZGREQSA-N
43,Trehalose,Trehalose,"TREHALOSE, CPD-15990",,,,,,,,,,cpd00794,,
44,Trimethylamine,Trimethylamine,trimethylamine,trimethylamine,C00565,58389.0,3782034.0,HMDB00906,3010173.0,,MNXM352,tma,cpd00441,InChI=1S/C3H9N/c1-4(2)3/h1-3H3/p+1,InChIKey=GETQZCLCWQTVFV-UHFFFAOYSA-O
45,Tryptophan,Tryptophan,L-tryptophan,L-tryptophan,C00078,57912.0,6923516.0,HMDB00929,,MTBLC57912,MNXM94,trp__L,cpd00065,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",InChIKey=QIVBCDIJIAJPQS-VIFPVBQESA-N
46,Tyrosine,Tyrosine,L-tyrosine,L-tyrosine,C00082,58315.0,6942100.0,HMDB00158,,MTBLC58315,MNXM76,tyr__L,cpd00069,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",InChIKey=OUYCCCASQSFEME-QMMMGPOBSA-N
47,Uracil,Uracil,uracil,uracil,C00106,17568.0,1174.0,HMDB00300,1141.0,MTBLC17568,MNXM158,ura,cpd00092,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",InChIKey=ISAKRJDGNUQOIC-UHFFFAOYSA-N
48,Uridine,Uridine,uridine,uridine,C00299,16704.0,6029.0,HMDB00296,5807.0,MTBLC16704,MNXM288,uri,cpd00249,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",InChIKey=DRTQHJPVMGBUCF-XVFCMESISA-N
49,Valine,Valine,L-valine,L-valine,C00183,57762.0,6971018.0,HMDB00883,,MTBLC57762,MNXM199,val__L,cpd00156,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",InChIKey=KZSNJWFQEVHDMF-BYPYZUCNSA-N
