"SF2_A_D1"	"SF2_A_D2"	"SF2_B_D1"	"SF2_B_D2"	"SF2_C_D1"	"SF2_C_D2"	"R1_A_D1"	"R1_A_D2"	"R1_B_D1"	"R1_B_D2"	"R1_C_D1"	"R1_C_D2"	"R2A_A_D1"	"R2A_A_D2"	"R2A_B_D1"	"R2A_B_D2"	"R2A_C_D1"	"R2A_C_D2"	"R2_A_D1"	"R2_A_D2"	"R2_B_D1"	"R2_B_D2"	"R2_C_D1"	"R2_C_D2"
"Salt_Pond_MetaGSF2_A_D1_MG_DASTool_bins_concoct_out.23"	0.00776243668809915	0.00704873532404724	0.00461656562637549	0.00396089967252671	0.00437325701159145	0.00222642126480669	7.93050204525924e-07	1.3908620295118e-06	2.73597865658075e-06	1.32372312635759e-06	2.07619149504451e-06	2.79016802787321e-06	0.00136769192555831	7.47268299783965e-05	0.000179192115398983	0.000211534154677075	5.06039210784193e-05	5.57326378755352e-05	1.38200768591011e-06	1.58240473169546e-06	3.41982396844262e-06	1.79507063346504e-06	4.94156533722771e-06	2.27202921661274e-06
"Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.11"	0.000413132607552035	0.00104605249465862	0.000889240796984639	0.000763849454195246	0.00148720543572713	0.000947554154266824	9.30971979226084e-07	7.47588340862591e-07	5.80359108971675e-07	1.58159126785582e-06	4.24168154901567e-07	4.06441799335861e-06	0.000151180296687743	2.90303154140272e-06	5.89447748022969e-06	1.0217564701091e-05	5.62513811723056e-06	2.21886380300726e-06	3.45501921477527e-06	2.01058483556599e-06	8.1824009060897e-07	1.56427583773382e-06	2.79711245503455e-07	1.62688511806838e-06
"Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.13"	0.000523599193323418	0.00639436803065251	0.00180449652118999	0.00208732331960289	0.00691933366682358	0.00592382341906595	1.08613397576377e-06	9.56217645289361e-07	2.22194630292013e-06	7.5641321506148e-07	1.04925806738809e-06	1.49394823539668e-06	1.90997105203532e-05	2.43085171237939e-06	1.0055285113333e-05	0.000113615826291619	4.36171423851925e-05	0.000526299577341873	4.19313695611362e-06	2.75524588577562e-06	4.17512251362013e-06	1.94893383061919e-06	3.37518236240836e-06	1.73908409172827e-06
"Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.28"	0.005149510202019	0.00935222381840497	0.0172338956580292	0.0155010116400554	0.0122830175315904	0.0103248997065649	1.01717308841368e-06	1.52994823246298e-06	2.10587448112579e-06	1.32372312635759e-06	1.94224365665454e-06	2.72425854689982e-06	0.000212586502061933	1.18044957255834e-05	8.9619173297453e-05	0.000579912293996539	5.18985957244486e-05	0.000198970551612525	4.75850373671321e-06	3.94670356611103e-06	3.88139530160665e-06	2.80800334806317e-06	4.17702126618493e-06	2.32812870344269e-06
"Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.33"	8.12719883708922e-05	0.00348835493167647	5.94368823306542e-05	6.93372513169482e-05	8.56706841179572e-05	0.00162976972781314	2.12054728601497e-05	1.61339995423368e-05	2.46901346645378e-05	2.54429899611589e-05	3.39334523921253e-05	2.21455856070566e-05	4.58320360916562e-05	4.00128684742737e-05	0.000115208140241038	0.000406934163383837	0.000106609760507512	0.000497845912103309	1.49508104203003e-05	5.82697271789034e-06	3.03378248979634e-05	4.52101360971267e-05	3.75372491465637e-05	1.68859455358132e-05
"Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.40"	0.000138599197130538	0.00764828437256982	0.000562952185503196	0.00139069717613566	0.000501522061363025	0.00582580756350957	3.9480108007921e-06	3.61624127673067e-06	4.85843482653431e-06	4.62443533753496e-06	3.70589019545579e-06	6.50306878937378e-06	5.9970546828892e-07	3.81241491581803e-06	6.93467938850552e-07	7.72867073544066e-06	0.000133128268774457	0.000206839127451761	7.71097470206663e-06	2.64354672824418e-06	3.32331359878105e-05	3.21445862721204e-05	3.20735561510629e-06	1.52871101611598e-05
"Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.55"	0.00254263503262722	0.00321591301555165	0.00245906099553779	0.00197504550119252	0.00182499105844642	0.000978041971501682	1.45162667871919e-05	1.51256245709408e-05	1.78418971786721e-05	1.7552224831313e-05	2.33292485195862e-05	1.6697068513257e-05	0.000294310001786032	8.00782013739943e-05	0.000148009173748669	9.99924066901644e-05	5.72112261684997e-05	4.78267702076774e-05	1.21553857828912e-05	6.45993461056852e-06	2.07077684469501e-05	1.56812241766267e-05	3.3677233958616e-05	1.65773983582485e-05
"Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.8"	0.00841792252527296	0.00885112316870675	0.00622842522468045	0.00534402342672637	0.00619143051951963	0.00314231672554898	2.22398861704009e-06	2.67740940681021e-06	5.78700940088899e-06	2.5614902055491e-06	3.43799451867586e-06	5.66821536371093e-06	0.00114898115856263	0.000100871601992837	0.000241766039081264	0.000160140677526715	7.23455263410486e-05	2.02308170274191e-05	6.80010599998951e-06	4.46796630125777e-06	8.30828399695262e-06	3.5773193338339e-06	1.13749239838072e-05	5.16115278835487e-06
"Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.23"	0.00689387236859395	0.00494494915165705	0.0073853487832132	0.00581372264349484	0.00462310583480925	0.00259975066639749	3.01703882156601e-06	3.94657100873973e-06	7.03063606297115e-06	4.52128808093566e-06	8.28244134044638e-06	5.66821536371093e-06	0.0030748534919541	0.000301163290207809	0.000821135386392939	0.000376870944167166	0.000137838205848804	5.9909322681196e-05	8.57472950576044e-06	4.85891335261782e-06	6.67180381573468e-06	7.73162565699585e-06	7.06737080305397e-06	5.60994868299442e-06
"Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.33"	2.02378472028109e-06	2.65249571962005e-06	1.91498769819129e-06	2.40805406217397e-06	3.07269882512288e-06	2.00399980347292e-06	8.62011091876004e-08	6.95431014755899e-08	2.3214364358867e-07	1.37529675465724e-07	4.46492794633228e-08	0	4.72495217439755e-07	3.49762836313581e-07	3.69849567386961e-07	3.92983257734271e-07	4.9108348642489e-07	4.47501943463649e-07	1.5704632794433e-07	1.11699157531444e-07	1.67844121150558e-07	8.9753531673252e-08	1.49179330935176e-07	8.41492302449163e-08
