sra_run,bioproject,biosample,spire_mag_count,spire_mag_ids,spire_match_key,mgnify_study_present,mgnify_study,mgnify_samples_count,mgnify_run_present,mgnify_run_analysis_types
SRR7004198,PRJNA443510,SAMN08778643,5,spire_mag_02001811;spire_mag_02001832;spire_mag_02001835;spire_mag_02001836;spire_mag_02001839,SAMN08778643,False,,0,False,
SRR7004201,PRJNA443513,SAMN08778923,7,spire_mag_02001379;spire_mag_02001381;spire_mag_02001382;spire_mag_02001395;spire_mag_02001397;spire_mag_02001400;spire_mag_02001406,SAMN08778923,False,,0,False,
SRR7004200,PRJNA443515,SAMN08776833,22,spire_mag_02001120;spire_mag_02001123;spire_mag_02001124;spire_mag_02001127;spire_mag_02001128;spire_mag_02001129;spire_mag_02001135;spire_mag_02001137;spire_mag_02001139;spire_mag_02001141;spire_mag_02001146;spire_mag_02001148;spire_mag_02001151;spire_mag_02001154;spire_mag_02001155;spire_mag_02001159;spire_mag_02001167;spire_mag_02001168;spire_mag_02001169;spire_mag_02001174;spire_mag_02001176;spire_mag_02001178,SAMN08776833,False,,0,False,
SRR7004204,PRJNA443517,SAMN08776832,11,spire_mag_02001907;spire_mag_02001908;spire_mag_02001910;spire_mag_02001915;spire_mag_02001917;spire_mag_02001921;spire_mag_02001924;spire_mag_02001926;spire_mag_02001929;spire_mag_02001932;spire_mag_02001937,SAMN08776832,False,,0,False,
SRR7004334,PRJNA443519,SAMN08778924,9,spire_mag_02002046;spire_mag_02002048;spire_mag_02002055;spire_mag_02002056;spire_mag_02002060;spire_mag_02002066;spire_mag_02002068;spire_mag_02002070;spire_mag_02002075,SAMN08778924,False,,0,False,
SRR7004335,PRJNA443521,SAMN08778949,11,spire_mag_02001532;spire_mag_02001536;spire_mag_02001541;spire_mag_02001542;spire_mag_02001545;spire_mag_02001548;spire_mag_02001550;spire_mag_02001555;spire_mag_02001560;spire_mag_02001562;spire_mag_02001566,SAMN08778949,False,,0,False,
SRR7004340,PRJNA443524,SAMN08778311,20,spire_mag_02001846;spire_mag_02001851;spire_mag_02001852;spire_mag_02001859;spire_mag_02001864;spire_mag_02001866;spire_mag_02001870;spire_mag_02001874;spire_mag_02001875;spire_mag_02001880;spire_mag_02001882;spire_mag_02001885;spire_mag_02001887;spire_mag_02001889;spire_mag_02001890;spire_mag_02001893;spire_mag_02001894;spire_mag_02001898;spire_mag_02001899;spire_mag_02001901,SAMN08778311,False,,0,False,
SRR7004341,PRJNA443525,SAMN08777027,27,spire_mag_02000962;spire_mag_02000966;spire_mag_02000969;spire_mag_02000970;spire_mag_02000975;spire_mag_02000976;spire_mag_02000978;spire_mag_02000979;spire_mag_02000981;spire_mag_02000984;spire_mag_02000985;spire_mag_02000987;spire_mag_02000988;spire_mag_02000989;spire_mag_02000992;spire_mag_02000993;spire_mag_02000994;spire_mag_02000998;spire_mag_02000999;spire_mag_02001001;spire_mag_02001004;spire_mag_02001014;spire_mag_02001019;spire_mag_02001022;spire_mag_02001029;spire_mag_02001033;spire_mag_02001041,SAMN08777027,False,,0,False,
SRR7004337,PRJNA443526,SAMN08778951,16,spire_mag_02001940;spire_mag_02001942;spire_mag_02001950;spire_mag_02001952;spire_mag_02001954;spire_mag_02001958;spire_mag_02001959;spire_mag_02001961;spire_mag_02001962;spire_mag_02001965;spire_mag_02001974;spire_mag_02001975;spire_mag_02001977;spire_mag_02001978;spire_mag_02001980;spire_mag_02001983,SAMN08778951,False,,0,False,
SRR7004342,PRJNA443527,SAMN08776830,12,spire_mag_02001651;spire_mag_02001653;spire_mag_02001654;spire_mag_02001655;spire_mag_02001657;spire_mag_02001661;spire_mag_02001666;spire_mag_02001668;spire_mag_02001670;spire_mag_02001673;spire_mag_02001680;spire_mag_02001690,SAMN08776830,False,,0,False,
SRR7004343,PRJNA443528,SAMN08779168,25,spire_mag_02001048;spire_mag_02001049;spire_mag_02001053;spire_mag_02001054;spire_mag_02001057;spire_mag_02001062;spire_mag_02001063;spire_mag_02001071;spire_mag_02001072;spire_mag_02001080;spire_mag_02001081;spire_mag_02001082;spire_mag_02001085;spire_mag_02001089;spire_mag_02001090;spire_mag_02001095;spire_mag_02001099;spire_mag_02001103;spire_mag_02001104;spire_mag_02001105;spire_mag_02001106;spire_mag_02001107;spire_mag_02001108;spire_mag_02001114;spire_mag_02001116,SAMN08779168,False,,0,False,
SRR7004344,PRJNA443529,SAMN08776829,22,spire_mag_02001692;spire_mag_02001693;spire_mag_02001696;spire_mag_02001697;spire_mag_02001699;spire_mag_02001703;spire_mag_02001706;spire_mag_02001711;spire_mag_02001714;spire_mag_02001725;spire_mag_02001727;spire_mag_02001728;spire_mag_02001733;spire_mag_02001736;spire_mag_02001738;spire_mag_02001741;spire_mag_02001757;spire_mag_02001761;spire_mag_02001764;spire_mag_02001766;spire_mag_02001768;spire_mag_02001770,SAMN08776829,False,,0,False,
SRR7004347,PRJNA443531,SAMN08778313,7,spire_mag_02002081;spire_mag_02002084;spire_mag_02002085;spire_mag_02002086;spire_mag_02002092;spire_mag_02002093;spire_mag_02002098,SAMN08778313,False,,0,False,
SRR7006909,PRJNA443533,SAMN08777025,9,spire_mag_02001503;spire_mag_02001505;spire_mag_02001508;spire_mag_02001510;spire_mag_02001511;spire_mag_02001514;spire_mag_02001516;spire_mag_02001517;spire_mag_02001519,SAMN08777025,False,,0,False,
SRR10854850,PRJNA570310,SAMN12814059,0,,,False,,0,False,
SRR10854858,PRJNA570311,SAMN12814444,1,spire_mag_02001311,SAMN12814444,False,,0,False,
SRR10854759,PRJNA570414,SAMN12814787,0,,,False,,0,False,
SRR10854750,PRJNA570415,SAMN12813984,3,spire_mag_02001460;spire_mag_02001463;spire_mag_02001473,SAMN12813984,False,,0,False,
SRR10854783,PRJNA570416,SAMN12813783,0,,,False,,0,False,
SRR10854792,PRJNA570417,SAMN12812634,4,spire_mag_02001778;spire_mag_02001788;spire_mag_02001792;spire_mag_02001795,SAMN12812634,False,,0,False,
SRR10854808,PRJNA570419,SAMN12813413,0,,,False,,0,False,
SRR10854827,PRJNA570420,SAMN12812995,11,spire_mag_02002117;spire_mag_02002119;spire_mag_02002123;spire_mag_02002125;spire_mag_02002126;spire_mag_02002129;spire_mag_02002133;spire_mag_02002136;spire_mag_02002137;spire_mag_02002139;spire_mag_02002141,SAMN12812995,False,,0,False,
SRR10854829,PRJNA570421,SAMN12814060,3,spire_mag_02000953;spire_mag_02000955;spire_mag_02000959,SAMN12814060,False,,0,False,
SRR10854835,PRJNA570422,SAMN12814054,0,,,False,,0,False,
SRR10854813,PRJNA570423,SAMN12813053,1,spire_mag_02001581,SAMN12813053,False,,0,False,
SRR11567489,PRJNA621940,SAMN14515104,0,,,False,,0,False,
SRR18077944,PRJNA808433,SAMN26095789,0,,,False,,0,False,
SRR18077946,PRJNA808433,SAMN26095787,0,,,False,,0,False,
SRR18077947,PRJNA808433,SAMN26095786,0,,,False,,0,False,
SRR18077948,PRJNA808433,SAMN26095791,0,,,False,,0,False,
SRR18077949,PRJNA808433,SAMN26095790,0,,,False,,0,False,
SRR18077950,PRJNA808433,SAMN26095789,0,,,False,,0,False,
SRR18077952,PRJNA808433,SAMN26095797,0,,,False,,0,False,
SRR18077953,PRJNA808433,SAMN26095796,0,,,False,,0,False,
SRR18077954,PRJNA808433,SAMN26095795,0,,,False,,0,False,
SRR18077955,PRJNA808433,SAMN26095794,0,,,False,,0,False,
SRR18077956,PRJNA808433,SAMN26095793,0,,,False,,0,False,
SRR18077958,PRJNA808433,SAMN26095791,0,,,False,,0,False,
SRR18077959,PRJNA808433,SAMN26095790,0,,,False,,0,False,
SRR18077960,PRJNA808433,SAMN26095787,0,,,False,,0,False,
SRR18077961,PRJNA808433,SAMN26095786,0,,,False,,0,False,
SRR6307338,PRJNA419081,SAMN08042462,0,,,False,,0,False,
SRR21679871,PRJNA883528,SAMN30966949,0,,,False,,0,False,
SRR21679866,PRJNA883528,SAMN30966954,0,,,False,,0,False,
