Class,S19S_0006,S19S_0007,S19S_0008,S19S_0010,S19S_0009,S19S_0040,S19S_0039,S19S_0022,S19S_0011,S19S_0029,S19S_0026,S19S_0042,S19S_0041,S19S_0055,S19S_0023,S19S_0044,S19S_0034,S19S_0028,S19S_0043,S19S_0025,S19S_0056,S19S_0061,S19S_0016,S19S_0048,S19S_0064,S19S_0037,S19S_0038,S19S_0033,S19S_0067,S19S_0035,S19S_0012,S19S_0049,S19S_0027,S19S_0074,S19S_0036,S19S_0075,S19S_0076,S19S_0072,S19S_0073,S19S_0050,S19S_0063,S19S_0030,S19S_0071,S19S_0051,S19S_0047,S19S_0062,S19S_0070,S19S_0068,S19S_0069,S19S_0066,S19S_0077,S19S_0098,S19S_0097,S19S_0013,S19S_0085,S19S_0020,S19S_0086,S19S_0084,S19S_0099,S19S_0083,S19S_0014,S19S_0024,S19S_0094,S19S_0093,S19S_0082,S19S_0081,S19S_0060,S19S_0021,S19S_0052,S19S_0031,S19S_0087,S19S_0059,S19S_0045,S19S_0017,S19S_0089,S19S_0032,S19S_0046,S19S_0053,S19S_0058,S19S_0100,S19S_0091,S19S_0096,S19S_0057,S19S_0092,S19S_0065,S19S_0079,S19S_0078,S19S_0054,S19S_0004,S19S_0003,S19S_0005,S19S_0018,S19S_0019,S19S_0015,S19S_0090,S19S_0080
Highly Unsaturated w/ Heteroatoms,903,565,548,834,568,742,987,450,821,662,399,870,437,1012,859,696,615,778,1068,781,431,880,680,315,647,652,608,472,817,704,768,545,718,644,627,620,702,816,849,512,951,319,581,560,639,764,600,430,504,633,446,596,818,836,535,878,382,622,920,967,575,167,614,954,802,943,735,888,709,309,720,731,1036,786,935,655,13,977,418,248,104,620,622,1029,646,625,573,636,651,565,911,424,171,816,741,651
Unsaturated Aliphatics w/ Heteroatoms (including peptides),329,248,230,302,184,278,620,195,500,175,162,263,183,448,225,197,165,145,345,239,278,352,272,102,275,226,214,177,220,249,245,193,190,246,262,262,313,256,321,189,395,151,186,212,228,262,189,163,218,204,168,236,314,269,158,339,107,157,441,408,320,167,223,168,356,409,236,438,220,157,259,313,406,264,540,314,51,394,202,107,86,291,281,503,249,360,306,270,295,233,248,172,158,406,196,214
Highly Unsaturated,984,1093,1160,1181,955,977,1157,1005,1302,1041,1041,1127,1025,1036,1107,1250,1119,1121,1025,1026,715,1038,925,841,1011,797,803,1063,1084,1475,1171,975,1110,1243,1158,1099,1261,1043,1228,1137,1186,826,1162,1283,1177,1263,1183,1110,1085,1105,1023,1027,1073,1323,1024,1285,736,1180,928,1073,639,390,1183,1109,937,1031,1003,1202,1056,834,1278,1377,899,1165,907,1266,44,1151,674,659,547,715,1160,729,1191,1037,1232,993,1254,1152,1017,857,468,1176,1063,1068
Unsaturated Aliphatics,151,89,96,153,97,105,325,100,243,67,75,132,119,203,142,115,77,51,149,115,163,181,88,43,126,80,81,85,131,100,115,85,83,163,131,145,163,111,170,109,201,47,73,109,112,128,99,83,88,115,94,127,137,137,93,179,30,70,205,194,95,68,103,95,144,180,119,223,109,48,117,134,199,155,285,116,48,196,93,66,58,116,167,198,138,170,139,125,164,145,118,65,50,194,92,111
Highly Aromatic including Polyphenols,196,266,295,280,210,188,263,247,309,182,248,317,222,219,269,306,251,209,199,219,127,258,126,111,241,161,180,242,289,337,298,200,220,243,224,226,254,241,309,296,227,143,214,325,316,305,300,237,240,265,238,140,211,357,236,318,70,242,172,255,103,29,289,289,225,245,229,274,240,147,327,269,177,266,225,334,4,268,124,111,71,106,311,89,274,232,293,258,254,240,208,149,40,289,292,255
Saturated Compounds w/ Heteroatoms,15,27,24,18,11,33,60,29,25,31,21,17,13,31,12,19,19,22,40,23,71,16,51,25,29,19,21,29,13,15,16,34,25,25,21,17,21,16,19,11,16,50,14,20,21,20,24,31,51,12,19,49,55,26,24,18,23,31,54,23,29,40,36,16,26,18,18,22,23,38,18,16,38,16,33,44,32,27,44,21,25,73,22,131,37,55,45,25,33,27,12,49,47,46,14,15
Saturated Compounds (including lipids),2,2,3,2,NA,4,8,5,3,4,NA,3,1,3,2,2,2,3,3,2,5,2,6,4,2,3,2,4,2,2,2,4,3,3,2,NA,3,NA,2,2,2,6,3,3,2,4,2,7,5,1,2,3,3,3,2,3,2,3,11,3,1,4,7,2,2,3,2,3,3,8,2,3,14,2,8,2,2,5,4,2,4,10,3,17,4,6,3,2,3,2,2,6,6,5,1,2
High Aromaticity (<15C),12,1,5,4,5,6,25,4,9,3,4,5,2,8,5,4,3,6,9,13,6,16,6,4,6,6,NA,4,9,4,6,4,2,9,4,5,6,1,8,NA,16,4,3,4,1,7,4,5,7,3,NA,8,10,15,3,10,4,4,9,20,6,4,5,4,7,14,11,21,3,5,7,3,7,6,28,5,5,12,1,1,NA,7,1,8,4,7,2,7,1,2,6,5,5,8,13,1
Highly Aromatic w/ Heteroatoms,126,43,64,128,66,73,169,55,148,69,34,179,59,135,138,102,69,127,135,117,45,160,39,14,80,66,55,35,164,134,136,63,79,103,76,93,110,95,168,76,165,13,57,106,96,143,81,26,23,97,57,45,124,222,72,161,17,57,102,144,34,10,65,201,124,148,108,173,104,9,142,90,121,143,216,96,5,136,46,14,3,53,117,98,80,91,68,98,96,79,136,17,10,131,138,81
Saturated Compounds (including carbohydrates),11,9,7,8,5,11,14,7,8,9,7,5,3,13,3,4,4,5,14,4,4,6,12,4,8,4,11,7,5,6,7,8,8,7,8,3,8,11,7,5,7,8,8,8,5,6,6,5,10,4,3,9,9,6,4,9,3,7,8,11,12,5,10,5,9,16,5,9,5,10,7,7,13,3,11,11,1,8,4,2,NA,11,3,18,7,9,8,8,4,4,8,6,6,8,5,5
Polycyclic Aromatic,16,18,25,32,19,18,40,16,37,11,12,51,17,19,29,35,20,14,11,22,3,33,15,5,25,13,16,18,45,36,36,11,11,26,15,18,27,15,40,31,24,6,13,36,37,38,30,11,18,33,23,10,15,54,18,49,5,15,13,39,8,1,19,25,27,31,26,40,22,8,41,20,3,32,38,40,NA,30,4,2,NA,6,61,1,40,24,27,29,22,18,25,14,2,38,46,23
Polycyclic Aromatic w/ Heteroatoms,18,8,15,15,6,19,40,4,26,27,8,20,13,23,21,22,18,16,28,14,12,20,32,11,5,13,4,12,33,39,27,11,17,11,14,13,22,16,31,11,26,19,16,40,12,23,33,18,37,14,8,30,22,51,11,31,7,20,10,19,13,15,27,28,25,26,11,30,9,24,23,19,26,21,36,26,8,30,7,3,5,10,22,22,12,12,8,15,13,17,12,32,26,20,26,5
