Sample,AI_Mod,DBE,NOSC,lambda,HtoC,OtoC,NtoC,PtoC,NtoP,Richness
S19S_0006,0.266324687133227,8.62175792507205,-0.207374777165104,0.0534106353824799,1.21782725959757,0.47878688946658,0.0177647872376868,0.00570869246901579,0.169753086419753,2776
S19S_0007,0.27037169361671,9.74094355518113,-0.203490602324941,0.0476574042860569,1.1985654769902,0.499757037995511,0.0133683198016781,0.0098106246033329,0.136363636363636,2374
S19S_0008,0.283776066858014,10.1407884151247,-0.162722456383336,0.0474541270961161,1.17342004944775,0.504876246134862,0.0129205545468538,0.00899981600904953,0.168085106382979,2486
S19S_0010,0.272077119784185,9.29370158302459,-0.128434718028095,0.0524108207289758,1.18606175402032,0.511632542673583,0.0186232433849981,0.00709308585049497,0.171764705882353,2969
S19S_0009,0.272768883662751,9.09644194756554,-0.101288921404227,0.0532752579306801,1.17727291876054,0.525483516269388,0.0170119962076208,0.00702694923693474,0.107744107744108,2136
S19S_0040,0.261481191945608,9.71167141114274,-0.29303428122898,0.0456308479485272,1.23287019404607,0.460506790454128,0.0182449935309731,0.00953372611328696,0.26530612244898,2459
S19S_0039,0.244024313972407,8.18766756032172,-0.18991326889834,0.0551872378402236,1.25589143749199,0.507955260797242,0.0185888501951821,0.00676668657958797,0.221991701244813,3730
S19S_0022,0.279177117113155,9.41497880357984,-0.169978734995957,0.0502748534113605,1.18765411171584,0.508784497205262,0.0129116296681375,0.00855887004772921,0.0708446866485014,2123
S19S_0011,0.257375267916896,9.20434782608696,-0.180557707114364,0.0511005373216223,1.22061911273612,0.506035662522786,0.0178858877759189,0.00798156413083779,0.223613595706619,3450
S19S_0029,0.276044617939468,10.0223488168273,-0.171729866366789,0.0475452730969416,1.18602533752944,0.495195309891475,0.0191981446634951,0.00855858209238418,0.281795511221945,2282
S19S_0026,0.282188025024463,9.88492063492063,-0.109123632577157,0.0488623222088689,1.16302907321709,0.529088664764816,0.0109759948900821,0.00876128502230092,0.102857142857143,2016
S19S_0042,0.292888620546438,9.60658463584968,-0.0219364315070209,0.0541544019505429,1.13741846783768,0.535770940200685,0.0187573686123451,0.00627330894262994,0.261707988980716,3007
S19S_0041,0.277929051307489,9.46986236355007,-0.144579148731149,0.0509353435664546,1.18097965661917,0.511019631434712,0.0132855738414964,0.00673073756461098,0.177700348432056,2107
S19S_0055,0.248097171996788,8.28322784810127,-0.16688222710254,0.0556845923281408,1.2373959427369,0.505963350784997,0.0224978391561291,0.00710065401394968,0.200471698113208,3160
S19S_0023,0.286751425060345,9.46621860629643,-0.068683309402716,0.0535093817243552,1.15450657914743,0.518496388955258,0.0193232182744606,0.00543303992194108,0.205047318611987,2827
S19S_0044,0.295130035017968,10.2503612716763,-0.0695661985740178,0.0499678414600086,1.13646656751721,0.527574941497311,0.0122157685247629,0.00758747015704041,0.242424242424242,2768
S19S_0034,0.289915081883018,10.1206751054852,-0.128501761491452,0.0483819437445876,1.15583523821978,0.507956985079669,0.0139912536650331,0.00785646383412924,0.16839378238342,2370
S19S_0028,0.294135401488451,10.5756,-0.14740542547018,0.046479897756385,1.15527087332596,0.489236538372191,0.0188939316713493,0.00749364948196886,0.312958435207824,2500
S19S_0043,0.257478392342336,8.88023754536457,-0.169000168978977,0.0531334279904945,1.22503756028665,0.490467994402825,0.0303413396583689,0.00700414822108272,0.338095238095238,3031
S19S_0025,0.276706250586283,9.20177469135803,-0.126721685855715,0.0531332863736545,1.18277545949388,0.506891287956816,0.0206972204674141,0.00714604057156593,0.227154046997389,2592
S19S_0056,0.22258927299738,7.35584137191854,-0.23640305369702,0.0567655575100905,1.29823335308973,0.51039856351898,0.0238455946162892,0.00865057476198637,0.310344827586207,1866
S19S_0061,0.272794485270159,8.94052419354839,-0.0831206236642053,0.0550262617863155,1.18534557310388,0.52053940624286,0.025194669287587,0.00579446283678342,0.192419825072886,2976
S19S_0016,0.247676592848748,9.64314247669774,-0.33969178545475,0.0442133289428554,1.26192512887859,0.452759991628744,0.0196151598392885,0.0108439950708158,0.301587301587302,2253
S19S_0048,0.274528128375116,9.925,-0.212039146731603,0.0454637193338115,1.19534841498926,0.494562742245036,0.0108642182554005,0.00891507808691457,0.14760147601476,1480
S19S_0064,0.26534551534936,8.87160793843661,-0.149343806806873,0.0528971178179255,1.20424335987945,0.514542931463636,0.0187203426674493,0.0079651557392449,0.151282051282051,2469
S19S_0037,0.260937222115727,8.62116040955631,-0.14338183432805,0.0542489522905785,1.20569659731718,0.515264394545059,0.0220416700310695,0.00921318250788567,0.238356164383562,2051
S19S_0038,0.258386781962433,8.61407888167748,-0.142371936164671,0.0540074353527567,1.21103943714648,0.520390389824088,0.0207807292347412,0.00886343520065975,0.206395348837209,2003
S19S_0033,0.282331334580688,9.85125115848007,-0.174869488749216,0.0480262023584245,1.17809674846358,0.506917563403702,0.0106298947144848,0.00953029692666834,0.121428571428571,2158
S19S_0067,0.297392927776585,9.63135593220339,-0.0340595771874016,0.05408104584733,1.13612528687279,0.527383172351539,0.0204802004575389,0.00591723234636664,0.244047619047619,2832
S19S_0035,0.294707432977678,11.101667735728,-0.0584821951217246,0.0467183961604189,1.13314526333783,0.528898849127365,0.0141959739440022,0.00776229462828135,0.305182341650672,3118
