,fluxes
EX_cpd00035_e0,0.0
EX_cpd00013_e0,0.0
rxn01629_c3,0.0
EX_cpd00053_e0,0.0
EX_cpd00071_e0,0.0
rxn02782_c1,0.0
rxn00213_c3,0.0
EX_cpd00438_e0,-0.2627519598607089
rxn05030_c1,0.0
rxn00324_c3,0.0
rxn08814_c4,0.0
EX_cpd00393_e0,-0.01283729619643777
rxn05581_c1,0.0
EX_cpd00041_e0,0.0
rxn01575_c3,-0.10402243720718622
EX_cpd03696_e0,0.0
rxn43581_c4,-0.1744014698087841
rxn05398_c3,0.0
rxn02791_c4,0.0
EX_cpd00731_e0,0.0
rxn16341_c4,0.0
rxn03240_c3,-0.07149321585463655
rxn05450_c1,0.0
EX_cpd00028_e0,-0.004279098732145927
rxn16611_c4,0.0
EX_cpd00156_e0,-0.15295813020516036
rxn05539_c4,0.0
EX_cpd00794_e0,0.0
rxn16583_c4,0.0
rxn09562_c3,0.0
rxn12847_c1,0.0
EX_cpd00029_e0,0.0
rxn10506_c4,0.0
rxn00555_c3,0.0
EX_cpd00081_e0,0.0
rxn39451_c4,-0.13709492724055214
rxn00304_c6,0.0
EX_cpd00065_e0,-3.7286471279511564
rxn03435_c3,-0.10402243720718622
rxn05410_c1,0.0
EX_cpd00268_e0,0.0
rxn21858_c4,0.0
rxn05443_c1,0.0
EX_cpd00644_e0,-0.0014263662440484454
rxn03080_c3,0.0
rxn08841_c4,0.0
EX_cpd00122_e0,0.0
rxn46694_c4,0.0
EX_cpd00001_e0,0.0
rxn05461_c4,0.08844477439588638
rxn05339_c6,0.0
rxn09114_c1,0.0
EX_cpd00039_e0,0.0
rxn24830_c4,0.0
rxn10237_c3,0.0
rxn02159_c4,0.0
EX_cpd00107_e0,0.0
rxn16574_c4,0.0
rxn00143_c3,0.0
EX_cpd00305_e0,-0.00427909873214592
rxn24134_c4,0.0
EX_cpd00030_e0,-0.004279098732145927
rxn12644_c3,0.0
rxn09188_c1,0.07738917759640052
rxn04161_c4,0.0
rxn02475_c6,0.0
EX_cpd10516_e0,-0.0057054649761945665
rxn07436_c4,0.0
rxn00147_c3,0.0
rxn10222_c4,0.0
rxn05422_c1,0.0
EX_cpd00254_e0,-0.004279098732145927
rxn03396_c4,0.0
rxn00737_c3,0.03355489220252843
rxn08822_c1,0.04422238719794315
EX_cpd00149_e0,-0.004279098732145927
rxn05466_c4,-0.21297687058771664
rxn01740_c3,-0.002139549366072975
rxn15296_c4,0.0
EX_cpd00023_e0,0.0
rxn01256_c3,0.0
rxn00777_c3,-0.11172546063083937
rxn05345_c1,0.05719457268370925
rxn09037_c4,0.0021395493660729646
EX_cpd00119_e0,0.0
rxn10263_c4,0.0
rxn15937_c4,0.0
rxn00453_c5,0.0
rxn05307_c5,0.0
rxn10663_c5,-0.1599379902505229
rxn09678_c3,0.0
rxn11735_c5,0.0
rxn00474_c2,0.0
rxn05237_c5,0.0
rxn00898_c2,0.15153176396111284
rxn00829_c5,0.0
EX_cpd00540_e0,0.0
rxn41725_c1,0.0
rxn01607_c5,0.0
rxn08223_c3,0.0
rxn00421_c5,0.0
rxn39912_c1,0.0
rxn10225_c2,0.0
rxn09426_c3,0.0
rxn02322_c5,0.0
rxn03066_c1,0.0
rxn10768_c3,0.0
rxn02928_c5,0.0
rxn03246_c1,0.0
rxn09135_c3,0.0
rxn09345_c5,0.0
rxn02945_c2,0.0
rxn09155_c3,0.0
rxn00642_c5,0.0
rxn00274_c1,0.0
rxn01210_c2,0.0
rxn00429_c3,0.0
rxn03962_c5,0.0
rxn00525_c1,0.0
rxn00192_c2,0.0
rxn08829_c3,0.0
rxn00544_c5,0.0
rxn02402_c6,0.0
rxn11663_c1,0.0
rxn09082_c3,0.0
rxn08773_c5,0.0
rxn01218_c2,0.0
rxn05337_c2,-0.07149321585463658
rxn09156_c3,0.0
rxn24594_c1,0.0
rxn10336_c2,0.011055596799485791
rxn02503_c2,0.0
rxn13838_c3,-0.08844477439588636
rxn12225_c5,0.0003565915610121606
rxn01612_c5,0.0
rxn14159_c1,0.0
rxn09083_c3,0.0
rxn05338_c2,-0.07149321585463658
rxn21729_c1,0.0
rxn00914_c3,0.0
rxn02320_c2,0.0
rxn03135_c2,0.0
rxn09162_c3,0.0
rxn03826_c5,0.0014263662440486431
rxn17275_c1,0.0
rxn10265_c2,0.0
rxn01537_c3,0.0
rxn00762_c5,0.0
rxn16593_c1,0.0
rxn03384_c2,0.0
rxn09157_c3,0.0
rxn08310_c2,0.0
rxn10768_c5,0.0
rxn16565_c1,0.0
rxn07466_c3,-0.01429864317092731
rxn05522_c5,0.0
rxn00915_c2,0.0
rxn09142_c3,0.0
rxn12845_c6,0.0
rxn16592_c1,0.0
rxn09997_c5,0.0
rxn00262_c2,0.0
rxn03075_c3,0.0
rxn05465_c6,-1.3657180546079371e-17
rxn02284_c5,0.0
rxn16594_c1,0.0
rxn05334_c2,0.07149321585463657
rxn08084_c2,0.0
rxn01649_c3,0.0
rxn02853_c2,0.0
rxn05211_c5,-0.0014263662440486418
rxn46469_c1,0.0
rxn43581_c1,0.0
rxn08234_c3,0.0
rxn09042_c5,0.0
rxn01477_c2,0.0
rxn10224_c2,0.0
rxn05444_c2,0.0
EX_cpd04099_e0,0.0
rxn37060_c1,0.0
rxn05430_c6,0.0
rxn01420_c6,0.0
rxn00219_c6,0.0
rxn01334_c1,0.0
rxn01548_c6,0.0
rxn01922_c6,0.0
rxn00392_c1,0.000713183122024321
rxn01279_c6,0.0
rxn05145_c1,0.0
rxn02841_c6,0.0
rxn00603_c6,0.0
rxn01872_c1,0.0
rxn05364_c6,0.0
rxn00494_c6,0.0
rxn11201_c6,0.0
rxn08085_c6,0.0
rxn00354_c6,0.0
rxn01301_c1,0.0
