,interDay 1,interDay 2,interDay 3,interDay 4,interDay 5,interDay 6
rxn0,111,343,882,988,672,198
rxn1,711,397,281,203,13,686
rxn2,531,938,189,648,836,982
rxn3,488,610,411,413,219,596
rxn4,194,271,853,471,688,644
rxn5,373,228,656,618,817,849
rxn6,19,657,847,337,255,12
rxn7,272,36,51,402,885,413
rxn8,182,646,10,87,801,203
rxn9,27,268,959,432,27,899
rxn10,943,951,72,782,16,212
rxn11,883,4,481,956,583,903
rxn12,136,44,53,247,117,41
rxn13,574,946,352,480,934,444
rxn14,95,469,59,823,477,46
rxn15,513,971,893,698,140,932
rxn16,474,249,559,991,802,31
rxn17,60,733,842,617,895,116
rxn18,351,303,132,54,397,789
rxn19,783,269,701,33,323,598
rxn20,358,279,392,748,415,312
rxn21,452,136,344,415,861,114
rxn22,576,875,293,470,409,858
rxn23,604,132,864,680,480,65
rxn24,499,526,656,297,519,75
rxn25,896,774,715,341,905,439
rxn26,520,655,450,560,869,854
rxn27,254,3,743,905,731,775
rxn28,328,270,187,662,118,111
rxn29,137,696,618,922,102,143
rxn30,47,120,692,698,849,295
rxn31,148,876,844,630,763,768
rxn32,629,576,865,25,901,65
rxn33,112,286,4,524,437,116
rxn34,159,666,584,133,124,610
rxn35,591,533,652,851,839,932
rxn36,987,851,1,797,446,384
rxn37,257,12,863,211,191,611
rxn38,308,902,678,322,286,506
rxn39,686,758,336,834,522,139
rxn40,249,581,66,191,264,583
rxn41,237,5,452,134,304,241
rxn42,182,699,989,446,329,614
rxn43,2,267,182,289,982,574
rxn44,779,137,249,479,58,117
rxn45,809,611,883,967,621,687
rxn46,652,740,46,486,109,151
rxn47,303,832,708,818,273,445
rxn48,690,141,605,84,911,103
rxn49,973,422,212,285,888,84
rxn50,90,599,607,290,177,771
rxn51,17,938,515,394,513,154
rxn52,497,913,907,548,928,765
rxn53,961,462,338,350,640,800
rxn54,24,108,268,496,213,826
rxn55,41,333,422,514,292,675
rxn56,992,189,971,225,792,394
rxn57,263,207,837,638,134,166
rxn58,489,613,943,717,410,810
rxn59,877,220,466,429,647,942
rxn60,215,605,64,139,503,216
rxn61,169,444,381,85,383,418
rxn62,17,476,548,651,151,844
rxn63,291,297,415,463,241,293
rxn64,973,647,154,868,633,171
rxn65,565,362,459,741,997,35
rxn66,698,440,413,327,622,799
rxn67,607,661,928,284,614,345
rxn68,244,707,960,477,872,442
rxn69,874,213,701,417,326,941
rxn70,401,593,806,608,682,313
rxn71,335,231,320,437,500,788
rxn72,135,410,396,781,753,586
rxn73,22,164,19,850,466,941
rxn74,781,361,958,439,960,833
rxn75,610,945,653,783,284,904
rxn76,992,607,211,864,954,85
rxn77,182,892,122,310,806,863
rxn78,151,55,788,716,14,822
rxn79,240,868,145,309,633,304
rxn80,520,322,610,134,532,268
rxn81,562,349,567,838,68,629
rxn82,269,818,205,694,66,83
rxn83,631,377,668,74,618,660
rxn84,826,760,829,249,55,8
rxn85,171,641,356,653,936,856
rxn86,440,957,11,283,291,938
rxn87,636,62,834,234,860,95
rxn88,173,828,541,617,596,256
rxn89,605,898,999,847,564,954
rxn90,397,147,468,791,367,625
rxn91,218,533,226,188,496,965
rxn92,15,896,492,323,125,35
rxn93,773,335,411,896,75,321
rxn94,703,533,326,825,670,894
rxn95,52,384,741,176,47,717
rxn96,483,351,978,95,252,683
rxn97,262,150,187,927,39,842
rxn98,227,416,595,284,511,800
rxn99,875,512,353,879,663,878
