,44.20,19683091,19683091.1,U,0,unclassified
0,55.8,24850907,454,R,1,root
1,55.8,24849251,3030,R1,131567,cellular organisms
2,55.75,24827628,47494,D,2,Bacteria
3,32.77,14595271,16711,D1,1783272,Terrabacteria group
4,31.63,14085476,49624,P,1239,Firmicutes
5,30.12,13413077,895,C,186801,Clostridia
6,30.1,13406226,134276,O,186802,Clostridiales
7,29.08,12951076,29353,F,186803,Lachnospiraceae
8,28.44,12667398,96787,G,1506553,Lachnoclostridium
9,23.98,10680817,0,S,84030,[Clostridium] saccharolyticum
10,23.98,10680817,10680817,S1,610130,[Clostridium] saccharolyticum WM1
11,3.72,1655747,1655747,S,208479,[Clostridium] bolteae
12,0.27,119218,119218,S,1834196,Lachnoclostridium sp. YL32
13,0.15,65839,0,S,29370,[Clostridium] sphenoides
14,0.15,65839,65839,S1,1297793,[Clostridium] sphenoides JCM 1415
15,0.1,42926,42926,S,1871021,Lachnoclostridium phocaeense
16,0.01,6064,0,S,66219,Lachnoclostridium phytofermentans
17,0.01,6064,6064,S1,357809,Lachnoclostridium phytofermentans ISDg
18,0.22,98291,43113,G,572511,Blautia
19,0.06,27620,0,S,1322,Blautia hansenii
20,0.06,27620,27620,S1,537007,Blautia hansenii DSM 20583
21,0.06,27555,27555,S,1912897,Blautia sp. N6H1-15
22,0.0,2,2,S,1796616,Blautia sp. YL58
23,0.0,1,1,S,1532,Blautia coccoides
24,0.16,70702,0,G,841,Roseburia
25,0.16,70702,0,S,301301,Roseburia hominis
26,0.16,70702,70702,S1,585394,Roseburia hominis A2-183
27,0.08,37307,0,F1,186928,unclassified Lachnospiraceae
28,0.08,34447,0,S,39491,[Eubacterium] rectale
29,0.08,34447,34447,S1,515619,[Eubacterium] rectale ATCC 33656
30,0.01,2860,2860,S,712991,Lachnospiraceae bacterium oral taxon 500
31,0.06,24528,0,G,207244,Anaerostipes
32,0.06,24528,24528,S,649756,Anaerostipes hadrus
33,0.03,15358,2464,G,830,Butyrivibrio
