,38.71,19483860,19483860.1,U,0,unclassified
0,61.29,30843858,810,R,1,root
1,61.28,30841746,2602,R1,131567,cellular organisms
2,61.25,30825690,42884,D,2,Bacteria
3,33.57,16896624,159,D1,1783270,FCB group
4,33.57,16895905,343,D2,68336,Bacteroidetes/Chlorobi group
5,33.57,16893710,22973,P,976,Bacteroidetes
6,33.38,16800324,450,C,200643,Bacteroidia
7,33.37,16796355,160559,O,171549,Bacteroidales
8,30.68,15438730,0,F,815,Bacteroidaceae
9,30.68,15438730,230748,G,816,Bacteroides
10,25.71,12939958,12939958,S,246787,Bacteroides cellulosilyticus
11,2.09,1052459,1051579,S,28116,Bacteroides ovatus
12,0.0,880,880,S1,1379690,Bacteroides ovatus V975
13,0.61,308744,161404,S,817,Bacteroides fragilis
14,0.25,127316,127316,S1,272559,Bacteroides fragilis NCTC 9343
15,0.02,10638,10638,S1,862962,Bacteroides fragilis 638R
16,0.02,9386,9386,S1,295405,Bacteroides fragilis YCH46
17,0.41,206653,0,S,357276,Bacteroides dorei
18,0.41,206653,206653,S1,997877,Bacteroides dorei CL03T12C01
19,0.38,192334,160861,S,818,Bacteroides thetaiotaomicron
20,0.06,31473,31473,S1,226186,Bacteroides thetaiotaomicron VPI-5482
21,0.32,159106,159106,S,1796613,Bacteroides caecimuris
22,0.2,99441,65200,S,821,Bacteroides vulgatus
23,0.07,34241,34241,S1,435590,Bacteroides vulgatus ATCC 8482
24,0.18,88963,0,S,290053,Bacteroides helcogenes
25,0.18,88963,88963,S1,693979,Bacteroides helcogenes P 36-108
26,0.11,54947,54947,S,47678,Bacteroides caccae
27,0.1,48956,0,S,376805,Bacteroides salanitronis
28,0.1,48956,48956,S1,667015,Bacteroides salanitronis DSM 18170
29,0.06,29265,29265,S,28113,Bacteroides heparinolyticus
30,0.05,23513,23513,S,28119,Bacteroides zoogleoformans
31,0.01,3643,0,S,151276,Bacteroides coprosuis
32,0.01,3643,3643,S1,679937,Bacteroides coprosuis DSM 18011
33,2.2,1105040,228,F,2005525,Tannerellaceae
34,2.19,1103209,604935,G,375288,Parabacteroides
35,0.57,288817,288817,S,2025876,Parabacteroides sp. CT06
36,0.42,209457,0,S,823,Parabacteroides distasonis
37,0.42,209457,209457,S1,435591,Parabacteroides distasonis ATCC 8503
38,0.0,1603,20,G,195950,Tannerella
39,0.0,901,672,S,28112,Tannerella forsythia
40,0.0,152,152,S1,1307833,Tannerella forsythia KS16
41,0.0,56,56,S1,203275,Tannerella forsythia 92A2
42,0.0,21,21,S1,1307832,Tannerella forsythia 3313
43,0.0,682,682,S,712710,Tannerella sp. oral taxon HOT-286
44,0.05,27480,0,F,171552,Prevotellaceae
45,0.05,27480,2243,G,838,Prevotella
46,0.02,8337,0,S,52227,Prevotella dentalis
47,0.02,8337,8337,S1,908937,Prevotella dentalis DSM 3688
48,0.01,4684,4684,S,28132,Prevotella melaninogenica
49,0.01,3668,3641,S,28131,Prevotella intermedia
50,0.0,27,27,S1,1122984,Prevotella intermedia ATCC 25611 = DSM 20706
51,0.01,2756,0,S,839,Prevotella ruminicola
52,0.01,2756,2756,S1,264731,Prevotella ruminicola 23
53,0.0,1655,1655,S,76123,Prevotella enoeca
54,0.0,1179,0,S,28129,Prevotella denticola
55,0.0,1179,1179,S1,767031,Prevotella denticola F0289
56,0.0,887,0,S,589436,Prevotella fusca
57,0.0,887,887,S1,1236517,Prevotella fusca JCM 17724
58,0.0,805,0,S,589437,Prevotella scopos
59,0.0,805,805,S1,1236518,Prevotella scopos JCM 17725
60,0.0,665,0,S,652716,Prevotella sp. oral taxon 299
61,0.0,665,665,S1,575614,Prevotella sp. oral taxon 299 str. F0039
62,0.0,601,601,S,1177574,Prevotella jejuni
63,0.05,23572,0,F,171550,Rikenellaceae
64,0.04,20992,4496,G,239759,Alistipes
65,0.02,9415,0,S,328814,Alistipes shahii
66,0.02,9415,9415,S1,717959,Alistipes shahii WAL 8301
67,0.01,7081,0,S,214856,Alistipes finegoldii
68,0.01,7081,7081,S1,679935,Alistipes finegoldii DSM 17242
69,0.01,2580,0,G,1611681,Mucinivorans
70,0.01,2580,2580,S,1433126,Mucinivorans hirudinis
71,0.04,22490,0,F,1853231,Odoribacteraceae
72,0.04,22490,0,G,283168,Odoribacter
73,0.04,22490,22484,S,28118,Odoribacter splanchnicus
74,0.0,6,6,S1,709991,Odoribacter splanchnicus DSM 20712
75,0.01,7064,0,F,171551,Porphyromonadaceae
76,0.01,4196,9,G,836,Porphyromonas
77,0.0,2125,0,S,28123,Porphyromonas asaccharolytica
78,0.0,2125,2125,S1,879243,Porphyromonas asaccharolytica DSM 20707
79,0.0,1516,1506,S,837,Porphyromonas gingivalis
80,0.0,10,10,S1,1403336,Porphyromonas gingivalis AJW4
81,0.0,546,546,S,393921,Porphyromonas crevioricanis
82,0.0,1687,0,G,1784836,Fermentimonas
83,0.0,1687,1687,S,1562970,Fermentimonas caenicola
84,0.0,1181,0,G,307628,Petrimonas
85,0.0,1181,1181,S,1642646,Petrimonas mucosa
86,0.01,4272,0,F,2005519,Barnesiellaceae
87,0.01,4272,0,G,397864,Barnesiella
88,0.01,4272,0,S,397865,Barnesiella viscericola
89,0.01,4272,4272,S1,880074,Barnesiella viscericola DSM 18177
90,0.01,2658,0,F,2005473,Muribaculaceae
91,0.01,2658,0,G,1918540,Muribaculum
92,0.01,2658,2658,S,1796646,Muribaculum intestinale
93,0.0,2061,0,F,2005520,Dysgonamonadaceae
94,0.0,2061,0,G,294702,Proteiniphilum
95,0.0,2061,2061,S,1642647,Proteiniphilum saccharofermentans
96,0.0,1779,0,F,2005523,Paludibacteraceae
97,0.0,1779,0,G,346096,Paludibacter
98,0.0,1779,0,S,185300,Paludibacter propionicigenes
99,0.0,1779,1779,S1,694427,Paludibacter propionicigenes WB4
100,0.0,650,0,O1,333046,unclassified Bacteroidales
101,0.0,360,0,G,511434,Candidatus Azobacteroides
102,0.0,360,323,S,511435,Candidatus Azobacteroides pseudotrichonymphae
103,0.0,37,37,S1,511995,Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
104,0.0,290,0,O2,185291,unclassified Bacteroidales (miscellaneous)
105,0.0,290,290,S,1400053,Bacteroidales bacterium CF
106,0.01,3519,1,O,1970189,Marinilabiliales
107,0.0,1424,0,F,1471398,Prolixibacteraceae
108,0.0,1424,0,G,1471399,Draconibacterium
109,0.0,1424,1424,S,1168034,Draconibacterium orientale
110,0.0,1011,0,F,1573805,Marinifilaceae
111,0.0,1011,0,F1,1717716,unclassified Marinifilaceae
112,0.0,1011,1011,S,1717717,Marinifilaceae bacterium SPP2
113,0.0,711,0,F,558415,Marinilabiliaceae
114,0.0,711,0,G,1193324,Alkalitalea
115,0.0,711,711,S,889453,Alkalitalea saponilacus
116,0.0,372,0,F,1970190,Salinivirgaceae
117,0.0,372,0,G,1970191,Salinivirga
118,0.0,372,372,S,1307839,Salinivirga cyanobacteriivorans
119,0.08,42475,0,C,117743,Flavobacteriia
120,0.08,42475,164,O,200644,Flavobacteriales
121,0.08,42005,1828,F,49546,Flavobacteriaceae
122,0.02,7920,259,G,237,Flavobacterium
123,0.0,1356,1356,S,1492737,Flavobacterium gilvum
124,0.0,1056,1056,S,1306519,Flavobacterium commune
125,0.0,1044,1044,S,1981981,Flavobacterium sp. AJ004
126,0.0,801,422,S,986,Flavobacterium johnsoniae
127,0.0,379,379,S1,376686,Flavobacterium johnsoniae UW101
128,0.0,725,725,S,2294119,Flavobacterium sp. CJ74
129,0.0,611,611,S,2183896,Flavobacterium sp. HYN0056
130,0.0,487,487,S,2172098,Flavobacterium sp. HYN0049
131,0.0,405,405,S,2175091,Flavobacterium sp. HYN0059
132,0.0,253,253,S,2201181,Flavobacterium sp. MEBiC07310
133,0.0,221,221,S,1784713,Flavobacterium arcticum
134,0.0,201,199,S,96345,Flavobacterium psychrophilum
135,0.0,2,2,S1,1452724,Flavobacterium psychrophilum FPG3
136,0.0,163,163,S,2249356,Flavobacterium sp. HYN0086
137,0.0,92,92,S,1763534,Flavobacterium crassostreae
138,0.0,77,77,S,1355330,Flavobacterium faecale
139,0.0,71,71,S,996,Flavobacterium columnare
140,0.0,40,0,S,55197,Flavobacterium branchiophilum
141,0.0,40,40,S1,1034807,Flavobacterium branchiophilum FL-15
142,0.0,31,31,S,2162713,Flavobacterium sp. HYN0048
143,0.0,27,0,S,312277,Flavobacterium indicum
144,0.0,27,27,S1,1094466,Flavobacterium indicum GPTSA100-9 = DSM 17447
145,0.01,6695,341,G,1016,Capnocytophaga
146,0.01,4088,4088,S,1019,Capnocytophaga sputigena
147,0.0,446,244,S,28188,Capnocytophaga canimorsus
148,0.0,202,202,S1,860228,Capnocytophaga canimorsus Cc5
149,0.0,364,364,S,1316596,Capnocytophaga sp. oral taxon 878
150,0.0,336,336,S,209053,Capnocytophaga sp. ChDC OS43
151,0.0,325,325,S,1316593,Capnocytophaga sp. oral taxon 864
152,0.0,277,277,S,45243,Capnocytophaga haemolytica
153,0.0,202,202,S,327575,Capnocytophaga leadbetteri
154,0.0,142,142,S,1945658,Capnocytophaga sp. H4358
155,0.0,62,62,S,1848904,Capnocytophaga stomatis
156,0.0,55,55,S,1017,Capnocytophaga gingivalis
157,0.0,52,52,S,28189,Capnocytophaga cynodegmi
158,0.0,3,3,S,1945657,Capnocytophaga sp. H2931
159,0.0,1,0,S,1018,Capnocytophaga ochracea
160,0.0,1,1,S1,521097,Capnocytophaga ochracea DSM 7271
161,0.0,1,1,S,1705617,Capnocytophaga sp. oral taxon 323
162,0.01,3864,35,G,59732,Chryseobacterium
163,0.0,991,991,S,878220,Chryseobacterium sp. StRB126
164,0.0,675,675,S,253,Chryseobacterium indologenes
165,0.0,609,609,S,1265445,Chryseobacterium camelliae
166,0.0,381,381,S,558152,Chryseobacterium piperi
167,0.0,355,355,S,536441,Chryseobacterium taklimakanense
168,0.0,244,244,S,1721091,Chryseobacterium sp. IHB B 17019
169,0.0,237,237,S,2015076,Chryseobacterium sp. T16E-39
170,0.0,218,218,S,1685010,Chryseobacterium glaciei
171,0.0,119,119,S,1324352,Chryseobacterium gallinarum
172,0.01,3269,0,G,28250,Ornithobacterium
173,0.01,3269,206,S,28251,Ornithobacterium rhinotracheale
174,0.01,3063,3063,S1,1401325,Ornithobacterium rhinotracheale ORT-UMN 88
175,0.0,2002,54,G,52959,Polaribacter
176,0.0,745,745,S,1312072,Polaribacter sp. SA4-12
177,0.0,241,241,S,1774273,Polaribacter vadi
178,0.0,209,209,S,1855336,Polaribacter sp. KT25b
179,0.0,183,183,S,1336804,Polaribacter sp. Hel1_33_78
180,0.0,159,159,S,996801,Polaribacter reichenbachii
181,0.0,153,153,S,1529069,Polaribacter sp. BM10
182,0.0,152,152,S,754397,Polaribacter sp. SA4-10
183,0.0,92,92,S,313598,Polaribacter sp. MED152
184,0.0,12,12,S,2058137,Polaribacter sp. ALD11
185,0.0,2,2,S,1896175,Polaribacter sp. KT 15
186,0.0,1659,747,G,308865,Elizabethkingia
187,0.0,611,611,S,238,Elizabethkingia meningoseptica
188,0.0,147,119,S,1117645,Elizabethkingia anophelis
189,0.0,27,27,S1,1352940,Elizabethkingia anophelis FMS-007
190,0.0,1,1,S1,1338011,Elizabethkingia anophelis NUHP1
191,0.0,111,111,S,1756149,Elizabethkingia bruuniana
192,0.0,38,38,S,1756150,Elizabethkingia ursingii
193,0.0,5,5,S,172045,Elizabethkingia miricola
194,0.0,1401,47,G,363408,Nonlabens
195,0.0,452,452,S,1336802,Nonlabens sp. Hel1_33_55
196,0.0,390,0,S,930802,Nonlabens marinus
197,0.0,390,390,S1,1454201,Nonlabens marinus S1-08
198,0.0,284,0,S,328515,Nonlabens dokdonensis
199,0.0,284,284,S1,592029,Nonlabens dokdonensis DSW-6
200,0.0,192,192,S,2058134,Nonlabens sp. MB-3u-79
201,0.0,22,22,S,331648,Nonlabens spongiae
202,0.0,14,14,S,319236,Nonlabens sediminis
203,0.0,1211,26,G,104267,Tenacibaculum
204,0.0,454,454,S,1850252,Tenacibaculum todarodis
205,0.0,340,340,S,584609,Tenacibaculum jejuense
206,0.0,186,186,S,669041,Tenacibaculum dicentrarchi
207,0.0,181,181,S,754423,Tenacibaculum sp. SZ-18
208,0.0,24,24,S,107401,Tenacibaculum maritimum
209,0.0,1168,182,G,292691,Gramella
210,0.0,400,400,S,2126553,Gramella sp. SH35
211,0.0,299,0,S,1486245,Gramella flava
212,0.0,299,299,S1,1229726,Gramella flava JLT2011
213,0.0,182,182,S,1250205,Gramella sp. MAR_2010_147
214,0.0,87,87,S,1913577,Gramella salexigens
215,0.0,10,0,S,411153,Gramella forsetii
216,0.0,10,10,S1,411154,Gramella forsetii KT0803
217,0.0,8,8,S,1250231,Gramella sp. MAR_2010_102
218,0.0,1027,0,F1,61432,unclassified Flavobacteriaceae
219,0.0,416,416,S,1250295,Flavobacteriaceae bacterium MAR_2010_188
220,0.0,334,334,S,1150389,Flavobacteriaceae bacterium UJ101
221,0.0,277,277,S,531844,Flavobacteriaceae bacterium 3519-10
222,0.0,940,0,G,286104,Winogradskyella
223,0.0,391,391,S,754409,Winogradskyella sp. PG-2
224,0.0,246,246,S,754417,Winogradskyella sp. PC-19
225,0.0,245,245,S,1936080,Winogradskyella sp. J14-2
226,0.0,58,58,S,1249933,Winogradskyella sp. RHA_55
227,0.0,845,3,G,225842,Formosa
228,0.0,566,0,S,320324,Formosa agariphila
229,0.0,566,566,S1,1347342,Formosa agariphila KMM 3901
230,0.0,234,234,S,1798225,Formosa sp. Hel1_31_208
231,0.0,31,31,S,1336795,Formosa sp. Hel3_A1_48
232,0.0,11,11,S,1336794,Formosa sp. Hel1_33_131
233,0.0,751,0,G,143222,Salegentibacter
234,0.0,449,449,S,143223,Salegentibacter salegens
235,0.0,302,302,S,1729720,Salegentibacter sp. T436
236,0.0,657,0,G,417127,Zunongwangia
237,0.0,657,0,S,398743,Zunongwangia profunda
238,0.0,657,657,S1,655815,Zunongwangia profunda SM-A87
239,0.0,605,0,G,111500,Muricauda
240,0.0,314,0,S,111501,Muricauda ruestringensis
241,0.0,314,314,S1,886377,Muricauda ruestringensis DSM 13258
242,0.0,291,291,S,516051,Muricauda lutaonensis
243,0.0,586,20,G,252356,Maribacter
244,0.0,243,243,S,1836467,Maribacter sp. T28
245,0.0,167,167,S,313603,Maribacter sp. HTCC2170
246,0.0,154,154,S,1178778,Maribacter cobaltidurans
