,49.35,19130842,19130842.1,U,0,unclassified
0,50.65,19634140,679,R,1,root
1,50.64,19631761,3118,R1,131567,cellular organisms
2,50.59,19609297,72173,D,2,Bacteria
3,38.38,14878367,126,D1,1783270,FCB group
4,38.38,14876901,618,D2,68336,Bacteroidetes/Chlorobi group
5,38.36,14871245,31806,P,976,Bacteroidetes
6,38.01,14733717,2213,C,200643,Bacteroidia
7,37.99,14726656,269442,O,171549,Bacteroidales
8,19.27,7470132,0,F,815,Bacteroidaceae
9,19.27,7470132,388366,G,816,Bacteroides
10,3.24,1255498,1254491,S,28116,Bacteroides ovatus
11,0.0,1007,1007,S1,1379690,Bacteroides ovatus V975
12,3.12,1210330,1110612,S,817,Bacteroides fragilis
13,0.11,43250,43250,S1,862962,Bacteroides fragilis 638R
14,0.09,35277,35277,S1,272559,Bacteroides fragilis NCTC 9343
15,0.05,21191,21191,S1,295405,Bacteroides fragilis YCH46
16,2.92,1131624,766188,S,818,Bacteroides thetaiotaomicron
17,0.94,365436,365436,S1,226186,Bacteroides thetaiotaomicron VPI-5482
18,2.39,927012,0,S,357276,Bacteroides dorei
19,2.39,927012,927012,S1,997877,Bacteroides dorei CL03T12C01
20,2.22,861198,861198,S,246787,Bacteroides cellulosilyticus
21,1.72,665778,665778,S,47678,Bacteroides caccae
22,1.42,548826,270221,S,821,Bacteroides vulgatus
23,0.72,278605,278605,S1,435590,Bacteroides vulgatus ATCC 8482
24,0.61,237405,237405,S,1796613,Bacteroides caecimuris
25,0.21,81629,0,S,290053,Bacteroides helcogenes
26,0.21,81629,81629,S1,693979,Bacteroides helcogenes P 36-108
27,0.17,66567,0,S,376805,Bacteroides salanitronis
28,0.17,66567,66567,S1,667015,Bacteroides salanitronis DSM 18170
29,0.14,53329,53329,S,28113,Bacteroides heparinolyticus
30,0.1,38317,38317,S,28119,Bacteroides zoogleoformans
31,0.01,4253,0,S,151276,Bacteroides coprosuis
32,0.01,4253,4253,S1,679937,Bacteroides coprosuis DSM 18011
33,8.31,3219854,0,F,1853231,Odoribacteraceae
34,8.31,3219854,0,G,283168,Odoribacter
35,8.31,3219854,3217755,S,28118,Odoribacter splanchnicus
36,0.01,2099,2099,S1,709991,Odoribacter splanchnicus DSM 20712
37,6.36,2466250,892,F,2005525,Tannerellaceae
38,6.32,2448778,1315923,G,375288,Parabacteroides
39,1.9,737385,0,S,823,Parabacteroides distasonis
40,1.9,737385,737385,S1,435591,Parabacteroides distasonis ATCC 8503
41,1.02,395470,395470,S,2025876,Parabacteroides sp. CT06
42,0.04,16580,570,G,195950,Tannerella
43,0.02,9545,6781,S,28112,Tannerella forsythia
44,0.0,1029,1029,S1,1307833,Tannerella forsythia KS16
45,0.0,969,969,S1,1307832,Tannerella forsythia 3313
46,0.0,766,766,S1,203275,Tannerella forsythia 92A2
47,0.02,6465,6465,S,712710,Tannerella sp. oral taxon HOT-286
48,2.84,1099577,414,F,171550,Rikenellaceae
49,2.83,1095865,52628,G,239759,Alistipes
50,2.18,845680,0,S,214856,Alistipes finegoldii
51,2.18,845680,845680,S1,679935,Alistipes finegoldii DSM 17242
52,0.51,197557,0,S,328814,Alistipes shahii
53,0.51,197557,197557,S1,717959,Alistipes shahii WAL 8301
54,0.01,3298,0,G,1611681,Mucinivorans
55,0.01,3298,3298,S,1433126,Mucinivorans hirudinis
56,0.37,145314,0,F,171552,Prevotellaceae
57,0.37,145314,15360,G,838,Prevotella
58,0.12,45187,43059,S,28131,Prevotella intermedia
59,0.01,2128,2128,S1,1122984,Prevotella intermedia ATCC 25611 = DSM 20706
60,0.04,17431,0,S,52227,Prevotella dentalis
61,0.04,17431,17431,S1,908937,Prevotella dentalis DSM 3688
62,0.03,12901,12901,S,76123,Prevotella enoeca
63,0.03,10067,0,S,589436,Prevotella fusca
64,0.03,10067,10067,S1,1236517,Prevotella fusca JCM 17724
65,0.03,9939,9939,S,1177574,Prevotella jejuni
66,0.02,8931,0,S,28129,Prevotella denticola
67,0.02,8931,8931,S1,767031,Prevotella denticola F0289
68,0.02,6681,0,S,839,Prevotella ruminicola
69,0.02,6681,6681,S1,264731,Prevotella ruminicola 23
70,0.02,6571,0,S,589437,Prevotella scopos
71,0.02,6571,6571,S1,1236518,Prevotella scopos JCM 17725
72,0.02,6216,6216,S,28132,Prevotella melaninogenica
73,0.02,6030,0,S,652716,Prevotella sp. oral taxon 299
74,0.02,6030,6030,S1,575614,Prevotella sp. oral taxon 299 str. F0039
75,0.06,21344,67,F,171551,Porphyromonadaceae
76,0.04,14085,570,G,836,Porphyromonas
77,0.02,7897,7745,S,837,Porphyromonas gingivalis
78,0.0,152,152,S1,1403336,Porphyromonas gingivalis AJW4
79,0.01,3850,3850,S,393921,Porphyromonas crevioricanis
80,0.0,1768,0,S,28123,Porphyromonas asaccharolytica
81,0.0,1768,1768,S1,879243,Porphyromonas asaccharolytica DSM 20707
82,0.01,5508,0,G,307628,Petrimonas
83,0.01,5508,5508,S,1642646,Petrimonas mucosa
84,0.0,1684,0,G,1784836,Fermentimonas
85,0.0,1684,1684,S,1562970,Fermentimonas caenicola
86,0.04,17149,0,F,2005519,Barnesiellaceae
87,0.04,17149,0,G,397864,Barnesiella
88,0.04,17149,0,S,397865,Barnesiella viscericola
89,0.04,17149,17149,S1,880074,Barnesiella viscericola DSM 18177
90,0.02,7404,0,F,2005473,Muribaculaceae
