,8.62,3124538,3124538.1,U,0,unclassified
0,91.38,33132172,114,R,1,root
1,91.38,33131544,242,R1,131567,cellular organisms
2,91.37,33129207,4495,D,2,Bacteria
3,76.11,27596509,2339,D1,1783272,Terrabacteria group
4,75.41,27339456,2059,P,1239,Firmicutes
5,75.37,27327509,71,C,186801,Clostridia
6,75.37,27327166,110752,O,186802,Clostridiales
7,75.02,27199384,9793,F,186803,Lachnospiraceae
8,74.98,27184897,71938,G,1506553,Lachnoclostridium
9,74.7,27083852,0,S,84030,[Clostridium] saccharolyticum
10,74.7,27083852,27083852,S1,610130,[Clostridium] saccharolyticum WM1
11,0.05,19061,19061,S,208479,[Clostridium] bolteae
12,0.01,4862,0,S,29370,[Clostridium] sphenoides
13,0.01,4862,4862,S1,1297793,[Clostridium] sphenoides JCM 1415
14,0.01,3800,3800,S,1834196,Lachnoclostridium sp. YL32
15,0.0,1143,1143,S,1871021,Lachnoclostridium phocaeense
16,0.0,241,0,S,66219,Lachnoclostridium phytofermentans
17,0.0,241,241,S1,357809,Lachnoclostridium phytofermentans ISDg
18,0.0,1740,1049,G,572511,Blautia
19,0.0,410,410,S,1912897,Blautia sp. N6H1-15
20,0.0,273,0,S,1322,Blautia hansenii
21,0.0,273,273,S1,537007,Blautia hansenii DSM 20583
22,0.0,8,8,S,1532,Blautia coccoides
23,0.0,1523,0,G,841,Roseburia
24,0.0,1523,0,S,301301,Roseburia hominis
25,0.0,1523,1523,S1,585394,Roseburia hominis A2-183
26,0.0,613,0,F1,186928,unclassified Lachnospiraceae
27,0.0,487,0,S,39491,[Eubacterium] rectale
28,0.0,487,487,S1,515619,[Eubacterium] rectale ATCC 33656
29,0.0,126,126,S,712991,Lachnospiraceae bacterium oral taxon 500
30,0.0,441,75,G,830,Butyrivibrio
31,0.0,145,145,S,831,Butyrivibrio fibrisolvens
32,0.0,128,0,S,43305,Butyrivibrio proteoclasticus
33,0.0,128,128,S1,515622,Butyrivibrio proteoclasticus B316
34,0.0,93,93,S,185008,Butyrivibrio hungatei
35,0.0,204,0,G,207244,Anaerostipes
36,0.0,204,204,S,649756,Anaerostipes hadrus
37,0.0,69,0,G,1663717,Herbinix
38,0.0,69,69,S,1679721,Herbinix luporum
39,0.0,52,0,G,698776,Cellulosilyticum
40,0.0,52,0,S,29360,Cellulosilyticum lentocellum
41,0.0,52,52,S1,642492,Cellulosilyticum lentocellum DSM 5427
42,0.0,52,0,G,2039240,Anaerotignum
43,0.0,52,0,S,28446,Anaerotignum propionicum
44,0.0,52,52,S1,991789,Anaerotignum propionicum DSM 1682
45,0.01,4238,5,F,186806,Eubacteriaceae
46,0.01,4195,1,G,1730,Eubacterium
47,0.01,3083,0,S,39485,[Eubacterium] eligens
48,0.01,3083,3083,S1,515620,[Eubacterium] eligens ATCC 27750
49,0.0,703,204,S,1736,Eubacterium limosum
50,0.0,499,499,S1,903814,Eubacterium limosum KIST612
51,0.0,246,0,S,29322,[Eubacterium] cellulosolvens
52,0.0,246,246,S1,633697,[Eubacterium] cellulosolvens 6
53,0.0,162,162,S,39488,[Eubacterium] hallii
54,0.0,38,1,G,33951,Acetobacterium
55,0.0,26,26,S,2184575,Acetobacterium sp. KB-1
56,0.0,11,0,S,33952,Acetobacterium woodii
57,0.0,11,11,S1,931626,Acetobacterium woodii DSM 1030
58,0.01,3717,21,F,541000,Ruminococcaceae
59,0.01,2041,0,G,216851,Faecalibacterium
60,0.01,2041,2041,S,853,Faecalibacterium prausnitzii
61,0.0,1140,0,G,946234,Flavonifractor
62,0.0,1140,1140,S,292800,Flavonifractor plautii
63,0.0,245,14,G,1263,Ruminococcus
64,0.0,175,0,S,1161942,Ruminococcus champanellensis
65,0.0,175,175,S1,213810,Ruminococcus champanellensis 18P13 = JCM 17042
66,0.0,32,32,S,1160721,Ruminococcus bicirculans
67,0.0,24,0,S,1264,Ruminococcus albus
68,0.0,24,24,S1,697329,Ruminococcus albus 7 = DSM 20455
69,0.0,163,0,G,253238,Ethanoligenens
70,0.0,163,0,S,253239,Ethanoligenens harbinense
71,0.0,163,163,S1,663278,Ethanoligenens harbinense YUAN-3
72,0.0,107,0,F1,552397,unclassified Ruminococcaceae
73,0.0,74,0,F2,2305133,unclassified Ruminococcaceae (miscellaneous)
74,0.0,74,74,S,1572656,Ruminococcaceae bacterium CPB6
75,0.0,33,33,S,29343,[Clostridium] cellulosi
76,0.01,3562,12,F,31979,Clostridiaceae
77,0.01,2414,129,G,1485,Clostridium
78,0.0,624,624,S,1534,Clostridium kluyveri
79,0.0,594,65,S,1491,Clostridium botulinum
80,0.0,429,429,S1,1408284,Clostridium botulinum Prevot_594
81,0.0,96,0,S1,36826,Clostridium botulinum A
82,0.0,96,96,S2,498214,Clostridium botulinum A3 str. Loch Maree
83,0.0,2,2,S1,929506,Clostridium botulinum BKT015925
84,0.0,1,0,S1,36827,Clostridium botulinum B
85,0.0,1,1,S2,935198,Clostridium botulinum B str. Eklund 17B (NRP)
86,0.0,1,1,S1,1415774,Clostridium botulinum 202F
87,0.0,327,327,S,1042156,Clostridium sp. SY8519
88,0.0,193,138,S,1502,Clostridium perfringens
89,0.0,55,55,S1,195102,Clostridium perfringens str. 13
90,0.0,101,96,S,36745,Clostridium saccharoperbutylacetonicum
91,0.0,5,0,S1,1335640,Clostridium saccharoperbutylacetonicum N1-4
92,0.0,5,5,S2,931276,Clostridium saccharoperbutylacetonicum N1-4(HMT)
93,0.0,69,69,S,641107,Clostridium sp. DL-VIII
94,0.0,58,58,S,1548,Clostridium scatologenes
95,0.0,55,55,S,755731,Clostridium sp. BNL1100
96,0.0,52,44,S,1520,Clostridium beijerinckii
97,0.0,6,6,S1,1428454,Clostridium beijerinckii NRRL B-598
98,0.0,2,2,S1,290402,Clostridium beijerinckii NCIMB 8052
99,0.0,47,8,S,1513,Clostridium tetani
100,0.0,34,34,S1,1231072,Clostridium tetani 12124569
101,0.0,5,5,S1,212717,Clostridium tetani E88
102,0.0,35,32,S,1501,Clostridium pasteurianum
103,0.0,3,3,S1,86416,Clostridium pasteurianum BC1
104,0.0,18,18,S,1494,Clostridium cochlearium
105,0.0,16,16,S,1497,Clostridium formicaceticum
106,0.0,15,0,S,238834,Clostridium estertheticum
107,0.0,15,15,S1,1552,Clostridium estertheticum subsp. estertheticum
108,0.0,14,14,S,1488,Clostridium acetobutylicum
109,0.0,12,0,S,1493,Clostridium cellulovorans
110,0.0,12,12,S1,573061,Clostridium cellulovorans 743B
111,0.0,9,9,S,394958,Clostridium taeniosporum
112,0.0,7,7,S,169679,Clostridium saccharobutylicum
113,0.0,7,7,S,1216932,Clostridium bornimense
114,0.0,7,7,S,1492,Clostridium butyricum
115,0.0,6,6,S,29341,Clostridium argentinense
116,0.0,5,5,S,84022,Clostridium aceticum
117,0.0,5,0,S,217159,Clostridium carboxidivorans
118,0.0,5,5,S1,536227,Clostridium carboxidivorans P7
119,0.0,3,3,S,46867,Clostridium chauvoei
120,0.0,2,0,S,1538,Clostridium ljungdahlii
121,0.0,2,2,S1,748727,Clostridium ljungdahlii DSM 13528
122,0.0,2,2,S,1519,Clostridium tyrobutyricum
123,0.0,1,1,S,1561,Clostridium baratii
124,0.0,1,0,S,1542,Clostridium novyi
125,0.0,1,1,S1,386415,Clostridium novyi NT
126,0.0,1052,0,G,1981033,Mordavella
127,0.0,1052,1052,S,2086584,Mordavella sp. Marseille-P3756
128,0.0,62,0,G,390805,Geosporobacter
129,0.0,62,62,S,1424294,Geosporobacter ferrireducens
130,0.0,18,1,G,114627,Alkaliphilus
131,0.0,10,0,S,208226,Alkaliphilus metalliredigens
132,0.0,10,10,S1,293826,Alkaliphilus metalliredigens QYMF
133,0.0,7,0,S,461876,Alkaliphilus oremlandii
134,0.0,7,7,S1,350688,Alkaliphilus oremlandii OhILAs
135,0.0,2,2,G,49082,Candidatus Arthromitus
136,0.0,2,0,F1,189971,unclassified Clostridiaceae
137,0.0,2,2,S,2082193,Clostridiaceae bacterium 14S0207
138,0.01,2969,25,O1,186813,unclassified Clostridiales
139,0.01,2538,0,G,1392389,Intestinimonas
140,0.01,2538,2538,S,1297617,Intestinimonas butyriciproducens
141,0.0,406,0,G,2039302,Monoglobus
142,0.0,406,406,S,1981510,Monoglobus pectinilyticus
143,0.0,989,0,F,186804,Peptostreptococcaceae
144,0.0,896,0,G,1870884,Clostridioides
145,0.0,896,726,S,1496,Clostridioides difficile
146,0.0,149,149,S1,479831,Clostridioides difficile QCD-63q42
147,0.0,13,13,S1,272563,Clostridioides difficile 630
148,0.0,4,4,S1,499175,Clostridioides difficile ATCC 43255
149,0.0,4,4,S1,699037,Clostridioides difficile M68
150,0.0,68,0,G,44259,Filifactor
151,0.0,68,0,S,143361,Filifactor alocis
152,0.0,68,68,S1,546269,Filifactor alocis ATCC 35896
153,0.0,16,0,G,1481960,Peptoclostridium
154,0.0,16,0,S,1731,Peptoclostridium acidaminophilum
155,0.0,16,16,S1,1286171,Peptoclostridium acidaminophilum DSM 3953
156,0.0,3,0,G,186831,Acetoanaerobium
157,0.0,3,3,S,1511,Acetoanaerobium sticklandii
158,0.0,3,0,F1,200630,unclassified Peptostreptococcaceae
159,0.0,3,3,S,2081703,Peptostreptococcaceae bacterium oral taxon 929
160,0.0,3,0,G,1849828,Paeniclostridium
161,0.0,3,3,S,1505,Paeniclostridium sordellii
162,0.0,519,4,F,186807,Peptococcaceae
163,0.0,264,1,G,36853,Desulfitobacterium
164,0.0,232,78,S,49338,Desulfitobacterium hafniense
165,0.0,136,136,S1,272564,Desulfitobacterium hafniense DCB-2
166,0.0,18,18,S1,138119,Desulfitobacterium hafniense Y51
167,0.0,25,0,S,36854,Desulfitobacterium dehalogenans
168,0.0,25,25,S1,756499,Desulfitobacterium dehalogenans ATCC 51507
169,0.0,4,0,S,142877,Desulfitobacterium metallireducens
170,0.0,4,4,S1,871968,Desulfitobacterium metallireducens DSM 15288
171,0.0,2,0,S,233055,Desulfitobacterium dichloroeliminans
172,0.0,2,2,S1,871963,Desulfitobacterium dichloroeliminans LMG P-21439
173,0.0,62,1,G,1562,Desulfotomaculum
174,0.0,32,0,S,1564,Desulfotomaculum ruminis
175,0.0,32,32,S1,696281,Desulfotomaculum ruminis DSM 2154
176,0.0,15,0,S,59610,Desulfotomaculum reducens
177,0.0,15,15,S1,349161,Desulfotomaculum reducens MI-1
178,0.0,7,0,S,1565,Desulfotomaculum nigrificans
179,0.0,7,7,S1,868595,Desulfotomaculum nigrificans CO-1-SRB
180,0.0,7,7,S,1833852,Desulfotomaculum ferrireducens
181,0.0,60,3,G,79206,Desulfosporosinus
182,0.0,24,0,S,339862,Desulfosporosinus youngiae
183,0.0,24,24,S1,768710,Desulfosporosinus youngiae DSM 17734
184,0.0,22,0,S,1563,Desulfosporosinus orientis
185,0.0,22,22,S1,768706,Desulfosporosinus orientis DSM 765
186,0.0,7,0,S,885581,Desulfosporosinus acidiphilus
187,0.0,7,7,S1,646529,Desulfosporosinus acidiphilus SJ4
188,0.0,4,0,S,79209,Desulfosporosinus meridiei
189,0.0,4,4,S1,768704,Desulfosporosinus meridiei DSM 13257
190,0.0,42,0,G,51514,Dehalobacterium
191,0.0,42,42,S,51515,Dehalobacterium formicoaceticum
192,0.0,34,32,G,56112,Dehalobacter
193,0.0,1,0,S,55583,Dehalobacter restrictus
194,0.0,1,1,S1,871738,Dehalobacter restrictus DSM 9455
195,0.0,1,1,S,1147129,Dehalobacter sp. DCA
196,0.0,25,0,G,2282740,Desulfallas
197,0.0,25,0,S,102134,Desulfallas gibsoniae
198,0.0,25,25,S1,767817,Desulfallas gibsoniae DSM 7213
199,0.0,13,0,G,51196,Syntrophobotulus
200,0.0,13,0,S,51197,Syntrophobotulus glycolicus
201,0.0,13,13,S1,645991,Syntrophobotulus glycolicus DSM 8271
202,0.0,6,0,G,2282742,Desulfofarcimen
203,0.0,6,0,S,58138,Desulfofarcimen acetoxidans
204,0.0,6,6,S1,485916,Desulfofarcimen acetoxidans DSM 771
205,0.0,5,0,G,471826,Candidatus Desulforudis
