,28.85,13181365,13181365.1,U,0,unclassified
0,71.15,32512231,1066,R,1,root
1,71.15,32510377,1282,R1,131567,cellular organisms
2,71.13,32500953,25125,D,2,Bacteria
3,52.64,24053072,56,D1,1783270,FCB group
4,52.64,24052249,112,D2,68336,Bacteroidetes/Chlorobi group
5,52.64,24050831,6423,P,976,Bacteroidetes
6,52.53,24001281,185,C,200643,Bacteroidia
7,52.52,23999540,33395,O,171549,Bacteroidales
8,52.27,23885172,0,F,815,Bacteroidaceae
9,52.27,23885172,110219,G,816,Bacteroides
10,49.54,22635887,22635887,S,246787,Bacteroides cellulosilyticus
11,1.27,581731,581345,S,28116,Bacteroides ovatus
12,0.0,386,386,S1,1379690,Bacteroides ovatus V975
13,0.24,110117,60493,S,817,Bacteroides fragilis
14,0.07,33529,33529,S1,272559,Bacteroides fragilis NCTC 9343
15,0.03,11680,11680,S1,295405,Bacteroides fragilis YCH46
16,0.01,4415,4415,S1,862962,Bacteroides fragilis 638R
17,0.22,101594,0,S,357276,Bacteroides dorei
18,0.22,101594,101594,S1,997877,Bacteroides dorei CL03T12C01
19,0.19,85402,73127,S,818,Bacteroides thetaiotaomicron
20,0.03,12275,12275,S1,226186,Bacteroides thetaiotaomicron VPI-5482
21,0.15,68533,68533,S,1796613,Bacteroides caecimuris
22,0.15,68084,0,S,290053,Bacteroides helcogenes
23,0.15,68084,68084,S1,693979,Bacteroides helcogenes P 36-108
24,0.14,64475,27755,S,821,Bacteroides vulgatus
25,0.08,36720,36720,S1,435590,Bacteroides vulgatus ATCC 8482
26,0.07,31165,31165,S,47678,Bacteroides caccae
27,0.02,10514,0,S,376805,Bacteroides salanitronis
28,0.02,10514,10514,S1,667015,Bacteroides salanitronis DSM 18170
29,0.02,9656,9656,S,28113,Bacteroides heparinolyticus
30,0.01,6853,6853,S,28119,Bacteroides zoogleoformans
31,0.0,942,0,S,151276,Bacteroides coprosuis
32,0.0,942,942,S1,679937,Bacteroides coprosuis DSM 18011
33,0.05,21635,3,F,2005525,Tannerellaceae
34,0.05,21326,8894,G,375288,Parabacteroides
35,0.01,6548,0,S,823,Parabacteroides distasonis
36,0.01,6548,6548,S1,435591,Parabacteroides distasonis ATCC 8503
37,0.01,5884,5884,S,2025876,Parabacteroides sp. CT06
38,0.0,306,1,G,195950,Tannerella
39,0.0,210,150,S,28112,Tannerella forsythia
40,0.0,33,33,S1,1307833,Tannerella forsythia KS16
41,0.0,24,24,S1,203275,Tannerella forsythia 92A2
42,0.0,3,3,S1,1307832,Tannerella forsythia 3313
43,0.0,95,95,S,712710,Tannerella sp. oral taxon HOT-286
44,0.04,20038,2,F,171550,Rikenellaceae
45,0.04,19085,1945,G,239759,Alistipes
46,0.03,14867,0,S,214856,Alistipes finegoldii
47,0.03,14867,14867,S1,679935,Alistipes finegoldii DSM 17242
48,0.0,2273,0,S,328814,Alistipes shahii
49,0.0,2273,2273,S1,717959,Alistipes shahii WAL 8301
50,0.0,951,0,G,1611681,Mucinivorans
51,0.0,951,951,S,1433126,Mucinivorans hirudinis
52,0.04,18033,0,F,1853231,Odoribacteraceae
53,0.04,18033,0,G,283168,Odoribacter
54,0.04,18033,18030,S,28118,Odoribacter splanchnicus
