,55.34,24259686,24259686.1,U,0,unclassified
0,44.66,19575450,1279,R,1,root
1,44.65,19571723,4149,R1,131567,cellular organisms
2,44.58,19541944,99425,D,2,Bacteria
3,28.93,12682556,116,D1,1783270,FCB group
4,28.93,12680708,892,D2,68336,Bacteroidetes/Chlorobi group
5,28.91,12673234,34072,P,976,Bacteroidetes
6,28.54,12512251,2815,C,200643,Bacteroidia
7,28.52,12503616,276975,O,171549,Bacteroidales
8,9.72,4258919,0,F,1853231,Odoribacteraceae
9,9.72,4258919,0,G,283168,Odoribacter
10,9.72,4258919,4256060,S,28118,Odoribacter splanchnicus
11,0.01,2859,2859,S1,709991,Odoribacter splanchnicus DSM 20712
12,8.7,3813027,0,F,815,Bacteroidaceae
13,8.7,3813027,257830,G,816,Bacteroides
14,1.87,819105,0,S,357276,Bacteroides dorei
15,1.87,819105,819105,S1,997877,Bacteroides dorei CL03T12C01
16,1.84,804412,804412,S,47678,Bacteroides caccae
17,1.39,610868,536157,S,817,Bacteroides fragilis
18,0.08,33457,33457,S1,862962,Bacteroides fragilis 638R
19,0.06,24134,24134,S1,272559,Bacteroides fragilis NCTC 9343
20,0.04,17120,17120,S1,295405,Bacteroides fragilis YCH46
21,1.28,562560,561958,S,28116,Bacteroides ovatus
22,0.0,602,602,S1,1379690,Bacteroides ovatus V975
23,0.52,227818,110375,S,821,Bacteroides vulgatus
24,0.27,117443,117443,S1,435590,Bacteroides vulgatus ATCC 8482
25,0.44,191853,191853,S,1796613,Bacteroides caecimuris
26,0.17,75264,57489,S,818,Bacteroides thetaiotaomicron
27,0.04,17775,17775,S1,226186,Bacteroides thetaiotaomicron VPI-5482
28,0.16,71478,71478,S,246787,Bacteroides cellulosilyticus
29,0.14,63382,0,S,376805,Bacteroides salanitronis
30,0.14,63382,63382,S1,667015,Bacteroides salanitronis DSM 18170
31,0.13,57050,0,S,290053,Bacteroides helcogenes
32,0.13,57050,57050,S1,693979,Bacteroides helcogenes P 36-108
33,0.09,38553,38553,S,28113,Bacteroides heparinolyticus
34,0.06,27821,27821,S,28119,Bacteroides zoogleoformans
35,0.01,5033,0,S,151276,Bacteroides coprosuis
36,0.01,5033,5033,S1,679937,Bacteroides coprosuis DSM 18011
37,5.03,2206209,970,F,2005525,Tannerellaceae
38,4.98,2183767,1169744,G,375288,Parabacteroides
39,1.78,780702,0,S,823,Parabacteroides distasonis
40,1.78,780702,780702,S1,435591,Parabacteroides distasonis ATCC 8503
41,0.53,233321,233321,S,2025876,Parabacteroides sp. CT06
42,0.05,21472,841,G,195950,Tannerella
43,0.03,12825,8905,S,28112,Tannerella forsythia
44,0.0,1458,1458,S1,1307833,Tannerella forsythia KS16
45,0.0,1452,1452,S1,1307832,Tannerella forsythia 3313
46,0.0,1010,1010,S1,203275,Tannerella forsythia 92A2
47,0.02,7806,7806,S,712710,Tannerella sp. oral taxon HOT-286
48,3.83,1678436,628,F,171550,Rikenellaceae
49,3.82,1673555,80321,G,239759,Alistipes
50,2.94,1286911,0,S,214856,Alistipes finegoldii
51,2.94,1286911,1286911,S1,679935,Alistipes finegoldii DSM 17242
52,0.7,306323,0,S,328814,Alistipes shahii
53,0.7,306323,306323,S1,717959,Alistipes shahii WAL 8301
54,0.01,4253,0,G,1611681,Mucinivorans
55,0.01,4253,4253,S,1433126,Mucinivorans hirudinis
56,0.45,199443,0,F,171552,Prevotellaceae
57,0.45,199443,21575,G,838,Prevotella
58,0.14,62228,59341,S,28131,Prevotella intermedia
59,0.01,2887,2887,S1,1122984,Prevotella intermedia ATCC 25611 = DSM 20706
60,0.05,22312,0,S,52227,Prevotella dentalis
61,0.05,22312,22312,S1,908937,Prevotella dentalis DSM 3688
62,0.04,18240,18240,S,76123,Prevotella enoeca
63,0.03,14122,14122,S,1177574,Prevotella jejuni
64,0.03,13542,0,S,589436,Prevotella fusca
65,0.03,13542,13542,S1,1236517,Prevotella fusca JCM 17724
66,0.03,12299,0,S,28129,Prevotella denticola
67,0.03,12299,12299,S1,767031,Prevotella denticola F0289
68,0.02,9205,0,S,589437,Prevotella scopos
69,0.02,9205,9205,S1,1236518,Prevotella scopos JCM 17725
70,0.02,8685,8685,S,28132,Prevotella melaninogenica
71,0.02,8642,0,S,652716,Prevotella sp. oral taxon 299
72,0.02,8642,8642,S1,575614,Prevotella sp. oral taxon 299 str. F0039
73,0.02,8593,0,S,839,Prevotella ruminicola
74,0.02,8593,8593,S1,264731,Prevotella ruminicola 23
75,0.06,26975,104,F,171551,Porphyromonadaceae
76,0.04,18332,738,G,836,Porphyromonas
77,0.02,10075,9906,S,837,Porphyromonas gingivalis
78,0.0,169,169,S1,1403336,Porphyromonas gingivalis AJW4
