,46.71,19699638,19699638.1,U,0,unclassified
0,53.29,22476980,854,R,1,root
1,53.29,22475380,2116,R1,131567,cellular organisms
2,53.25,22458061,41014,D,2,Bacteria
3,30.4,12821255,129,D1,1783270,FCB group
4,30.4,12820368,325,D2,68336,Bacteroidetes/Chlorobi group
5,30.39,12817962,18214,P,976,Bacteroidetes
6,30.2,12737599,423,C,200643,Bacteroidia
7,30.19,12734061,100512,O,171549,Bacteroidales
8,29.68,12517434,0,F,815,Bacteroidaceae
9,29.68,12517434,234960,G,816,Bacteroides
10,20.16,8504803,8504803,S,246787,Bacteroides cellulosilyticus
11,5.65,2383757,2382297,S,28116,Bacteroides ovatus
12,0.0,1460,1460,S1,1379690,Bacteroides ovatus V975
13,0.87,366021,366021,S,47678,Bacteroides caccae
14,0.57,241366,129738,S,817,Bacteroides fragilis
15,0.23,97178,97178,S1,272559,Bacteroides fragilis NCTC 9343
16,0.02,7513,7513,S1,295405,Bacteroides fragilis YCH46
17,0.02,6937,6937,S1,862962,Bacteroides fragilis 638R
18,0.56,235197,235197,S,1796613,Bacteroides caecimuris
19,0.42,176119,145012,S,818,Bacteroides thetaiotaomicron
20,0.07,31107,31107,S1,226186,Bacteroides thetaiotaomicron VPI-5482
21,0.4,167140,0,S,357276,Bacteroides dorei
22,0.4,167140,167140,S1,997877,Bacteroides dorei CL03T12C01
23,0.18,76575,52448,S,821,Bacteroides vulgatus
24,0.06,24127,24127,S1,435590,Bacteroides vulgatus ATCC 8482
25,0.16,66242,0,S,290053,Bacteroides helcogenes
26,0.16,66242,66242,S1,693979,Bacteroides helcogenes P 36-108
27,0.05,21948,0,S,376805,Bacteroides salanitronis
28,0.05,21948,21948,S1,667015,Bacteroides salanitronis DSM 18170
29,0.05,21740,21740,S,28113,Bacteroides heparinolyticus
30,0.04,18661,18661,S,28119,Bacteroides zoogleoformans
31,0.01,2905,0,S,151276,Bacteroides coprosuis
32,0.01,2905,2905,S1,679937,Bacteroides coprosuis DSM 18011
33,0.14,59382,11,F,2005525,Tannerellaceae
34,0.14,58352,31304,G,375288,Parabacteroides
35,0.04,15987,15987,S,2025876,Parabacteroides sp. CT06
36,0.03,11061,0,S,823,Parabacteroides distasonis
37,0.03,11061,11061,S1,435591,Parabacteroides distasonis ATCC 8503
38,0.0,1019,11,G,195950,Tannerella
39,0.0,758,544,S,28112,Tannerella forsythia
40,0.0,108,108,S1,203275,Tannerella forsythia 92A2
41,0.0,99,99,S1,1307833,Tannerella forsythia KS16
42,0.0,7,7,S1,1307832,Tannerella forsythia 3313
43,0.0,250,250,S,712710,Tannerella sp. oral taxon HOT-286
44,0.05,20511,0,F,171552,Prevotellaceae
45,0.05,20511,1487,G,838,Prevotella
46,0.01,6246,0,S,52227,Prevotella dentalis
47,0.01,6246,6246,S1,908937,Prevotella dentalis DSM 3688
48,0.01,3118,3118,S,28132,Prevotella melaninogenica
49,0.01,2674,2645,S,28131,Prevotella intermedia
50,0.0,29,29,S1,1122984,Prevotella intermedia ATCC 25611 = DSM 20706
51,0.01,2171,0,S,839,Prevotella ruminicola
52,0.01,2171,2171,S1,264731,Prevotella ruminicola 23
53,0.0,1319,1319,S,76123,Prevotella enoeca
54,0.0,932,0,S,28129,Prevotella denticola
55,0.0,932,932,S1,767031,Prevotella denticola F0289
56,0.0,785,0,S,589436,Prevotella fusca
57,0.0,785,785,S1,1236517,Prevotella fusca JCM 17724
58,0.0,640,0,S,652716,Prevotella sp. oral taxon 299
59,0.0,640,640,S1,575614,Prevotella sp. oral taxon 299 str. F0039
60,0.0,575,0,S,589437,Prevotella scopos
61,0.0,575,575,S1,1236518,Prevotella scopos JCM 17725
62,0.0,564,564,S,1177574,Prevotella jejuni
63,0.04,15224,0,F,171550,Rikenellaceae
64,0.03,13313,3553,G,239759,Alistipes
65,0.02,6638,0,S,328814,Alistipes shahii
66,0.02,6638,6638,S1,717959,Alistipes shahii WAL 8301
67,0.01,3122,0,S,214856,Alistipes finegoldii
68,0.01,3122,3122,S1,679935,Alistipes finegoldii DSM 17242
69,0.0,1911,0,G,1611681,Mucinivorans
70,0.0,1911,1911,S,1433126,Mucinivorans hirudinis
71,0.02,7627,0,F,1853231,Odoribacteraceae
72,0.02,7627,0,G,283168,Odoribacter
73,0.02,7627,7627,S,28118,Odoribacter splanchnicus
74,0.01,5755,1,F,171551,Porphyromonadaceae
75,0.01,3180,3,G,836,Porphyromonas
76,0.0,1557,0,S,28123,Porphyromonas asaccharolytica
77,0.0,1557,1557,S1,879243,Porphyromonas asaccharolytica DSM 20707
78,0.0,1261,1252,S,837,Porphyromonas gingivalis
79,0.0,9,9,S1,1403336,Porphyromonas gingivalis AJW4
80,0.0,359,359,S,393921,Porphyromonas crevioricanis
81,0.0,1396,0,G,1784836,Fermentimonas
82,0.0,1396,1396,S,1562970,Fermentimonas caenicola
83,0.0,1178,0,G,307628,Petrimonas
84,0.0,1178,1178,S,1642646,Petrimonas mucosa
85,0.0,2009,0,F,2005473,Muribaculaceae
86,0.0,2009,0,G,1918540,Muribaculum
87,0.0,2009,2009,S,1796646,Muribaculum intestinale
