Compound Name,ModelSEED ID
(R)-Pantothenate,cpd00644
L-Ascorbate,cpd00059
D-Sorbitol,cpd00588
D-Glucose,cpd00027
L-Alanine,cpd00035
L-Arginine,cpd00051
L-Aspartate,cpd00041
L-Cysteine,cpd00084
L-Glutamate,cpd00053
L-Histidine,cpd00119
L-Isoleucine,cpd00322
L-Leucine,cpd00107
L-Lysine,cpd00039
L-Methionine,cpd00060
L-Phenylalanine,cpd00066
L-Proline,cpd00129
L-Serine,cpd00054
L-Threonine,cpd00161
L-Tryptophan,cpd00065
L-Tyrosine,cpd00069
L-Valine,cpd00156
Linoleic acid (all cis C18:2) n-6,cpd30347 
"Alpha-Linolenic acid, C18:3, n-3",cpd30350
"Stearidonic acid C18:4, n-3",cpd15016
11-cis-eicosenoate,cpd16341
"Cis,cis-11,14-eicosadienoyl-CoA",cpd25212
"Behenate, Docosanoate",cpd05196
(13Z)-13-docosenoic acid,cpd05231
"Cervonic acid, C22:6 n-3",cpd03852
"Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",cpd11657
Calomide,cpd00166
Vitamin K1,cpd01401
Mn2+,cpd00030
Zn2+,cpd00034
D-Mannitol,cpd00314
Cellulose,cpd11746
