ASV,Fumarate.7,Succinate.7,Glycine.7,L-Proline.7,D-Fructose.7,L-Glutamate.7,L-Leucine.7,L-Arabinose.7,L-Methionine.7,Citrate.7,D-Glucose.7,Sucrose.7,L-Isoleucine.7,Dulcose.7,D-Serine.7,L-Aspartate.7,N-Acetyl-D-glucosamine.7,Galactose.7,L-Malate.7,Butyrate.7,2-Oxoglutarate.7,D-Ribose.7,L-Valine.7,CELB.7,L-Lysine.7,Ornithine.7,Propionate.7,Pyruvate.7,Acetate.7,Thyminose.7,L-Alanine.7,L-Asparagine.7,Decanoate.7,L-Histidine.7,Melibiose.7,L-Cysteine.7,Myristic acid.7,Niacin.7,Palmitate.7,L-Phenylalanine.7,Melitose.7,L-Threonine.7,L-Tyrosine.7,L-Inositol.7,5-Oxoproline.7,D-Allose.7,L-Fucose.7,L-Rhamnose.7,trans-4-Hydroxy-L-proline.7
Lactobacillus.3,0.0,0.0,0.3116302502333903,0.0,0.1457058107198054,0.0,-0.0607392161251388,0.0,0.0,0.0,0.221270857761139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12737536144843,-0.0361704599172236,-0.5113500539953271,0.0,0.0,-0.0033974091607193,0.0,0.0,0.0,-0.0143252868219667,0.0,-0.0135002488673402,0.0,-0.5112334812840584,-0.0363389370307262,-0.0307993666672284,-0.1292746421524878,-0.0326616539540841,-0.020592155152456,0.0,0.0,0.0,0.0,0.0,0.0
Merdibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nosocomiicoccus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turicibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muribaculum.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloiococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderiales.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.2,1.91055315145398,0.0,0.0,0.0,-2.14172767208024,0.0,0.0,1.05384502033158,0.0,-2.098114403193808,0.0,0.0,0.0,-2.953118390103068,0.0,0.0,0.0,1.265575991644532,0.1385022532592965,-1.1611941350068562,0.0,0.1006434527863444,0.0,0.0,-0.2819176116229792,-1.870914027435802,-1.955710306681192,-1.5591034176028271,0.0,0.0,-1.1601711336645533,-0.1265405591647801,0.0,-0.0699119111407625,0.0,-0.1092672265748608,0.0,-1.241200075068709,0.0,0.1408238965798623,0.0,0.0,0.8860125560668031,0.2540829652755532,0.0,0.0,0.0,0.0,0.5972980481170946
Enterococcus.1,0.0,0.0,0.0,0.0,2.3014043883191,0.0,-0.0906336385711004,0.0,0.0350934222730482,0.0,0.0,0.0,0.0,-2.113925992471797,0.0,0.0,1.761809238202093,0.0,0.0,-0.0510555222925336,0.0,0.0,0.0,0.0,-0.0844346397065676,-0.0961196640516934,-0.0664618306109137,0.0,0.0,0.0,0.0,-0.0386903032579461,0.0,-0.5523636569871772,0.0,0.0,,-0.0123399135662788,-0.0542241124435204,-0.045958095030157,0.0,0.0,-0.0289642877980757,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter.1,-3.268033535975176,0.0,-1.1274565813198807,0.0,0.0196321474822088,0.6475392905314568,0.0,0.0,0.0,-0.1578395427579053,0.0,0.0,-0.1847194561948274,0.0,0.0,0.0,0.0,0.0,-2.705682763253213,0.0,-1.2617106063571542,0.0,0.0,0.0,-0.2180574059316471,-0.0025328919799345,0.0,0.0,0.0,0.0,0.0,0.0,0.4210905981237283,0.0,0.0,0.0,0.299091490903788,,-0.5980707894334363,0.0843938809710754,0.0,0.0,-0.0921896365171238,0.0,0.0,0.0,0.0,,
Enterococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkermansia.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruminococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetivibrio.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blautia.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillibacter.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murimonas.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactococcus.1,0.0,-0.1053310227329507,0.0,0.0,-3.5277222448396794,-4.630023552737302,0.0,0.0,0.4838392048923213,2.9563975088212486,0.0,-0.3469047264661778,0.2138087858706519,0.0,0.622692874943219,0.0,-0.9986667610670408,0.0,0.0,-0.3813247197039981,-1.2718115849302785,0.0,0.0,0.0,-3.549576074534998,0.0,0.0,0.0,0.0,0.0,0.0,-0.2889710727189362,0.0,0.0,1.6123966060403203,0.0,0.0,0.0,0.0,-0.3432529316827143,-1.6123966060403203,-0.3640077601100412,-0.216329173223292,0.0,0.0,0.0,0.0,0.7792712510424287,0.0
Paraclostridium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium.1,1.181099179780615,-1.0747435180823963,0.0,0.0,0.0,0.1945177381773719,0.3996228586926721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4523840890955233,0.0,0.0,0.0,0.0,0.0,0.4585548381808859,0.0,0.0233573395621579,0.0,0.0,-0.0062937753669661,-0.1464527118056056,0.0,0.9066980796499357,0.0,0.0,0.0621568206759501,-0.0076804542829643,0.0,-0.0003139189020886,-0.0157344384174152,-0.0146299581734094,-0.5145409097714735,-0.0426016112714245,-0.0114257022045935,0.0,0.5944161372216308,0.0,0.0,,0.0
Stenotrophomonas.1,0.2897380744459212,0.0,-0.0285443009777313,0.0,-0.0268797600049066,0.4704785010307374,0.0,0.0,0.0,-0.0135036518807604,0.3048361759711535,0.0,0.0,0.0,0.0,0.1278513309246756,0.0028747919410168,0.2773100333231511,0.0,-0.939947814284045,0.0,0.0,0.0,0.0,-0.0123443100023624,-0.0106688732313709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4417632203568041,0.0,-0.0035081817809864,0.0,-0.0652343926429411,-0.0084645350076668,-0.0066824891900464,-0.2773100333231511,0.0,-0.0052188892521688,0.0,0.0,0.0,0.0,0.0,
