ASV,cpd35610,cpd01242,cpd01293,cpd00035,cpd01055,cpd00224,cpd00132,cpd00041,cpd00158,cpd00526,cpd00137,cpd00084,cpd01107,cpd02733,cpd01741,cpd01171,cpd00082,cpd00751,cpd00106,cpd00108,cpd00027,cpd00023,cpd00033,cpd01113,cpd00119,cpd00359,cpd00322,cpd00107,cpd01122,cpd02475,cpd00039,cpd00130,cpd03198,cpd00060,cpd03847,cpd00122,cpd00218,cpd03846,cpd00064,cpd00214,cpd00066,cpd07053,cpd00129,cpd00020,cpd00382,cpd00396,cpd00105,cpd00550,cpd00036,cpd00076,cpd00161,cpd00069,cpd04945,cpd00597,cpd00156,cpd00024,cpd00536,cpd00392,cpd00121,cpd00851,cpd00029,cpd00211,cpd00141
Name,3alpha-hydroxy-7-oxo-5beta-cholan-24-oate,Thyminose,5-Oxoproline,L-Alanine,D-Allose,L-Arabinose,L-Asparagine,L-Aspartate,CELB,Cholate,Citrate,L-Cysteine,Decanoate,Deoxycholate,ddca,Dulcose,D-Fructose,L-Fucose,Fumarate,Galactose,D-Glucose,L-Glutamate,Glycine,Hexanoate,L-Histidine,indol,L-Isoleucine,L-Leucine,Linoleate,Lithocholate,L-Lysine,L-Malate,Melibiose,L-Methionine,Myristic acid,N-Acetyl-D-glucosamine,Niacin,octanoate,Ornithine,Palmitate,L-Phenylalanine,Picolinic acid,L-Proline,Pyruvate,Melitose,L-Rhamnose,D-Ribose,D-Serine,Succinate,Sucrose,L-Threonine,L-Tyrosine,Ursodiol,Valerate,L-Valine,2-Oxoglutarate,Oleate,Phycite,L-Inositol,trans-4-Hydroxy-L-proline,Acetate,Butyrate,Propionate
Helicobacter.1,0.0,2.7313365575479125,0.0,1.415894638698438,0.0,3.173680392712083,2.0866655063606347,1.9938108177590315,6.22838264539288,0.0,0.0,1.2857454309104548,0.0,0.0,0.0,0.0,3.910844916874581,0.0,2.5717269968196126,0.0,3.621152700809807,0.0,0.886319938136017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571726996819634,4.200537132939374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.467686087646062,6.518074861457625,0.0,3.464843731492995,0.0,1.928901348644997,6.228382645392848,1.9192278129779738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corynebacterium.1,0.0,2.638058107249625,0.0,1.234835709776422,0.0,0.0,1.5450784730072689,2.3574136277549846,0.0,0.0,0.0,1.3222684165381609,0.0,0.0,0.0,0.0,3.7292795519912905,0.0,2.3574136277549953,3.7714407905720924,3.7714407905720924,0.0,0.7522094703586153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.357413627754991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4078255927945573,3.771440790572085,0.0,2.0857210432709343,0.0,1.7961246687657064,0.0,0.4934022759455879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bilophila.1,0.0,0.0,0.0,1.6105304763902344,0.0,0.0,1.794576020013598,2.577840875454182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5526572046513598,0.0,3.9298993005757814,2.4877055253783156,0.8748365616709002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.808953122352068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2589570150224834,1.395475665215993,0.0,0.0,0.0,0.0,1.4699811021672597,0.0,0.0,0.0,0.0,0.0,0.0,2.8376726216630845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coprococcus.1,0.0,3.0120559956922395,0.0,1.2402583511673948,0.0,3.6026552105338787,1.3348273434854383,1.7772362865584406,6.549633944079241,0.0,2.9577799809494767,0.5579457336187127,0.0,0.0,0.0,0.0,4.101172656572977,2.4214567808506247,2.1190124955119867,1.6527113690667317,4.101172656572986,0.0,1.0690036654784465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1310858008351157,5.019345639387834,0.0,0.0,4.3989043447121725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8282438371813534,7.773864587832397,0.0,3.6026552105338703,1.828243837181349,0.0,5.325403300326124,2.316724260871562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6496591363258516,0.0,0.0
Erysipelotrichaceae.1,0.0,0.0,0.0,0.25265540945471054,0.0,0.0,0.0,0.3471819925722293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1004979769760856,0.0,1.9011284048938926,0.0,3.1474667922525135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1296294150974955,0.0,0.0,0.0,3.820919538681842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2476332316371057,0.0,0.0,2.6785095085835615,0.0,1.0220232590621088,6.0266463943130395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium.1,0.0,2.8779073875084586,0.0,1.8155142270536222,0.0,3.288077964774658,2.1096698058194554,2.961423433216323,8.548660860431534,0.0,4.2234679938282955,0.9140455042242462,0.6328699454210522,0.0,1.1561933592467593,3.8371076805997464,4.802993291773526,0.0,2.9614234332163325,2.877907387508492,4.802993291773423,2.7962828064936724,1.2304436848795297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96142343321633,7.130972492200783,0.0,1.486618323793425,5.429746450323833,0.0,0.0,0.0,1.5280364831096973,0.0,0.0,0.0,2.010921824877844,10.816962249600774,3.161445061154592,4.18279305723035,2.010921824877856,2.3198094648492704,8.548660860431456,2.908321436987995,0.0,0.0,0.0,0.0,3.725767994096635,0.0,0.0,0.0,0.0,1.01611950868386,0.0,0.0
Kandleria.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finegoldia.1,0.0,2.264212410920355,0.0,0.0,0.0,0.0,1.3787215501961847,2.11930273233047,6.8683359636189465,0.0,1.859298404084822,0.0,0.0,0.0,0.0,0.0,3.396318616380552,0.0,2.4056949934562257,0.0,3.4329761938285146,0.0,0.37644414193701053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119302732330472,3.42096385247973,0.0,0.0,3.5492499969477307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0611448354823407,0.0,0.0,2.8608134948570916,0.0,0.9706652399498374,0.0,1.3665494879225382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium.1,0.0,2.676756055828319,0.0,1.6349865522261395,0.0,2.6348091508302356,2.3179653800676507,2.8349766823003746,4.974601060833917,0.0,3.4811222419959438,1.4196247465305236,0.0,0.0,0.0,0.0,3.501960234889068,0.0,2.834976682300389,1.617508320393844,3.143459566048415,1.75327462324541,1.047046572524409,0.0,0.8018729076498408,0.0,0.46086119577763296,0.0,0.0,0.0,0.0,2.8349766823003657,3.7538400643102823,0.38120175343535695,0.5001231607236392,3.448649815179346,0.0,0.0,0.6535819664995867,0.5773851372046931,0.0,0.0,0.6519033862814458,1.6016889795798932,5.5849815590957546,0.0,1.7192384034374855,0.0,2.2349816172632693,4.974601060833912,0.0,0.3306191952840914,0.0,0.0,0.0,2.1483787636950806,0.0,0.0,0.0,0.0,0.506517027730394,0.0,0.0
