ASV,Fumarate.9,Galactose.9,Dulcose.9,D-Glucose.9,L-Glutamate.9,Glycine.9,Palmitate.9,L-Histidine.9,L-Isoleucine.9,L-Inositol.9,L-Leucine.9,L-Lysine.9,L-Malate.9,Melibiose.9,L-Methionine.9,Niacin.9,Ornithine.9,L-Phenylalanine.9,Propionate.9,L-Proline.9,Pyruvate.9,Melitose.9,D-Ribose.9,L-Rhamnose.9,D-Serine.9,Succinate.9,Sucrose.9,L-Threonine.9,Myristic acid.9,L-Tyrosine.9,L-Valine.9,D-Fructose.10,L-Leucine.10,L-Methionine.10,Sucrose.10,Dulcose.10,N-Acetyl-D-glucosamine.10,L-Alanine.10,D-Glucose.10,L-Isoleucine.10,L-Valine.10,CELB.10,Ornithine.10,Pyruvate.10,Acetate.10,L-Cysteine.10,Niacin.10,Propionate.10,Thyminose.10,L-Arabinose.10,L-Aspartate.10,L-Asparagine.10,Citrate.10,L-Threonine.10,Decanoate.10
Lactobacillus.3,0.0,-0.3997586383915135,-0.0217365398044526,0.0749129474557277,0.0,-0.2446133649180154,-0.1424766317181927,-0.3737157440475737,0.0,0.2180348170239609,-0.5018143716021906,-0.2712373145628307,0.0,0.0,0.0,-0.3569026501595469,-0.0178473939756042,-0.1382120340894645,-0.1687148208516924,0.0,0.0130782988141331,-0.3285915331651533,0.0,-0.0631313016242393,0.0,0.0,-0.0343198132709877,-0.225237990723805,-0.2844625076377223,-0.0917452793629062,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Merdibacter.1,-0.0086745434501483,0.0,0.0,0.0579650654939668,-0.8032434811532495,0.2590273144982935,0.0557709839335935,0.0,0.0,-0.1629683929066836,0.0,0.0,-0.2863006620763592,-0.024344662420612,0.0,-0.2466463317187319,-0.3435397080073055,0.086036087966652,0.0,0.7873237524489957,-0.4270298481021959,-0.0035513065925723,-0.1363972685898996,-0.0094175360450442,0.052032538535418,0.4887269827522629,-0.0557016521196869,-0.2490439491561384,-0.0310287093636978,-0.2127433084909182,0.1137493007501557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7962451052510904,0.0,-0.1609863281432333,-0.3794945944757632,-2.4275903246457724,0.0,-0.7059446368873082,0.0,0.0,0.0,0.0,-0.1549784928917391,0.0,0.0,-1.657633827016922
Nosocomiicoccus.1,0.0,0.0,-0.2148427859597173,0.0,1.5201215708555516,0.0,-0.0528208524435207,-1.7704075098707843,-0.0951528074507206,0.0,-0.122256940482138,0.0,0.0,0.0,0.069289476967764,-0.0047558503575856,0.0,0.0,-0.1129241488024097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1147748148019632,-0.0781952959254107,0.0,-0.0390703194229474,-0.1082723612052897,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.3,0.101731687669457,0.0,0.0,0.4292311759552489,5.083446945994414,0.0,0.0,-5.27498734533282,0.3822643438559463,0.0,0.1665881642800225,-0.1370264861247702,0.0,0.0,0.0,-0.0056565562710368,-0.3065381339413768,-0.0737343841495117,-0.7560491405684905,0.0,0.0,0.0,0.0,0.094520145486877,0.0,0.0,-0.1159466310234717,-0.0431563151230383,0.0926241321332941,-0.0464698095453899,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Turicibacter.1,0.0,0.0796190702371965,0.0,0.1735827032308866,-0.0806205922821922,0.0,-0.0528865262702771,0.0,-0.0757501064609993,0.0,-0.1158613946505917,0.043877932331783,0.0,-0.1246926143284954,0.0,-0.0662027322362044,0.0541728034084722,0.0060559633317664,-0.0031707027454663,-0.0429773253640125,0.0,0.0,-0.004389080408003,0.0,0.0,0.0,-0.0117124498203383,-0.0878342100648496,-0.0273879013853762,-0.0025277119864854,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.1,0.0,0.0941892291468407,0.0,0.0,0.0,0.0406455227729126,0.0241305449117679,-0.130566772564007,-0.0559635036954972,0.0,-0.0924677707218505,0.2967152992095533,-0.0286550282786788,0.0,-0.1493036367279587,-0.0359449067836373,-0.023074979287,-0.0559578159527948,0.0,-0.0428535777048199,-0.0196174482211996,-0.0673827979484272,0.0994811678598008,0.0,0.0,0.0,-0.0254453561463338,-0.1490968317785154,0.0,,-0.0636796837504824,,,,,,,,,,,,,,,,,,,,,,,,
Muribaculum.1,0.0849920141851994,0.4270828284320068,0.0,0.0,0.1006074289743962,0.0249469834517427,-0.051298784678055,-0.0204906368020393,-0.2604493456543711,0.2264399974020765,,-0.0482872005355107,0.0,-0.4270828284320068,0.1058685827398743,0.0377177857508815,-5.218391466446455e-05,0.0798417073745049,-0.0146938661582473,-0.0486624129737859,0.0420461103040583,-0.270276320648907,0.0,0.0,0.0,0.5309537558438964,0.270276320648907,-0.0573879649031357,-0.0412294254201102,0.1074738760748734,-0.1365553473364602,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.4,0.0,-0.4271920420628052,-0.6683168182906462,0.0,0.0,-0.208072729232486,-0.0223520451249858,-0.7269779933390564,-0.0098473389076656,0.0,0.0,-0.0353538399670817,-1.7681347949378434,0.0,0.0,-0.0009611638582876,0.0,0.0,0.2063216258021091,0.0,0.7299513173091804,-0.6294629231649064,0.0,0.0,0.2189988670374371,0.0,-0.0350741622282686,-0.0164161752769827,0.0,-0.0124201239281023,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.7,0.0,0.0,-0.9765423539436292,0.0,0.0,0.9843039247939902,-0.0441438606770536,-0.0229043989662963,0.0,0.0,0.6584514406936856,-0.0904723759168707,-0.0031387910992435,0.0,0.1162704941219922,0.219151741886077,-0.0578321854937061,-0.0492444577775372,0.0,0.0,0.3721799752913122,0.0,0.0,-0.0439434892867811,0.0,0.0,0.0,0.0,-0.0139576993200959,-0.0310354605993315,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Alloiococcus.1,-0.0012559058919931,0.0,0.0,0.0,-0.0507268769078657,-0.0593376868113466,-0.009631574660992,-0.008358930069269,0.0,-0.6019508734016767,-0.0354418634937008,-0.0330177737736128,0.0,1.2052893810848828,0.0,-0.0013787045422971,0.019727074963475,0.0,-0.0066795110656972,-0.0074811634339622,0.0812218931092665,0.048065778012274,0.0,0.3067719427578514,-0.0397463853545566,-0.0057604154697963,-0.2299278023347606,0.0,0.0,-0.0113263502438595,0.0,,,,,,,,,,,,,,,,,,,,,,,,
