,id,WD-ABX_-1.5,WD-ABX_1.5,WD-ABX_4.0,WD-ABX_6.0,WD-ABX_9.0,WD-ABX_12.5
0,max_growth,8.445018910243984,6.680348781781716,6.580024952043299,7.077530848757373,8.445073970958108,8.445040881500397
1,carbon_uptake,300.0,300.0,300.0,300.0,300.0,300.0
2,flux fitting objective,,,,,,
3,minimum probability objective,1539.7399893363183,1767.514837906594,1300.307353006463,1757.19451985997,881.3747735773461,1190.4626545862693
4,rxn02201_c1,0.0,0.0,0.0,0.0,0.0,0.0
5,rxn00836_c1,0.0,0.0,0.0,0.0,0.0,0.0
6,rxn00423_c1,0.0,0.0,0.0,0.0,0.0,0.0
7,rxn10298_c1,0.0,0.0,0.0,0.0,0.0,0.0
8,rxn00364_c1,0.04812217213240275,0.06296826874800082,0.06294697192397797,0.06433280057766794,0.03786346216604053,0.017469385176699295
9,rxn03408_c1,0.0075484164309741275,0.009877166665287679,0.009873826057637234,0.010091206348602614,0.00593924104592236,0.002740237779458454
10,rxn02177_c1,0.0,0.0,0.0,0.0,0.0,0.0
11,rxn05250_c1,0.0,0.0,0.0,0.0,0.0,0.0
12,rxn05440_c1,0.0,0.0,0.0,0.0,0.0,0.0
13,rxn05625_c1,0.0,0.0,0.0,0.0,-10.96177717363133,-5.9066953320986855
14,rxn02342_c1,0.0,0.0,0.0,0.0,0.0,0.0
15,rxn00022_c1,0.0,0.0,0.0,0.0,0.0,0.0
16,rxn10297_c1,0.0,0.0,0.0,0.0,0.0,0.0
17,rxn02000_c1,0.0,0.0,0.0,0.0,0.0,0.0
18,rxn02632_c1,0.0,0.0,0.0,0.0,0.0,0.0
19,rxn05457_c1,0.0,-0.31009298270200075,-1.4127913185832424,0.0,0.0,0.0
20,rxn08934_c1,0.0,0.0,0.0,0.0,0.0,0.0
21,rxn00199_c1,0.0,0.0,0.0,0.0,0.0,0.0
22,rxn01358_c1,0.0,0.0,0.0,0.0,0.0,0.0
23,rxn03086_c1,-0.0075484164309741275,-0.009877166665287679,-0.009873826057637234,-0.010091206348602614,-0.00593924104592236,-0.002740237779458454
24,rxn12637_c1,0.0,0.0,0.0,0.0,0.0,0.0
25,rxn01219_c1,-0.024061086066201377,-0.03148413437400041,-0.031473485961989005,-0.03216640028883397,-0.018931731083020265,-0.008734692588349647
26,rxn05958_c1,0.0,0.0,0.0,0.0,0.0,0.0
