ASV,Fumarate.5,Succinate.5,Glycine.5,L-Proline.5,D-Fructose.5,L-Glutamate.5,L-Leucine.5,L-Arabinose.5,L-Methionine.5,Citrate.5,D-Glucose.5,Sucrose.5,L-Isoleucine.5,Dulcose.5,D-Serine.5,L-Aspartate.5,N-Acetyl-D-glucosamine.5,Galactose.5,L-Malate.5,Butyrate.5,2-Oxoglutarate.5,D-Ribose.5,L-Valine.5,CELB.5,L-Lysine.5,Ornithine.5,Propionate.5,Pyruvate.5,Acetate.5,Thyminose.5,L-Alanine.5,L-Asparagine.5,Decanoate.5,L-Histidine.5,Melibiose.5,L-Cysteine.5,Myristic acid.5,Niacin.5,Palmitate.5,L-Phenylalanine.5,Melitose.5,L-Threonine.5,L-Tyrosine.5,L-Inositol.5,5-Oxoproline.5,D-Allose.5,L-Fucose.5,L-Rhamnose.5,trans-4-Hydroxy-L-proline.5
Lactobacillus.3,0.0,0.0,0.0,0.0,3.616409226590389,0.0,-0.0365223893305955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008995970048872,-3.5978277455236216,0.0,0.0,-0.0133933676233051,0.0,0.0,0.0,-0.0347347644640929,-0.0210388684651196,0.0,0.0,0.0,0.0,0.0,-0.0155909256340514,0.0,-0.0086137710685366,0.0,0.0,0.0,0.0,-0.0218505422157873,-0.0185196077973538,-0.017143609413965,-0.1069923953908172,-0.0116716597978672,0.0,0.0,0.0,0.0,0.0,0.0
Merdibacter.1,0.6775732218730808,0.0,0.0,-0.0821558988195103,0.0,0.0,0.0,0.0,0.0,0.0,0.0248591461480063,0.0,0.0,0.0,0.0,0.0,-6.331049593249921,0.0,0.0,0.0,-0.5403727094579133,0.0,0.0,0.0,0.0,-0.0068959913989455,0.0,0.0,0.0,0.0,0.0,-0.0756754080729331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0248591461480063,-0.4850692737154369,0.0,0.0,-0.7233178038054069,0.0,0.0,0.0,0.9854638997594276
Nosocomiicoccus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turicibacter.1,0.0,0.0,0.0,-0.107234246516036,0.0152739929102234,-0.4126617464600802,-0.2313858550778589,0.0,0.0,0.0,0.8679135161544331,0.0,-0.1800880475841827,0.0,0.0,1.7176136195779574,-7.826649125543594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1287902400905064,0.0,0.0,0.0,0.0,0.0,-0.0987755654931426,0.0,0.0,-0.5425692775776338,-0.1066639671537903,0.0,-0.1015839084773586,-0.1384330676930651,0.0302798166588322,0.0,-0.6638502890134643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lactobacillus.1,0.0,0.0,-0.2190034105717592,-0.0448061932035883,0.0,0.0,-0.096681047930389,0.0,-0.1231714450878107,0.0,0.0,0.0,-0.0752470420212933,0.0,0.0,-1.5028074688318482,0.0,-0.0907641670674014,0.0,0.0,0.0,0.0,-0.0856220129666534,0.0,0.6587409600121534,-0.0628403506081169,0.0,0.0,-3.4824772715142784,0.0,0.0,-0.0412718624419821,1.7597483467814312,-0.0228021339458464,0.0,0.0,0.0,0.0,-0.0911078583171514,-0.0490245879835699,0.0,-0.0519888653965299,,0.0,0.0,0.0,0.0,0.0,0.0056414048301677
Muribaculum.1,0.0,0.0,-0.2313147468347801,-0.0415971507149468,0.0,0.0,,0.0,0.0,0.0,0.0,1.351381603244535,-0.0545585817348216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1641781262517468,0.0,-0.0644052502615481,0.0,0.0,0.0,-1.2141140323269335,0.0,0.0,-0.0453147704648334,0.0,-0.017884765283238,0.0,0.0,-0.0374973761951135,0.0,-0.0371461698064657,0.0701626022236152,-1.351381603244535,-0.0476257232823304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lactobacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloiococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderiales.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
