id,RC_-1.5,RC_1.5,RC_4.0,RC_6.0,RC_9.0,RC_12.5,WD_-1.5,WD_1.5,WD_4.0,WD_6.0,WD_9.0,WD_12.5
max_growth,3.241004039030435,3.254481036133656,3.2350740594384724,3.2051903979499774,3.1664540820707243,3.21316333114344,3.62640663239632,4.076513915997441,3.945099766578633,4.429454011925535,3.618180393739944,4.580475562797005
carbon_uptake,211.0954681520903,206.46556315133412,189.4418776953458,159.60248713478435,202.79523160111407,206.6638011665673,211.47839949966144,202.29557787169563,211.8454395133029,216.40026999125035,191.02126450928287,210.58336256228637
flux fitting objective,,,,,,,,,,,,
minimum probability objective,804.3384554889085,607.4658762872871,602.0676183532044,678.2096430885236,636.453162796014,494.1254506458849,431.890744512021,1051.365036825255,1016.4163840344236,1190.1733039990747,367.9585533409126,450.8768133353845
rxn02201_c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00836_c1,-0.0185337939470432,-0.0749595894360081,-0.1945736405269552,0.0,0.0,-0.0048741149770534,0.0,0.0,0.0,0.0,0.0,0.0
rxn02209_c1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
rxn00423_c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn10298_c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00364_c1,0.102907148263606,0.4162060723191302,1.080351844371996,1.140436213144247,0.21085221970088,0.0497697486766037,0.0154982392023934,0.0288185952787591,0.0283052214148902,0.0301968851538655,0.0121665751761976,0.0071063680764038
rxn05561_c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0656228509554811,0.0,0.0,0.0
rxn03408_c1,0.0003783489648032,0.0015302254436534,0.003972027296825,0.0041929338043847,0.0007752203845543,0.00018298372084,0.0048620898958856,0.0090409367856985,0.0088798817236536,0.0094733323106251,0.0038168840640031,0.0022294016739264
rxn02177_c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn05250_c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00646_c1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
rxn05440_c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00935_c1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
rxn01673_c1,0.0012060128224821,0.0,0.0,0.0,0.0,0.0,,,,,,
rxn00247_c1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
rxn05625_c1,0.0,0.0,0.0,0.0,0.0,0.0,-0.2300271564166295,-0.007691724662907,-0.3207895894231134,-0.7244051475672952,-0.4654947316091333,0.0
