ASV,Fumarate.10,Galactose.10,Glycine.10,L-Histidine.10,L-Lysine.10,Melibiose.10,Myristic acid.10,Palmitate.10,L-Phenylalanine.10,L-Proline.10,L-Glutamate.10,Melitose.10,D-Ribose.10,D-Serine.10,Succinate.10,L-Inositol.10,trans-4-Hydroxy-L-proline.10,5-Oxoproline.10,D-Allose.10,L-Fucose.10,2-Oxoglutarate.10,L-Malate.10,L-Tyrosine.10,Butyrate.10,L-Rhamnose.10
Lactobacillus.3,,,,,,,,,,,,,,,,,,,,,,,,,
Merdibacter.1,-0.7408068378081054,0.0,1.813191201488055,0.0,0.0,-0.1704126369442844,-0.2172009655458845,0.0,0.048698961916235,6.090999736586359,-3.0456648256875765,0.0,-0.9547808801292972,-0.5960614155652322,1.3389598131491465,-1.1407787503467854,0.0,0.0,0.0,0.0,0.0,-2.0041046345345146,-1.3544372826570616,-1.3699482194322248,-0.0659227523153094
Nosocomiicoccus.1,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,
Turicibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.1,,,,,,,,,,,,,,,,,,,,,,,,,
Muribaculum.1,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.7,,,,,,,,,,,,,,,,,,,,,,,,,
Alloiococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.5,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio.1,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderiales.1,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.4,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.2,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter.1,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.21,,,,,,,,,,,,,,,,,,,,,,,,,
Akkermansia.1,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium.5,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes.2,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,
Ruminococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,
Acetivibrio.1,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium.7,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.23,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes.4,,,,,,,,,,,,,,,,,,,,,,,,,
Blautia.1,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.16,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillibacter.3,,,,,,,,,,,,,,,,,,,,,,,,,
Murimonas.1,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae.1,,,,,,,,,,,,,,,,,,,,,,,,,
Lactococcus.1,0.0,-1.926517998528371,-0.4699156325045892,0.0,-3.891864838336824,-0.4271215717186511,-1.2171307934968496,-0.3634202283128843,3.139703732424211,0.0,2.8067491825861746,-2.0041046345345146,0.0,0.0,-1.819872831652658,0.0,-0.4327391139499181,0.0,-0.6610153962675234,-0.7455357664169109,-2.0041046345345146,0.0,-0.3816591697968602,-0.6341564151022898,-0.0650570297508502
Paraclostridium.1,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides.3,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.11,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,
Stenotrophomonas.1,,,,,,,,,,,,,,,,,,,,,,,,,
