Reaction,Flux Value,ModelSEED ID
EX_etoh[e],0.0,cpd00363
EX_h2o[e],158601.920147786,cpd00001
EX_caro[e],0.0016204961847559,cpd01420
EX_retinol[e],3.10698212193613,cpd00365
EX_thm[e],1.80890024141281,cpd00305
EX_adpcbl[e],9.0656906783e-06,cpd00166
EX_ribflv[e],0.004623185167334,cpd00220
EX_nac[e],0.318014111210755,cpd00218
EX_ncam[e],0.181535906770626,cpd00133
EX_pnto_R[e],0.0224536835496982,cpd00644
EX_pydam[e],0.003309673110679,cpd00419
EX_pydxn[e],0.0033101269788352,cpd00263
EX_pydx[e],0.0033500436702121,cpd00215
EX_btn[e],0.0001734875938491,cpd00104
EX_10fthf[e],0.0001114656166834,cpd00201
EX_5mthf[e],0.0001146204399671,cpd00345
EX_thf[e],0.0001185068197097,cpd00087
EX_ascb_L[e],0.281984191068559,cpd00059
EX_vitd3[e],6.63221519887e-05,cpd03226
EX_avite1[e],0.0557456697269902,cpd01628
EX_phyQ[e],0.0002194385258168,cpd01401
EX_ca2[e],40.260492040521,cpd00063
EX_cl[e],734.57535328463,cpd00099
EX_k[e],56.5929976495142,cpd00205
EX_mg2[e],15.6292943838716,cpd00254
EX_na1[e],361.014932290786,cpd00971
EX_pi[e],18.9528367054146,cpd00009
EX_cu2[e],0.0198753658766878,cpd00058
EX_fe2[e],0.220189811084251,cpd10515
EX_fe3[e],0.220189811084251,cpd10516
EX_mn2(e),0.0181295129813957,cpd00030
EX_zn2(e),0.22621596818599,cpd00034
EX_mnl(e),0.149309607743899,cpd00314
EX_sbt_D[e],0.0,cpd00588
EX_xylt[e],0.118307570764359,cpd00306
EX_lcts[e],0.0631031868570085,cpd00208
EX_malt[e],0.0,cpd00179
EX_sucr[e],3.38887484972823,cpd00076
EX_fru[e],9.19325983772943,cpd00082
EX_gal[e],0.0,cpd00108
EX_glc_D[e],34.7673875793133,cpd00027
EX_cellul(e),0.0301602023787514,cpd11746
EX_ala_L[e],84.4704197402271,cpd00035
EX_arg_L[e],44.9699758402684,cpd00051
EX_asp_L[e],99.8389034533558,cpd00041
EX_cys_L[e],12.4294517416073,cpd00084
EX_glu_L[e],171.793024014979,cpd00053
EX_gly[e],79.2141911316085,cpd00033
EX_urate[e],5.03484914368721,cpd00300
EX_his_L[e],25.7788683029701,cpd00119
EX_ile_L[e],56.423925978613,cpd00322
EX_leu_L[e],92.1572977345168,cpd00107
EX_lys_L[e],79.5959115597963,cpd00039
EX_met_L[e],26.0365669356141,cpd00060
EX_phe_L[e],37.4912751507212,cpd00066
EX_pro_L[e],80.7789421569436,cpd00129
EX_ser_L[e],69.579875271903,cpd00054
EX_thr_L[e],52.2778024029711,cpd00161
EX_trp_L[e],8.19644196700505,cpd00065
EX_tyr_L[e],28.1174025945355,cpd00069
EX_val_L[e],72.0149078545374,cpd00156
EX_dca[e],10.3369970342766,cpd01107
EX_ddca[e],10.6961122834903,cpd01741
EX_ttdca[e],34.0823704824444,cpd03847
EX_ttdcea[e],4.15261611975481,cpd15298
EX_ptdca[e],3.38249866605686,cpd15622
EX_hdca[e],131.567978682628,cpd00214
EX_hpdca[e],2.08092481258538,cpd15609
EX_ocdca[e],38.1732695568797,cpd01080
EX_ocdcea[e],251.126865051195,cpd00536
EX_lnlc[e],64.5582643703869,cpd30347 
EX_lnlnca[e],5.1906537952871,cpd30350
EX_strdnc[e],2.65789609369156,cpd15016
EX_arach[e],1.39919267468642,cpd03848
EX_CE2510[e],6.29944563379262,cpd16341
EX_CE4843[e],0.296789463876468,cpd25212
EX_arachd[e],0.854810980992813,cpd00188
EX_docosac[e],0.497621148280383,cpd05196
EX_doco13ac[e],6.87220660523161,cpd05231
EX_adrn[e],0.0361977737765831,cpd16342
EX_clpnd[e],0.422827334579276,cpd16301
EX_crvnc[e],1.68797939906614,cpd03852
EX_but[e],26.8091281924103,cpd00211
EX_octa[e],5.75139574102588,cpd03846
EX_chsterol[e],2.27774997510691,cpd00160
EX_hdcea[e],17.3428366106907,cpd05274
EX_lgnc[e],0.205669414365795,cpd05235
EX_fol[e],0.0001193205105934,cpd00393
EX_strch1[e],0.0686903958170963,cpd11657
EX_i[e],0.0076857812809903,cpd00534
