ASV,Fumarate.11,Ornithine.11,Succinate.11,Glycine.11,L-Proline.11,D-Fructose.11,L-Glutamate.11,L-Methionine.11,Citrate.11,Palmitate.11,L-Histidine.11,Sucrose.11,Dulcose.11,D-Serine.11,L-Aspartate.11,N-Acetyl-D-glucosamine.11,L-Alanine.11,L-Lysine.11,L-Malate.11,Butyrate.11,Myristic acid.11,2-Oxoglutarate.11,D-Glucose.11,L-Fucose.11,L-Tyrosine.11,L-Phenylalanine.11,Propionate.11,L-Threonine.11,Acetate.11,Pyruvate.11,Thyminose.11,L-Arabinose.11,L-Asparagine.11,CELB.11,L-Cysteine.11,Decanoate.11,Galactose.11,Melitose.11,D-Ribose.11,5-Oxoproline.11,D-Allose.11,L-Valine.11,L-Isoleucine.11,L-Leucine.11,Melibiose.11,L-Inositol.11,D-Fructose.12,L-Arabinose.12,L-Methionine.12,Citrate.12,D-Glucose.12,Sucrose.12,Dulcose.12,N-Acetyl-D-glucosamine.12,L-Cysteine.12,Galactose.12,D-Ribose.12,L-Malate.12,CELB.12,Ornithine.12,L-Glutamate.12,L-Lysine.12,Pyruvate.12,Acetate.12
Lactobacillus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merdibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nosocomiicoccus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turicibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muribaculum.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloiococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderiales.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter.1,-0.7848517223914891,-0.1928179252993489,4.6610751604885445,1.4231404060503197,0.0,0.0354098219558392,-4.390275227504242,0.0,2.2362629103058183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3933025629106084,-2.123259254627212,0.6478986797476279,-1.7574364535615004,0.0,0.0,-0.7898618108170616,-0.8685829677447576,-0.2129110597971624,-5.340610517950906,-0.2908352805298415,0.0,0.0,0.0,0.0,-2.5173655121844094,0.0,0.0,-1.0680805818111718,0.3867613081325971,-0.3867613081325971,-0.708093818790558,0.0,0.0,0.0,-0.3331720618727931,0.0,0.0,-1.20860408055414,,,,,,,,,,,,,,,,,,
Enterococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkermansia.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruminococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetivibrio.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eubacterium.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blautia.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillibacter.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murimonas.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachnospiraceae.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactococcus.1,0.0,0.0,-8.737121888240186,0.0,-0.5330285671496224,-0.0354098219558392,8.012394803371016,0.0,0.0,0.0,0.0,0.0,-2.123259254627212,-1.2630008384956706,1.127293240406832,-0.3724524116477919,0.5175427509382629,-4.067113484739461,0.0,-0.6478986797476279,0.0,-2.123259254627212,0.0,0.0,-0.3899297812592194,0.2129110597971624,-1.0291672459307302,0.1815412833335462,0.0,-0.1005143888094466,0.0,0.0,-0.7770709398307067,-0.3585832112995909,0.0,-0.6881083433315927,-2.4278209908927937,-1.7364979464946146,0.0,0.0,-0.7003162576399509,2.3515411545969056,0.2458579771466975,1.1387123575262668,0.0,0.0,-0.7728359480470154,0.0,0.0,1.4553473866111553,0.0,-0.8125434176451861,-1.9740074856129897,-0.5165821311410079,0.0,-1.8975860265631568,0.0,-1.9740074856129897,-0.3333770672507046,0.0,-0.784425556406058,-3.861129220267949,-0.0934488595724966,-1.9740074856129897
Paraclostridium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
