ASV,Fumarate.6,Succinate.6,Glycine.6,L-Proline.6,D-Fructose.6,L-Glutamate.6,L-Leucine.6,L-Arabinose.6,L-Methionine.6,Citrate.6,D-Glucose.6,Sucrose.6,L-Isoleucine.6,Dulcose.6,D-Serine.6,L-Aspartate.6,N-Acetyl-D-glucosamine.6,Galactose.6,L-Malate.6,Butyrate.6,2-Oxoglutarate.6,D-Ribose.6,L-Valine.6,CELB.6,L-Lysine.6,Ornithine.6,Propionate.6,Pyruvate.6,Acetate.6,Thyminose.6,L-Alanine.6,L-Asparagine.6,Decanoate.6,L-Histidine.6,Melibiose.6,L-Cysteine.6,Myristic acid.6,Niacin.6,Palmitate.6,L-Phenylalanine.6,Melitose.6,L-Threonine.6,L-Tyrosine.6,L-Inositol.6,5-Oxoproline.6,D-Allose.6,L-Fucose.6,L-Rhamnose.6,trans-4-Hydroxy-L-proline.6
Lactobacillus.3,0.0,0.0,0.0,0.0,0.5004142096036948,0.0,-0.0268500270248348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1492860501915043,0.0,0.0,0.0,-0.0698976251881227,-0.015989304575108,-0.8932831248762318,0.0,0.0,0.0,-0.0533582676724602,-0.0114619219139035,0.0,-0.5318764807016966,0.0,-0.0059678420311405,0.0077275530946749,0.0262696636839887,-0.0237913336893827,-0.0136149901187251,0.0,-0.0144382220793922,-0.0085806100515686,0.0,0.0,0.0,0.0,-0.5681817146181538,0.0
Merdibacter.1,0.0,2.0821290661166945,0.0,-0.156983094513825,-4.608134677643991,0.0,0.0,0.0,0.0,0.0,0.0,0.0356340457953856,0.0,0.0,0.3370091227505653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.017688208389033,0.0,0.0,-3.372428231575737,0.0,0.0,-2.025929362315462,-0.2507263658923232,0.0,0.0,0.0,0.0,0.0,0.0,0.460228768984073,0.0,0.0,0.0,0.0,-0.4505371164488767,0.0,-0.3690452379460208,0.0,0.0
Nosocomiicoccus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turicibacter.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muribaculum.1,0.0,2.654768779219482,-0.0412985138748804,-0.0530409381791644,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0190284157699973,0.0,0.0,-0.1923873076036635,0.9190148742953396,0.0,0.0,0.0,0.0,0.0,-0.0572604629248171,-0.7890684816510047,-0.0479383403267306,-0.0002609195733223,-0.0101878360776174,0.0,0.0,0.0,0.0,-0.0158044484572169,-0.0026155946208155,-0.0062376758877707,0.0,0.0,-0.0104623784832621,0.1891916146606758,-0.0161788551111959,0.0,0.0,-0.016610440285412,0.0176799858763821,0.0,0.0,0.0,0.0,0.0,0.0
Lactobacillus.4,0.0,0.0,-0.1540370791664114,0.0,3.1013539076174093,0.0,0.0,0.0,0.0,0.0,0.0,-0.0356340457953856,-0.029542016722997,0.0,0.1204107080543926,0.2857381085877117,0.0,-1.715916131430054,-0.2862807194116911,0.0,0.1318102253917704,0.0,0.0,0.0,-0.0370064979033443,0.0,-0.0007382725458136,0.0,0.0,0.0,0.0,-0.0162033485662498,0.0,-0.1914692934673988,0.0,-0.0084365454018296,0.0,0.0,-0.0227088474535913,0.0,-1.888388769494719,-0.020410847917707,-0.0121301311089881,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloiococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfovibrio.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderiales.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillus.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridium.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
