MAG,R1_B,R1_C,R2_B,R2_C,R2_A,R1_A
Salt_Pond_MetaGSF2_A_D1_MG_DASTool_bins_concoct_out.23,5.217231557475829e-07,1.2869427512376678e-06,1.7586200323158273e-06,2.0250770752986217e-06,5.329121076392495e-07,2.2812453698959944e-07
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.11,2.7783803675149115e-07,1.1870379448137842e-06,8.034563608174264e-07,5.35240033092999e-07,9.825510636410133e-07,1.7533708079531203e-07
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.13,3.827569633815677e-07,6.725686626434131e-07,2.0652168429387565e-06,1.4357313369833083e-06,1.249110050600348e-06,2.1333756488066607e-07
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.28,4.4074677953943827e-07,1.234089087790653e-06,2.2558673506368394e-06,1.8261949679246957e-06,1.5649341986402076e-06,2.6606420483621315e-07
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.33,6.442742197746942e-06,1.4830493125209468e-05,2.5477055194553433e-05,1.527825872291643e-05,3.7352198831997063e-06,3.900362716272976e-06
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.40,1.2186690579922237e-06,2.6998304793008234e-06,2.204734339049461e-05,5.191963366373553e-06,1.8614312253757787e-06,7.901377518578846e-07
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.55,4.548593472449371e-06,1.0585238990577824e-05,1.2271467837567656e-05,1.4108015507783488e-05,3.346474183666867e-06,3.0962978439238993e-06
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.8,1.0728880576237361e-06,2.4082007801100643e-06,4.008184576929827e-06,4.642183551729473e-06,2.02566016908654e-06,5.119844732612425e-07
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.23,1.4845687298128553e-06,3.6893485645417203e-06,4.857271630288765e-06,3.558912117366685e-06,2.4149645597267386e-06,7.273965700433363e-07
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.33,4.7507708921700077e-08,1.1807813681397761e-08,8.686971206815419e-08,6.55024782348847e-08,4.831234757784093e-08,1.6268545682654573e-08
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.14,4.813960843238822e-06,1.0374567444777052e-05,1.672355677849607e-05,8.597730137377756e-06,7.707654625016918e-06,2.6958213571304147e-06
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.23,2.0338091403794437e-07,7.609395998410411e-08,2.2130280006048379e-07,1.940886205857189e-07,1.5884727735908645e-07,3.810691250314705e-08
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.28,2.4645402931536783e-07,3.3267554895637493e-07,9.6383310840476e-07,9.8887561104966e-07,2.365328963654744e-07,2.3351190941121948e-07
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.34,7.652308828215133e-07,2.0607223245307925e-06,2.17174588032881e-06,1.8239527196044088e-06,5.759721372504145e-07,1.3727882128315638e-06
Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_concoct_out.44,8.713710737668805e-07,1.5274940547393761e-06,7.051880575575139e-06,1.4256739116792818e-05,3.924275430028213e-06,7.349192906051231e-07
Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_metabat.9,2.2830973539577183e-07,4.913303720038371e-07,1.2295386455031326e-06,8.588769423096316e-07,8.223568503839276e-07,1.2495864581551867e-07
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.42,5.953467651497847e-06,1.2752317917283464e-05,3.0153044324679568e-05,3.2460195842688716e-05,1.561238204883656e-05,2.6526243736150387e-06
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.55,1.778028447582981e-06,3.201099564521671e-06,3.4182079238935463e-06,4.111260415090882e-06,1.225889080150585e-06,8.519447062473657e-07
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_metabat.4,1.4841911625763018e-05,4.4477872456999076e-05,0.00010881499772264495,2.4889141582045335e-05,5.405213217211537e-06,1.515873340423219e-05
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.14,3.243434578832193e-08,5.9039068406988805e-09,3.577024363099951e-08,4.192335172831273e-08,3.26258343319111e-08,0.0
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.91,6.09984326716991e-08,1.6399573364960658e-07,1.5723150182582693e-07,1.1006535133044432e-07,7.508587526833738e-08,7.061359574908661e-08
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.11,5.208294796483153e-08,5.8663737581285195e-08,2.503917054169967e-07,2.7784704114301974e-07,9.097825479368831e-08,5.774911494473311e-08
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.19,3.814716316499737e-07,6.07531854689299e-07,1.3474822829347192e-06,1.004359607655843e-06,6.685384145485721e-07,1.917728711344991e-07
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.25,1.388255469671609e-07,1.411307679382179e-07,4.7247619898042336e-07,2.121679971094858e-07,5.331355840821944e-07,6.159409755389324e-08
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.28,2.6105740568995444e-07,6.148432521263842e-07,8.30966486043274e-07,7.444153772379396e-07,1.0052837836375122e-06,1.9911314298006935e-07
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.39,6.834729484926275e-08,1.1620148268545992e-08,1.0770157764447006e-07,1.5748845304156208e-08,6.024043730361671e-08,1.4467686855552863e-08
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.8,9.17296143305202e-07,1.8824791268327148e-06,2.144641994979216e-06,1.1691927859535337e-06,6.577337842778492e-07,6.297244797086697e-07
Salt_Pond_MetaGSF2_C_D1_MG_DASTool_bins_concoct_out.13,1.1719446603351756e-06,3.3263801587380476e-06,3.4465305288718952e-06,2.3941686522165513e-06,2.1780375409659487e-06,8.773847907220613e-07
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.13,1.575856287294078e-06,5.88499359105835e-06,9.640192959056283e-06,5.8837117750030605e-06,5.451325399129528e-06,6.590163265768215e-07
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.15,3.5330988625360177e-06,9.161905617444834e-06,7.207447095771532e-06,3.5224443741715167e-06,1.2728192715033771e-06,4.893397777481358e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.17,4.2242660314202135e-06,6.122853960730258e-06,0.00010170243108874654,1.6684196641216068e-05,3.95653690660898e-06,3.435491094141493e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.24,1.2170401211905298e-06,2.1337198052028413e-06,5.012398716906559e-05,8.456326416625481e-06,3.3217240984435317e-06,4.2685757847754865e-07
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.25,8.506452544938619e-05,0.00036583562998718575,0.00037400776077196575,9.368900895049989e-05,8.271227535002324e-05,3.4581409653111495e-05
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.26,2.6647844558451863e-06,7.611655537028769e-06,2.1451107032184868e-05,5.04484746738984e-06,1.3939001347853492e-06,3.0397110172995057e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.3,3.715957021440087e-06,9.519446833604104e-06,3.629357006841362e-05,9.876228904404986e-06,2.7375233872565886e-06,2.6188709574749433e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.32,1.673157571515131e-06,3.1129238464010254e-06,9.703097874286431e-06,7.811841788520622e-06,3.1852919365800513e-06,1.3342640109326315e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.39,1.009240630362385e-06,1.928967273571031e-06,0.00012478371817769242,5.6705816316134945e-06,4.54117241620117e-06,5.695359354300726e-07
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.42,1.2440199670051199e-05,3.377468374190472e-05,4.3288626735166636e-05,1.9714242338853308e-05,6.422184003968342e-06,5.609343844271028e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.8,5.513710649182132e-06,1.3498375885123483e-05,5.1450468400644216e-05,1.2470674259159693e-05,3.3513736768055885e-06,3.431166361406712e-06
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.11,4.18653544959651e-06,1.1268410749047338e-05,4.853464421810444e-05,1.2706651055636537e-05,3.1626296572376443e-06,2.74484827528935e-06
