Sample,DNA conc (µg/mL) in 20 µL extracted from 0.25 g soil,DNA (ug),DNA conc (µg/g soil),methane,CH4 (mmol/hr) / normalized_DNA
R1_A_D1,60.26666667,1.205333333,4.821333333,6.0321851441271526e-05,1.2511445957987141e-05
R1_A_D2,59.4,1.188,4.752,6.0321851441271526e-05,1.2693992306664884e-05
R1_B_D1,54.13333333,1.082666667,4.330666667,0.00011021181540183381,2.5449156879622252e-05
R1_B_D2,43.13333333,0.862666667,3.450666667,0.00011021181540183381,3.193928189466404e-05
R1_C_D1,20.86666667,0.417333333,1.669333333,4.0126483041827764e-05,2.403742994199695e-05
R1_C_D2,26.4,0.528,2.112,4.0126483041827764e-05,1.899928174328966e-05
R2_A_D1,49.93333333,0.998666667,3.994666667,0.00010857965984352348,2.7181156500616593e-05
R2_A_D2,19.6,0.392,1.568,0.00010857965984352348,6.924723204306344e-05
R2_B_D1,2.0,0.04,0.16,0.00013147974316816722,0.0008217483948010451
R2_B_D2,35.06666667,0.701333333,2.805333333,0.00013147974316816722,4.6867779176731156e-05
R2_C_D1,42.53333333,0.850666667,3.402666667,0.00012996457921127962,3.8194919435309945e-05
R2_C_D2,1.993333333,0.039866667,0.159466667,0.00012996457921127962,0.000814995269270158
R2A_A_D1,54.46666667,1.089333333,4.357333333,-1.988039101099791e-06,-4.562513237267155e-07
R2A_A_D2,4.873333333,0.097466667,0.389866667,-1.988039101099791e-06,-5.099279495725115e-06
R2A_B_D1,28.13333333,0.562666667,2.250666667,-1.439896632895322e-07,-6.397644991182171e-08
R2A_B_D2,3.42,0.0684,0.2736,-1.439896632895322e-07,-5.262780090991673e-07
R2A_C_D1,19.06666667,0.381333333,1.525333333,-5.808673916793628e-07,-3.808134124604243e-07
R2A_C_D2,12.13333333,0.242666667,0.970666667,-5.808673916793628e-07,-5.984210763872484e-07
SF2_A_D1,14.66666667,0.293333333,1.173333333,3.6242852748444747e-07,3.088879496483609e-07
SF2_A_D2,14.6,0.292,1.168,3.6242852748444747e-07,3.1029839681887627e-07
SF2_B_D1,15.46666667,0.309333333,1.237333333,3.391120195085858e-06,2.7406682618529747e-06
SF2_B_D2,7.6,0.152,0.608,3.391120195085858e-06,5.577500320864898e-06
SF2_C_D1,7.2,0.144,0.576,8.590292412159591e-07,1.4913702104443736e-06
SF2_C_D2,5.526666667,0.110533333,0.442133333,8.590292412159591e-07,1.9429189728519274e-06
