,SF2_A_D1,SF2_A_D2,SF2_B_D1,SF2_B_D2,SF2_C_D1,SF2_C_D2,R1_A_D1,R1_A_D2,R1_B_D1,R1_B_D2,R1_C_D1,R1_C_D2,R2A_A_D1,R2A_A_D2,R2A_B_D1,R2A_B_D2,R2A_C_D1,R2A_C_D2,R2_A_D1,R2_A_D2,R2_B_D1,R2_B_D2,R2_C_D1,R2_C_D2
Salt_Pond_MetaGSF2_A_D1_MG_DASTool_bins_concoct_out.23,0.006615713088327561,0.006034876133602055,0.0037310605826662876,0.006514637619287335,0.007592460089568404,0.005035633141929608,1.644877360164726e-07,2.9268982102521045e-07,6.317684705288241e-07,3.836137344174223e-07,1.24372493737565e-06,1.3211022859248152e-06,0.00031388278587735487,0.000191672785348424,7.961734983961532e-05,0.0007731511501352339,3.317564756740244e-05,5.7416865923485145e-05,3.4596320572299454e-07,1.0091866911323086e-06,2.1373899802766375e-05,6.398778399518771e-07,1.452262540187193e-06,1.4247674823558831e-05
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.11,0.0003521016542636652,0.0008955928892625,0.0007186752132738349,0.0012563313391368422,0.0025819538814706596,0.0021431411828585203,1.9309429880194593e-07,1.573207788010503e-07,1.340114937485386e-07,4.5834368268055606e-07,2.5409434204448786e-07,1.9244403377644932e-06,3.469560052767714e-05,7.4462163276008415e-06,2.6189917710411846e-06,3.7344900223285815e-05,3.687809081158105e-06,2.285917378686766e-06,8.649080143074852e-07,1.2822607369681058e-06,5.114000566306062e-06,5.576078319580641e-07,8.220354001059576e-08,1.0202038762548288e-05
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.13,0.00044624931261830946,0.00547463016322988,0.001458375421613167,0.003433097565136184,0.012012732060457465,0.013398273726323864,2.2527668193560471e-07,2.0122425195483188e-07,5.130725760658342e-07,2.1920784823852706e-07,6.285491618995247e-07,7.073618538810038e-07,4.383348497968402e-06,6.235084756244088e-06,4.467691844717315e-06,0.00041526252299561406,2.8595154541995774e-05,0.0005422042347126358,1.0496838173640833e-06,1.7571721210303698e-06,2.609451571012581e-05,6.947245119477537e-07,9.919227161278562e-07,1.0905627642724043e-05
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.28,0.004388787105240281,0.008007040940415154,0.013928256192892202,0.025495084934301644,0.02132468321456667,0.023352457134384167,2.1097340054286597e-07,3.2195880312773146e-07,4.862702773161253e-07,3.836137344174223e-07,1.1634846188352845e-06,1.2898951453124148e-06,4.878821192124298e-05,3.027828928391921e-05,3.981894547579089e-05,0.002119562478057383,3.402442902258965e-05,0.00020498339788204553,1.1912142197053082e-06,2.517030335529994e-06,2.425872063504156e-05,1.000951763924722e-06,1.2275728641582306e-06,1.4599469263646742e-05
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.33,6.926589919941548e-05,0.0029866052497229453,4.803627344827556e-05,0.00011404153177129638,0.0001487338265936757,0.0036861498696663525,4.3982590282665485e-06,3.3952019238924246e-06,5.701231834044964e-06,7.373354895295918e-06,2.0327547363558996e-05,1.0485599245765435e-05,1.0518368136894658e-05,0.00010263218649126959,5.118845092888205e-05,0.0014873324685080408,6.989276258575016e-05,0.0005128907059742477,3.7426928619124e-06,3.7161815802872066e-06,0.00018961140561227124,1.611578045478801e-05,1.1031715069421962e-05,0.00010589012646644958
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.40,0.00011812431576977965,0.006548188675145377,0.00045497213280287503,0.0022873308818019736,0.0008706980231996529,0.013176585271188996,8.188628597341788e-07,7.609935346655451e-07,1.1218676476663378e-06,1.3401570721855411e-06,2.219982146283417e-06,3.079104540423191e-06,1.3763130393240448e-07,9.778766020584236e-06,3.081166789460218e-07,2.8248065553511185e-05,8.727814825403805e-05,0.00021308976035096504,1.9303174319317064e-06,1.685935413421033e-06,0.00020770709992381562,1.1458383891138258e-05,9.426005921214997e-07,9.586398492394527e-05
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.55,0.002167018494331994,0.002753350184547603,0.0019873876585669416,0.0032484301006455597,0.0031683872542472226,0.002212097343725043,3.0108407331710828e-06,3.1830018036491586e-06,4.119896207812224e-06,5.086618478444009e-06,1.3975188812446842e-05,7.905808955140625e-06,6.754360506621356e-05,0.00020539894315713404,6.576236984301506e-05,0.0003654693226979693,3.75073598214612e-05,4.9272084675054984e-05,3.04290365033634e-06,4.119856256740127e-06,0.00012942355279343812,5.589789987579596e-06,9.897306217275734e-06,0.00010395525704596621
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.8,0.00717436579062303,0.0075780164115639564,0.005033748835957691,0.008789512215010361,0.010749011318610417,0.007107169921406717,4.6128082491575986e-07,5.634279054735291e-07,1.3362860376639996e-06,7.423174860804658e-07,2.0595015092026922e-06,2.68381409266616e-06,0.00026368906639775774,0.00025873358902160263,0.00010741974483651959,0.0005853094938841374,4.742932234933896e-05,2.0842187864496947e-05,1.7022962281597325e-06,2.8494683043735777e-06,5.192677498095388e-05,1.2751851239040976e-06,3.342943960430903e-06,3.236508848808428e-05
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.23,0.005875459406720784,0.004233689342172089,0.005968762488041046,0.0095620438215375,0.008026225407654861,0.005880015082231766,6.257685609322316e-07,8.305073671590342e-07,1.623453524268011e-06,1.3102650928802853e-06,4.961526363079207e-06,2.68381409266616e-06,0.0007056732310716014,0.0007724776589012674,0.00036484095953996724,0.0013774522813125,9.036595665139115e-05,6.171976922454266e-05,2.146544435508576e-06,3.098796781006263e-06,4.169877384834175e-05,2.7560452677927275e-06,2.0770094442677214e-06,3.517944400878724e-05
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.33,1.7248165234568429e-06,2.270972362688399e-06,1.5476732478775709e-06,3.960615233838766e-06,5.334546571393889e-06,4.532568919595393e-06,1.7879101740920928e-08,1.4634491051260502e-08,5.360459749941544e-08,3.985597240700502e-08,2.6746772846788173e-08,0.0,1.0843678491643986e-07,8.971344973013069e-07,1.6432889543787827e-07,1.4363423162802304e-06,3.2195158645031064e-07,4.6102535368472584e-07,3.9314000650340115e-08,7.123670760933928e-08,1.0490257571909875e-06,3.199389199759386e-08,4.3841888005651073e-08,5.276916601318086e-07
