,R2A_C,R2_C,SF2_C,R2A_A,R1_B,SF2_B,R1_A,R2_B,R1_C,R2_A,SF2_A,R2A_B
Salt_Pond_MetaGSF2_A_D1_MG_DASTool_bins_concoct_out.23,4.529625674544379e-05,7.849968681873012e-06,0.006314046615749006,0.00025277778561288945,5.076911024731232e-07,0.005122849100976812,2.2858877852084154e-07,1.1006888821359126e-05,1.2824136116502326e-06,6.775749484276515e-07,0.006325294610964809,0.0004263842499874246
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.11,2.9868632299224355e-06,5.142121151279442e-06,0.0023625475321645897,2.107090842763899e-05,2.9617758821454734e-07,0.0009875032762053386,1.752075388014981e-07,2.835804199132063e-06,1.0892673399044905e-06,1.0735843756377954e-06,0.0006238472717630826,1.99819459971635e-05
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.13,0.00028539969462731583,5.9487751794259495e-06,0.012705502893390664,5.309216627106245e-06,3.6614021215218064e-07,0.0024457364933746753,2.1325046694521828e-07,1.3394620111036782e-05,6.679555078902643e-07,1.4034279691972267e-06,0.002960439737924095,0.0002098651074201657
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.28,0.0001195039134523176,7.913521063902485e-06,0.02233857017447542,3.9533250602581095e-05,4.3494200586677376e-07,0.019711670563596923,2.664661018352987e-07,1.2629836199483141e-05,1.2266898820738496e-06,1.854122277617651e-06,0.006197914022827718,0.001079690711766587
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.33,0.00029139173427999895,5.846092076793577e-05,0.0019174418481300141,5.6575277314082125e-05,6.53729336467044e-06,8.103890260978596e-05,3.896730476079487e-06,0.00010286359303352963,1.5406573304662215e-05,3.7294372210998034e-06,0.0015279355744611805,0.0007692604597184614
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.40,0.00015018395430250155,4.840329275803339e-05,0.007023641647194325,4.95819866225832e-06,1.2310123599259394e-06,0.0013711515073024244,7.899281971998619e-07,0.00010958274190747694,2.6495433433533042e-06,1.8081264226763698e-06,0.0033331564954575785,1.4278091116228604e-05
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.55,4.3389722248258095e-05,5.692628163162097e-05,0.0026902422989861325,0.0001364712741116738,4.603257343128117e-06,0.0026179088796062506,3.0969212684101207e-06,6.750667139050886e-05,1.0940498883793733e-05,3.5813799535382333e-06,0.002460184339439798,0.0002156158462704922
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.8,3.4135755106917956e-05,1.785401622425759e-05,0.008928090620008567,0.00026121132770968016,1.0393017618722327e-06,0.006911630525484026,5.123543651946445e-07,2.6600980052428988e-05,2.3716578009344263e-06,2.2758822662666552e-06,0.007376191101093494,0.0003463646193603285
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.23,7.604286293796691e-05,1.862822672652748e-05,0.006953120244943314,0.0007390754449864344,1.4668593085741482e-06,0.007765403154789273,7.28137964045633e-07,2.222740955806724e-05,3.822670227872683e-06,2.6226706082574197e-06,0.005054574374446437,0.0008711466204262336
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.33,3.9148847006751824e-07,2.8576677406872984e-07,4.933557745494641e-06,5.027856411088734e-07,4.673028495321023e-08,2.7541442408581685e-06,1.6256796396090714e-08,5.405098245942907e-07,1.3373386423394086e-08,5.527535412983969e-08,1.997894443072621e-06,8.003356058590543e-07
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.14,8.455683073916272e-05,5.194634661071328e-05,0.010774743516877735,0.000370309275243847,4.82141609728571e-06,0.01393641739974607,2.691905889646902e-06,6.992150128415656e-05,1.0642587987670212e-05,8.558048940849879e-06,0.006996466663450659,0.000903824302727627
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.23,1.4250467411131007e-06,1.6104761603989582e-06,9.984900923706632e-06,2.7074421762897473e-06,1.8879132189280678e-07,7.425328089290879e-06,3.8332736594927876e-08,1.1061577071866908e-06,7.652848998464545e-08,1.9354232386089383e-07,5.574885841460511e-06,4.144281986618388e-06
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.28,1.44930200518199e-06,8.481163380103218e-06,2.03907934113067e-05,4.422067775933433e-06,2.441919662325467e-07,1.4084932426096108e-05,2.3391110783580203e-07,3.415163749723432e-06,3.202358855718666e-07,2.1878208665779674e-07,8.586068396184094e-06,5.979208306400769e-06
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.34,4.7417641298716205e-06,9.337404366266742e-06,2.4243501950657293e-05,9.87249175568022e-06,7.71507847022344e-07,1.6549791834161425e-05,1.370072860699798e-06,1.2832675410785362e-05,2.0774124321260216e-06,5.957631887944101e-07,1.2913622399846509e-05,1.0335220516483974e-05
Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_concoct_out.44,5.257933577272497e-05,0.00014468704540405387,0.0014407768122403947,0.0001160369050481656,8.779999566706966e-07,0.004395979966723501,7.361590300956254e-07,2.0914309458991283e-05,1.4458999808806717e-06,4.463308031070037e-06,0.0005351139131844714,0.00014536300883377775
Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_metabat.9,8.182874983263003e-05,1.7907942804009376e-06,0.010035127056837945,3.707708646175561e-06,2.2080468984057758e-07,0.0038908907996643175,1.2527025754886606e-07,8.068797642917282e-06,4.888925774106394e-07,9.476224047437984e-07,0.0013242064316106891,0.00012770286831989861
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.42,6.226418427119758e-05,0.0002402217074992763,0.003537892530447942,3.823123431757752e-05,6.116964273160554e-06,0.005372738631487843,2.6521762801724476e-06,0.0001404513696697835,1.305285729414486e-05,1.6510430877949757e-05,0.0008927540137780118,0.0003327317897155638
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.55,4.114083425535015e-05,1.916882447462907e-05,0.004752308441480794,0.00019730394915948464,1.781626981446249e-06,0.004422947497066954,8.522903889969815e-07,1.633538867667285e-05,3.208999247689766e-06,1.343985461782989e-06,0.004380692245255977,0.00026394466920719715
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_metabat.4,3.7841021225422347e-06,0.00016140136659562236,0.0017536819472149534,3.0714869972297063e-06,1.526046371669969e-05,0.004983300873983747,1.516659142178705e-05,0.0008786045872295347,4.383479290192689e-05,5.505246924913744e-06,5.6701439680978256e-05,7.896682953602385e-06
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.14,3.9468456629699964e-07,1.8959781004570217e-07,7.320376737698072e-07,6.37355815704069e-07,3.217603884886753e-08,4.71277309494429e-07,0.0,1.425546096480141e-07,6.686693211697043e-09,3.35347771624709e-08,8.577858345994579e-07,1.0784405633951915e-06
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.91,3.7895202074099644e-06,5.605730761360481e-07,3.6491919700955225e-06,2.0581514669304914e-05,6.340591970007031e-08,2.4533556831666334e-06,7.076352697247837e-08,7.013466582409313e-07,1.6643036639268558e-07,1.027664925360661e-07,2.885220595605176e-06,2.2236365218536117e-05
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.11,7.683263709345804e-07,1.6543180484046092e-06,5.5567792587516094e-06,1.466605897694144e-06,5.286537823357456e-08,5.440668910519481e-06,5.7544335229470754e-08,9.978822675361002e-07,6.092491967844694e-08,1.0661930819464551e-07,3.5684447403078597e-06,2.5716548171824867e-06
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.19,9.951558977518442e-07,7.650999403889898e-06,7.86683638662189e-06,4.0388340014796775e-06,3.8422015019108084e-07,7.155805557714132e-06,1.9191974847805875e-07,4.174351310130657e-06,5.929163794519652e-07,8.116747648743081e-07,3.831884367700898e-06,4.066052897154813e-06
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.25,1.1497394985180383e-06,6.978438101643733e-07,4.860461347412656e-06,1.4901437763631788e-06,1.2674543765404907e-07,1.969984396522589e-06,6.178257489470241e-08,3.0936485039182474e-06,1.5156761842294397e-07,7.570673781993297e-07,6.889700556517643e-07,4.16008779380805e-06
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.28,1.168494646819259e-06,4.4133415410791895e-06,6.783432474212835e-06,4.16566221294109e-06,2.552869221484227e-07,5.254989215447927e-06,1.9944400004026657e-07,4.148662721450063e-06,6.218856193081231e-07,1.3238165729447114e-06,3.3660359206275124e-06,2.3180424233735122e-06
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.39,7.985031798468005e-07,1.758972200439362e-07,2.816585434878005e-06,4.209032943032932e-07,6.241549387167783e-08,1.5669910017070716e-06,1.4468886221998619e-08,9.224680935417718e-07,1.0402380204132386e-08,1.0685506141400893e-07,3.7205924907377073e-07,1.5544537098762052e-06
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.8,8.757949802298978e-07,7.485797821836697e-06,6.146289602608633e-06,3.1600463608279593e-06,9.26851630266425e-07,5.0064094895891665e-06,6.30431580839827e-07,8.614270132705627e-06,1.8589855984595397e-06,6.130222748515618e-07,1.7908711586826711e-06,4.814251870246873e-06
Salt_Pond_MetaGSF2_C_D1_MG_DASTool_bins_concoct_out.13,4.54635929301359e-06,1.8102388904470328e-05,0.004369827031201322,3.803188368009126e-05,1.1900475586201734e-06,0.0014648879051781566,8.779421495440028e-07,1.1837153687467316e-05,3.196416843280144e-06,2.5370442352976724e-06,0.0008450307884558584,3.61036340961699e-05
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.13,0.00037784442834500965,4.164009158625801e-05,0.006222026885864643,4.9013055786864474e-05,1.5053408450980274e-06,0.0005249409239919488,6.572241487629468e-07,5.702776494237993e-05,5.7798070677959124e-06,6.691343349359129e-06,0.0002433826849953586,0.0005325629776596529
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.15,2.3420843865105037e-06,1.9279753364696526e-05,0.008191182524449912,1.1036260230952958e-06,3.6696786042294753e-06,0.00015315085323160682,4.890175308155592e-06,4.207875579321385e-05,9.060878296141417e-06,1.2720807867187871e-06,1.1737449742119702e-05,3.688010005582392e-06
